Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	9			-1	-1	1	8	357	100	0	
2	9	Sol4	G4	296	296	1	16	179	95	96	Sý
3	9	La4	A4	305	305	1	16	179	95	96	ra 
4	9	Sol4	G4	296	296	1	8	357	95	96	sý
5	9	La4	A4	305	305	1	8	357	95	96	ra 
6	9	Si4b1	B4b1	313	313	1	8	357	95	96	si
7	9	Do5	C5	318	318	1	8	357	95	96	ni
8	9	Re5	D5	327	327	1	4	714	95	96	ler  
9	9	Mi5	E5	336	336	1	8	357	95	96	Has
10	9	Fa5	F5	340	340	1	16	179	99	96	ta 
11	9	Sol5	G5	349	349	1	16	179	95	96	
12	9	Mi5	E5	336	336	1	8	357	95	96	o
13	9	Re5	D5	327	327	1	8	357	95	96	lan 
14	9	Re5	D5	327	327	1	16	179	99	96	i
15	9	Mi5	E5	336	336	1	16	179	95	96	
16	9	Re5	D5	327	327	1	16	179	99	96	ni
17	9	Do5	C5	318	318	1	16	179	95	96	
18	9	Si4b1	B4b1	313	313	3	8	1071	95	96	ler  
19	9	Do5	C5	318	318	1	16	179	95	96	Al
20	9	Re5	D5	327	327	1	16	179	95	96	dý 
21	9	Re5	D5	327	327	1	8	357	95	96	git
22	9	Re5	D5	327	327	1	8	357	95	96	ti 
23	9	Do5	C5	318	318	1	8	357	95	96	yâ
24	9	Do5	C5	318	318	1	16	179	99	96	ri
25	9	Si4b1	B4b1	313	313	1	16	179	95	96	
26	9	La4	A4	305	305	1	4	714	95	96	mi  
27	9	La4	A4	305	305	1	16	179	95	96	De
28	9	La4	A4	305	305	1	8	357	99	96	niz
29	9	Sol4	G4	296	296	1	16	179	95	96	
30	9	La4	A4	305	305	1	16	179	99	96	de
31	9	Si4b1	B4b1	313	313	1	16	179	95	96	
32	9	Do5	C5	318	318	1	16	179	99	96	ki 
33	9	Re5	D5	327	327	1	16	179	95	96	
34	9	Do5	C5	318	318	1	16	179	95	96	ge
35	9	Si4b1	B4b1	313	313	1	16	179	99	96	mi
36	8	Do5	C5	318	318	1	128	22	95	96	
37	9	Si4b1	B4b1	313	313	1	16	179	99	96	
38	9	La4	A4	305	305	1	16	179	95	96	
39	9	Sol4	G4	296	296	3	8	1071	95	96	ler  
40	9	Do5	C5	318	318	1	16	179	95	96	Al
41	9	Re5	D5	327	327	1	16	179	95	96	dý 
42	9	Re5	D5	327	327	1	8	357	95	96	git
43	9	Re5	D5	327	327	1	8	357	95	96	ti 
44	9	Do5	C5	318	318	1	8	357	95	96	yâ
45	9	Do5	C5	318	318	1	16	179	99	96	ri
46	9	Si4b1	B4b1	313	313	1	16	179	95	96	
47	9	La4	A4	305	305	1	4	714	95	96	mi  
48	9	La4	A4	305	305	1	16	179	95	96	De
49	9	La4	A4	305	305	1	8	357	99	96	niz
50	9	Sol4	G4	296	296	1	16	179	95	96	
51	9	La4	A4	305	305	1	16	179	99	96	de
52	9	Si4b1	B4b1	313	313	1	16	179	95	96	
53	9	Do5	C5	318	318	1	16	179	99	96	ki 
54	9	Re5	D5	327	327	1	16	179	95	96	
55	9	Do5	C5	318	318	1	16	179	95	96	ge
56	9	Si4b1	B4b1	313	313	1	16	179	99	96	mi
57	8	Do5	C5	318	318	1	128	22	95	96	
58	9	Si4b1	B4b1	313	313	1	16	179	99	96	
59	9	La4	A4	305	305	1	16	179	95	96	
