Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	9	Do5	C5	318	318	1	8	417	95	96	ARANAÐME 
2	8	Re5	D5	327	327	1	128	26	95	96	.
3	9	Do5	C5	318	318	1	16	208	95	96	.
4	9	Si4b1	B4b1	313	313	1	16	208	95	96	.
5	9	Do5	C5	318	318	1	8	417	95	96	.
6	9	Re5	D5	327	327	1	8	417	95	96	.
7	9	Do5	C5	318	318	1	8	417	95	96	.
8	9	Si4b1	B4b1	313	313	1	4	833	95	96	.
9	9	La4	A4	305	305	1	8	417	95	96	.
10	9	La4	A4	305	305	1	8	417	95	96	.
11	8	Si4b1	B4b1	313	313	1	128	26	95	96	.
12	9	La4	A4	305	305	1	16	208	95	96	.
13	9	Sol4	G4	296	296	1	16	208	95	96	.
14	9	La4	A4	305	305	1	8	417	95	96	.
15	9	Si4b1	B4b1	313	313	1	8	417	95	96	.
16	9	La4	A4	305	305	1	8	417	95	96	.
17	9	Sol4	G4	296	296	3	8	1250	95	96	.
18	9	Do5	C5	318	318	1	8	417	95	96	ARANAÐME 
19	8	Re5	D5	327	327	1	128	26	95	96	.
20	9	Do5	C5	318	318	1	16	208	95	96	.
21	9	Si4b1	B4b1	313	313	1	16	208	95	96	.
22	9	Do5	C5	318	318	1	8	417	95	96	.
23	9	Re5	D5	327	327	1	8	417	95	96	.
24	9	Do5	C5	318	318	1	8	417	95	96	.
25	9	Si4b1	B4b1	313	313	1	4	833	95	96	.
26	9	La4	A4	305	305	1	8	417	95	96	.
27	9	La4	A4	305	305	1	8	417	95	96	.
28	8	Si4b1	B4b1	313	313	1	128	26	95	96	.
29	9	La4	A4	305	305	1	16	208	95	96	.
30	9	Sol4	G4	296	296	1	16	208	95	96	.
31	9	La4	A4	305	305	1	8	417	95	96	.
32	9	Si4b1	B4b1	313	313	1	8	417	95	96	.
33	9	La4	A4	305	305	1	8	417	95	96	.
34	9	Sol4	G4	296	296	3	8	1250	95	96	.
35	9	Do5	C5	318	318	1	8	417	95	96	.
36	8	Re5	D5	327	327	1	128	26	95	96	.
37	9	Do5	C5	318	318	1	16	208	95	96	.
38	9	Si4b1	B4b1	313	313	1	16	208	95	96	.
39	9	Do5	C5	318	318	1	8	417	95	96	.
40	9	Re5	D5	327	327	1	8	417	95	96	.
41	9	Do5	C5	318	318	1	8	417	95	96	.
42	9	Si4b1	B4b1	313	313	1	4	833	95	96	.
43	9	La4	A4	305	305	1	8	417	95	96	.
44	9	La4	A4	305	305	1	8	417	95	96	.
45	8	Si4b1	B4b1	313	313	1	128	26	95	96	.
46	9	La4	A4	305	305	1	16	208	95	96	.
47	9	Sol4	G4	296	296	1	16	208	95	96	.
48	9	La4	A4	305	305	1	8	417	95	96	.
49	9	Si4b1	B4b1	313	313	1	8	417	95	96	.
50	9	La4	A4	305	305	1	8	417	95	96	.
51	9	Sol4	G4	296	296	5	8	2083	95	96	.
52	9	Do5	C5	318	318	1	8	417	95	96	A
53	9	Do5	C5	318	318	1	8	417	95	96	da
54	9	Do5	C5	318	318	1	4	833	95	96	na
55	9	Do5	C5	318	318	1	4	833	95	96	nýn 
56	9	Do5	C5	318	318	1	8	417	99	96	yol
57	8	Re5	D5	327	327	1	128	26	99	96	
58	9	Do5	C5	318	318	1	16	208	99	96	
59	9	Si4b1	B4b1	313	313	1	16	208	95	96	
60	9	Do5	C5	318	318	1	8	417	95	96	la
61	9	Re5	D5	327	327	1	8	417	95	96	rý 
62	9	Do5	C5	318	318	1	8	417	99	96	taþ
63	9	Si4b1	B4b1	313	313	1	8	417	95	96	
64	9	Si4b1	B4b1	313	313	1	4	833	95	96	lýk  
65	9	Do5	C5	318	318	1	8	417	99	96	Yok 
66	8	Re5	D5	327	327	1	128	26	99	96	
67	9	Do5	C5	318	318	1	16	208	99	96	
68	9	Si4b1	B4b1	313	313	1	16	208	95	96	
69	9	Do5	C5	318	318	1	8	417	95	96	ce
70	9	Re5	D5	327	327	1	8	417	95	96	bi
71	9	Do5	C5	318	318	1	8	417	99	96	miz
72	9	Si4b1	B4b1	313	313	1	8	417	95	96	
73	9	Si4b1	B4b1	313	313	1	8	417	99	96	de 
74	9	La4	A4	305	305	1	8	417	95	96	
75	9	La4	A4	305	305	1	8	417	99	96	beþ 
76	9	Sol4	G4	296	296	1	8	417	95	96	
77	9	La4	A4	305	305	1	8	417	95	96	pa
78	9	Si4b1	B4b1	313	313	1	8	417	95	96	ra 
79	9	La4	A4	305	305	1	8	417	99	96	harç
80	9	Sol4	G4	296	296	1	8	417	95	96	
81	9	Sol4	G4	296	296	1	4	833	95	96	lýk  
82	9	Do5	C5	318	318	1	8	417	99	96	Yok 
83	8	Re5	D5	327	327	1	128	26	99	96	
84	9	Do5	C5	318	318	1	16	208	99	96	
85	9	Si4b1	B4b1	313	313	1	16	208	95	96	
86	9	Do5	C5	318	318	1	8	417	95	96	ce
87	9	Re5	D5	327	327	1	8	417	95	96	bi
88	9	Do5	C5	318	318	1	8	417	99	96	miz
89	9	Si4b1	B4b1	313	313	1	8	417	95	96	
90	9	Si4b1	B4b1	313	313	1	8	417	99	96	de 
