Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	9	4	0	111	0	Ağırevfer	0.0
2	9	Es	Es	-1	-1	1	4	833	100	0		0.111111111111
3	9	Re5	D5	327	327	1	2	1667	95	96	Ol 	0.333333333333
4	9	Re5	D5	327	327	1	8	417	99	96	gü	0.388888888889
5	9	Mi5b1	E5b1	335	335	1	8	417	95	96		0.444444444444
6	9	Fa5	F5	340	340	3	16	625	99	96	zel 	0.527777777778
7	9	Mi5b1	E5b1	335	335	1	16	208	99	96		0.555555555556
8	9	Re5	D5	327	327	1	8	417	99	96		0.611111111111
9	9	Do5#3	C5#4	321	322	1	8	417	95	96		0.666666666667
10	9	Do5#3	C5#4	321	322	1	4	833	99	96	tak	0.777777777778
11	9	Re5	D5	327	327	1	4	833	95	96		0.888888888889
12	9	Es	Es	-1	-1	1	4	833	100	0		1.0
13	9	Es	Es	-1	-1	1	4	833	100	0		1.11111111111
14	9	Re5	D5	327	327	1	8	417	99	96	mış 	1.16666666667
15	9	Mi5b1	E5b1	335	335	1	8	417	99	96		1.22222222222
16	9	Re5	D5	327	327	1	4	833	95	96		1.33333333333
17	9	Si4b1	B4b1	313	313	1	4	833	95	96	ta	1.44444444444
18	9	Re5	D5	327	327	1	16	208	99	96	kış	1.47222222222
19	9	Do5	C5	318	318	1	16	208	99	96		1.5
20	9	Re5	D5	327	327	1	16	208	99	96		1.52777777778
21	9	Mi5b1	E5b1	335	335	1	16	208	99	96		1.55555555556
22	9	Re5	D5	327	327	1	8	417	99	96		1.61111111111
23	9	Do5	C5	318	318	1	8	417	95	96		1.66666666667
24	9	Si4b1	B4b1	313	313	3	16	625	99	96	tır	1.75
25	9	La4#4	A4#4	309	309	1	16	208	99	96		1.77777777778
26	9	Si4b1	B4b1	313	313	1	4	833	95	96		1.88888888889
27	9	Es	Es	-1	-1	1	4	833	100	0		2.0
28	9	Es	Es	-1	-1	1	4	833	100	0		2.11111111111
29	9	Si4b1	B4b1	313	313	1	2	1667	95	96	mış 	2.33333333333
30	9	Re5	D5	327	327	1	4	833	95	96	da 	2.44444444444
31	9	Re5	D5	327	327	3	16	625	99	96	ol	2.52777777778
32	9	Do5#3	C5#4	321	322	1	16	208	99	96		2.55555555556
33	9	Si4b1	B4b1	313	313	1	4	833	95	96		2.66666666667
34	9	Re5	D5	327	327	1	8	417	99	96	muş 	2.72222222222
35	9	Do5#3	C5#4	321	322	1	8	417	99	96		2.77777777778
36	9	Si4b1	B4b1	313	313	1	8	417	99	96		2.83333333333
37	9	La4#4	A4#4	309	309	1	8	417	99	96		2.88888888889
38	9	Si4b1	B4b1	313	313	1	4	833	95	96		3.0
39	9	Es	Es	-1	-1	1	4	833	100	0		3.11111111111
40	9	Re5	D5	327	327	1	2	1667	95	96	dil	3.33333333333
41	9	Mi5b1	E5b1	335	335	1	8	417	99	96	ru	3.38888888889
42	9	Fa5	F5	340	340	1	8	417	95	96		3.44444444444
43	9	Mi5b1	E5b1	335	335	1	8	417	99	96	bâ  	3.5
44	9	Re5	D5	327	327	1	8	417	99	96		3.55555555556
45	9	Do5	C5	318	318	1	8	417	99	96		3.61111111111
46	11	Re5	D5	327	327	1	8	417	99	96		3.66666666667
47	9	Re5	D5	327	327	1	2	1667	95	96		3.88888888889
48	9	Es	Es	-1	-1	1	4	833	100	0		4.0
49	9	Es	Es	-1	-1	1	4	833	100	0		4.11111111111
50	9	Re5	D5	327	327	1	2	1667	95	96	Mec	4.33333333333
51	9	Re5	D5	327	327	1	4	833	95	96	lis_	4.44444444444
52	9	Do5#3	C5#4	321	322	1	8	417	99	96	i 	4.5
53	9	Re5	D5	327	327	1	8	417	99	96		4.55555555556
54	9	Mi5b1	E5b1	335	335	1	8	417	99	96		4.61111111111
55	9	Fa5#3	F5#4	343	344	1	8	417	95	96		4.66666666667
56	9	Sol5	G5	349	349	1	8	417	99	96	uş	4.72222222222
57	9	Fa5#2	F5#1	342	341	1	8	417	99	96		4.77777777778
58	9	Fa5#1	F5#1	341	341	1	8	417	99	96		4.83333333333
59	9	Mi5b1	E5b1	335	335	1	8	417	99	96		4.88888888889
60	9	Mi5b1	E5b1	335	335	1	8	417	99	96		4.94444444444
61	9	Re5	D5	327	327	1	8	417	95	96		5.0
62	9	Es	Es	-1	-1	1	4	833	100	0		5.11111111111
63	9	Re5	D5	327	327	1	8	417	99	96	şâ	5.16666666667
64	9	Mi5b1	E5b1	335	335	1	8	417	99	96		5.22222222222
65	9	Re5	D5	327	327	1	4	833	95	96		5.33333333333
66	9	Si4b1	B4b1	313	313	1	4	833	95	96	ka 	5.44444444444
67	9	Re5	D5	327	327	1	16	208	99	96	ol	5.47222222222
68	9	Do5	C5	318	318	1	16	208	99	96		5.5
69	9	Re5	D5	327	327	1	16	208	99	96		5.52777777778
70	9	Mi5b1	E5b1	335	335	1	16	208	99	96		5.55555555556
71	9	Re5	D5	327	327	1	8	417	99	96		5.61111111111
72	9	Do5	C5	318	318	1	8	417	95	96		5.66666666667
73	9	Si4b1	B4b1	313	313	1	8	417	99	96	muş	5.72222222222
74	9	La4#3	A4#4	308	309	1	8	417	99	96		5.77777777778
75	9	Si4b1	B4b1	313	313	1	4	833	95	96		5.88888888889
76	9	Es	Es	-1	-1	1	4	833	100	0		6.0
77	9	Es	Es	-1	-1	1	4	833	100	0		6.11111111111
78	9	Si4b1	B4b1	313	313	1	2	1667	95	96	tur 	6.33333333333
79	9	Do5	C5	318	318	1	4	833	95	96	bu 	6.44444444444
80	9	Do5	C5	318	318	1	8	417	99	96	şeb 	6.5
81	9	Si4b1	B4b1	313	313	1	8	417	99	96		6.55555555556
82	9	Si4b1	B4b1	313	313	1	8	417	95	96		6.61111111111
83	9	La4#4	A4#4	309	309	1	8	417	99	96	Rev	6.66666666667
84	9	La4#4	A4#4	309	309	3	16	625	99	96		6.75
85	9	Sol4	G4	296	296	1	16	208	99	96		6.77777777778
86	11	Sol4	G4	296	296	1	8	417	99	96		6.83333333333
87	9	Sol4	G4	296	296	1	16	208	99	96		6.86111111111
88	9	Fa4#4	F4#4	291	291	1	16	208	99	96		6.88888888889
89	9	Fa4#4	F4#4	291	291	1	4	833	95	96		7.0
90	9	Es	Es	-1	-1	1	4	833	100	0		7.11111111111
91	9	La4#4	A4#4	309	309	1	8	417	99	96	nak	7.16666666667
