Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Si4	B4	314	314	1	8	500	95	96		0.125000
2	9	Do5	C5	318	318	1	8	500	95	96		0.250000
3	9	Si4	B4	314	314	1	8	500	95	96		0.375000
4	9	La4	A4	305	305	1	8	500	95	96		0.500000
5	9	Sol4	G4	296	296	1	4	1000	95	96		0.750000
6	9	Fa4#5	F4#5	292	292	1	4	1000	95	96		1.000000
7	9	Sol4	G4	296	296	1	8	500	95	96		1.125000
8	9	La4	A4	305	305	1	8	500	95	96		1.250000
9	9	Sol4	G4	296	296	1	8	500	95	96		1.375000
10	9	Fa4#5	F4#5	292	292	1	8	500	95	96		1.500000
11	9	Mi4	E4	283	283	1	2	2000	95	96		2.000000
12	9	Si4	B4	314	314	1	8	500	95	96		2.125000
13	9	Do5	C5	318	318	1	8	500	95	96		2.250000
14	9	Si4	B4	314	314	1	8	500	95	96		2.375000
15	9	La4	A4	305	305	1	8	500	95	96		2.500000
16	9	Si4	B4	314	314	1	8	500	95	96		2.625000
17	9	Do5	C5	318	318	1	8	500	95	96		2.750000
18	9	Re5	D5	327	327	1	8	500	95	96		2.875000
19	9	Mi5	E5	336	336	1	8	500	95	96		3.000000
20	9	Fa5#5	F5#5	345	345	1	8	500	95	96		3.125000
21	9	Mi5	E5	336	336	1	8	500	95	96		3.250000
22	9	Re5	D5	327	327	1	8	500	95	96		3.375000
23	9	Do5	C5	318	318	1	8	500	95	96		3.500000
24	9	Si4	B4	314	314	1	2	2000	95	96		4.000000
25	9	Mi5	E5	336	336	1	4	1000	95	96		4.250000
26	9	Re5#4	D5#4	331	331	1	8	500	95	96		4.375000
27	9	Mi5	E5	336	336	1	8	500	95	96		4.500000
28	9	Fa5#5	F5#5	345	345	1	8	500	95	96		4.625000
29	9	Sol5	G5	349	349	1	8	500	95	96		4.750000
30	9	Fa5#5	F5#5	345	345	1	8	500	95	96		4.875000
31	9	Mi5	E5	336	336	1	8	500	95	96		5.000000
32	9	Re5#4	D5#4	331	331	1	8	500	95	96		5.125000
33	9	Do5	C5	318	318	1	8	500	95	96		5.250000
34	9	Si4	B4	314	314	1	8	500	95	96		5.375000
35	9	La4	A4	305	305	1	8	500	95	96		5.500000
36	9	Sol4	G4	296	296	1	2	2000	95	96		6.000000
37	9	Fa4#5	F4#5	292	292	1	8	500	95	96		6.125000
38	9	Sol4	G4	296	296	1	8	500	95	96		6.250000
39	9	Fa4#5	F4#5	292	292	1	8	500	95	96		6.375000
40	9	Mi4	E4	283	283	1	8	500	95	96		6.500000
41	9	Fa4#5	F4#5	292	292	1	8	500	95	96		6.625000
42	9	Sol4	G4	296	296	1	8	500	95	96		6.750000
43	9	La4	A4	305	305	1	8	500	95	96		6.875000
44	9	Si4	B4	314	314	1	8	500	95	96		7.000000
45	9	Sol4	G4	296	296	1	8	500	95	96		7.125000
46	9	Fa4#5	F4#5	292	292	1	8	500	95	96		7.250000
47	9	Mi4	E4	283	283	1	8	500	95	96		7.375000
48	9	Re4#4	D4#4	278	278	1	8	500	95	96		7.500000
49	9	Mi4	E4	283	283	1	2	2000	95	96		8.000000
