Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Es	Es	-1	-1	1	4	870	100	0		0.250000
2	9	La4	A4	305	305	1	8	435	95	96		0.375000
3	9	Si4b1	B4b1	313	313	1	8	435	95	96		0.500000
4	9	Do5	C5	318	318	3	8	1304	95	96		0.875000
5	9	Re5b4	D5b4	323	323	1	8	435	95	96		1.000000
6	9	Re5b4	D5b4	323	323	1	8	435	95	96		1.125000
7	9	Do5	C5	318	318	1	4	870	95	96		1.375000
8	9	Si4b1	B4b1	313	313	1	8	435	95	96		1.500000
9	9	Es	Es	-1	-1	1	8	435	100	0		1.625000
10	9	Do5	C5	318	318	1	4	870	95	96		1.875000
11	9	Mi5	E5	336	336	1	8	435	95	96		2.000000
12	9	Re5b4	D5b4	323	323	3	16	652	95	96		2.187500
13	9	Do5	C5	318	318	1	16	217	95	96		2.250000
14	9	Si4b1	B4b1	313	313	1	8	435	95	96		2.375000
15	9	Re5b4	D5b4	323	323	1	8	435	95	96		2.500000
16	9	Do5	C5	318	318	1	8	435	95	96		2.625000
17	9	Re5b4	D5b4	323	323	1	8	435	95	96		2.750000
18	9	Do5	C5	318	318	1	8	435	95	96		2.875000
19	9	Si4b1	B4b1	313	313	1	8	435	95	96		3.000000
20	9	Do5	C5	318	318	1	8	435	95	96		3.125000
21	9	Mi5	E5	336	336	1	8	435	95	96		3.250000
22	9	Re5b4	D5b4	323	323	1	8	435	95	96		3.375000
23	9	Do5	C5	318	318	1	8	435	95	96		3.500000
24	9	Si4b1	B4b1	313	313	1	4	870	95	96		3.750000
25	9	La4	A4	305	305	1	4	870	95	96		4.000000
26	9	La4	A4	305	305	1	8	435	95	96		4.125000
27	9	Si4b1	B4b1	313	313	1	8	435	95	96		4.250000
28	9	Do5	C5	318	318	1	8	435	95	96		4.375000
29	9	Si4b1	B4b1	313	313	1	8	435	95	96		4.500000
30	9	Re5b4	D5b4	323	323	1	8	435	95	96		4.625000
31	9	Do5	C5	318	318	1	8	435	95	96		4.750000
32	9	Mi5	E5	336	336	1	8	435	95	96		4.875000
33	9	Re5b4	D5b4	323	323	1	8	435	95	96		5.000000
34	9	Es	Es	-1	-1	1	8	435	100	0		5.125000
35	9	Do5	C5	318	318	1	4	870	95	96		5.375000
36	9	Si4b1	B4b1	313	313	1	8	435	95	96		5.500000
37	9	Si4b1	B4b1	313	313	1	8	435	95	96		5.625000
38	9	Do5	C5	318	318	1	8	435	95	96		5.750000
39	9	Si4b1	B4b1	313	313	1	8	435	95	96		5.875000
40	9	La4	A4	305	305	1	8	435	95	96		6.000000
41	9	La4	A4	305	305	1	8	435	95	96		6.125000
42	9	Es	Es	-1	-1	1	8	435	100	0		6.250000
43	9	Si4b1	B4b1	313	313	1	8	435	95	96		6.375000
44	9	La4	A4	305	305	1	8	435	95	96		6.500000
45	9	Sol4	G4	296	296	1	8	435	95	96		6.625000
46	9	La4	A4	305	305	1	8	435	95	96		6.750000
47	9	Si4b1	B4b1	313	313	1	8	435	95	96		6.875000
48	9	Do5	C5	318	318	1	8	435	95	96		7.000000
49	9	Si4b1	B4b1	313	313	1	8	435	95	96		7.125000
50	9	Do5	C5	318	318	1	4	870	95	96		7.375000
51	9	Si4b1	B4b1	313	313	1	16	217	95	96		7.437500
52	9	La4	A4	305	305	1	16	217	95	96		7.500000
53	9	La4	A4	305	305	1	2	1739	95	96		8.000000
54	9	Es	Es	-1	-1	1	4	870	100	0		8.250000
55	9	Si4b1	B4b1	313	313	1	8	435	95	96		8.375000
56	9	Do5	C5	318	318	1	8	435	95	96		8.500000
57	9	Re5	D5	327	327	1	8	435	95	96		8.625000
58	9	Mi5	E5	336	336	1	8	435	95	96		8.750000
59	9	Re5	D5	327	327	1	8	435	95	96		8.875000
60	9	Do5	C5	318	318	1	8	435	95	96		9.000000
61	9	Re5	D5	327	327	1	8	435	95	96		9.125000
62	9	Do5	C5	318	318	1	8	435	95	96		9.250000
63	9	Re5	D5	327	327	1	4	870	95	96		9.500000
64	9	Es	Es	-1	-1	1	8	435	100	0		9.625000
65	9	Do5	C5	318	318	1	4	870	95	96		9.875000
66	9	Re5	D5	327	327	1	8	435	95	96		10.000000
67	9	Mi5	E5	336	336	1	8	435	95	96		10.125000
68	9	Fa5	F5	340	340	1	4	870	95	96		10.375000
69	9	Mi5	E5	336	336	1	8	435	95	96		10.500000
70	9	Mi5	E5	336	336	1	8	435	95	96		10.625000
71	9	Re5b4	D5b4	323	323	1	8	435	95	96		10.750000
72	9	Re5b4	D5b4	323	323	1	8	435	95	96		10.875000
73	9	Do5	C5	318	318	1	8	435	95	96		11.000000
74	9	Es	Es	-1	-1	1	8	435	100	0		11.125000
75	9	Do5	C5	318	318	1	4	870	95	96		11.375000
76	9	Re5b4	D5b4	323	323	1	8	435	95	96		11.500000
77	9	Re5b4	D5b4	323	323	1	8	435	95	96		11.625000
78	9	Do5	C5	318	318	1	4	870	95	96		11.875000
79	9	Si4b1	B4b1	313	313	1	8	435	95	96		12.000000
80	9	La4	A4	305	305	1	8	435	95	96		12.125000
81	9	Si4b1	B4b1	313	313	1	8	435	95	96		12.250000
82	9	Sol4	G4	296	296	1	4	870	95	96		12.500000
83	9	Es	Es	-1	-1	1	8	435	100	0		12.625000
84	9	La4	A4	305	305	1	4	870	95	96		12.875000
85	9	Si4b1	B4b1	313	313	1	8	435	95	96		13.000000
86	9	Do5	C5	318	318	1	8	435	95	96		13.125000
87	9	Re5b4	D5b4	323	323	1	8	435	95	96		13.250000
88	9	Mi5	E5	336	336	1	8	435	95	96		13.375000
89	9	Fa5	F5	340	340	1	8	435	95	96		13.500000
90	9	Sol5	G5	349	349	1	8	435	95	96		13.625000
91	9	Fa5	F5	340	340	1	8	435	95	96		13.750000
92	9	Mi5	E5	336	336	1	8	435	95	96		13.875000
93	9	Re5b4	D5b4	323	323	1	8	435	95	96		14.000000
94	9	Re5b4	D5b4	323	323	1	8	435	95	96		14.125000
95	9	Do5	C5	318	318	1	8	435	95	96		14.250000
96	9	Do5	C5	318	318	1	8	435	95	96		14.375000
97	9	Si4b1	B4b1	313	313	1	8	435	95	96		14.500000
98	9	La4	A4	305	305	1	8	435	95	96		14.625000
99	9	Es	Es	-1	-1	1	8	435	100	0		14.750000
100	9	Mi5	E5	336	336	1	8	435	95	96		14.875000
101	9	Re5b4	D5b4	323	323	1	8	435	95	96		15.000000
102	9	Re5b4	D5b4	323	323	1	8	435	95	96		15.125000
103	9	Do5	C5	318	318	1	8	435	95	96		15.250000
104	9	Si4b1	B4b1	313	313	1	8	435	95	96		15.375000
105	9	Do5	C5	318	318	1	8	435	95	96		15.500000
106	9	Do5	C5	318	318	3	8	1304	95	96		15.875000
107	9	Es	Es	-1	-1	1	8	435	100	0		16.000000
108	9	Es	Es	-1	-1	1	4	870	100	0		16.250000
109	9	Si4b1	B4b1	313	313	1	8	435	95	96		16.375000
110	9	Do5	C5	318	318	1	8	435	95	96		16.500000
111	9	Re5b4	D5b4	323	323	1	8	435	95	96		16.625000
112	9	Mi5	E5	336	336	1	8	435	95	96		16.750000
113	9	Re5b4	D5b4	323	323	1	8	435	95	96		16.875000
114	9	Do5	C5	318	318	1	8	435	95	96		17.000000
115	9	Re5b4	D5b4	323	323	1	8	435	95	96		17.125000
116	9	Do5	C5	318	318	1	8	435	95	96		17.250000
117	9	Re5b4	D5b4	323	323	1	8	435	95	96		17.375000
118	9	Mi5	E5	336	336	1	8	435	95	96		17.500000
119	9	Mi5	E5	336	336	1	8	435	95	96		17.625000
120	9	Fa5	F5	340	340	1	8	435	95	96		17.750000
121	9	Mi5	E5	336	336	1	8	435	95	96		17.875000
122	9	Re5b4	D5b4	323	323	1	8	435	95	96		18.000000
123	9	Do5	C5	318	318	1	8	435	95	96		18.125000
124	9	Si4b1	B4b1	313	313	1	8	435	95	96		18.250000
125	9	Do5	C5	318	318	1	2	1739	95	96		18.750000
126	9	Do5	C5	318	318	1	8	435	95	96		18.875000
127	9	Re5b4	D5b4	323	323	1	8	435	95	96		19.000000
128	9	Re5b4	D5b4	323	323	1	8	435	95	96		19.125000
129	9	Do5	C5	318	318	1	4	870	95	96		19.375000
130	9	Re5b4	D5b4	323	323	1	8	435	95	96		19.500000
131	9	Do5	C5	318	318	1	16	217	95	96		19.562500
132	9	Si4b1	B4b1	313	313	1	16	217	95	96		19.625000
133	9	La4	A4	305	305	1	8	435	95	96		19.750000
134	9	Si4b1	B4b1	313	313	1	8	435	95	96		19.875000
135	9	Do5	C5	318	318	1	8	435	95	96		20.000000
136	9	Si4b1	B4b1	313	313	3	8	1304	95	96		20.375000
137	9	Es	Es	-1	-1	1	8	435	100	0		20.500000
138	9	Re5b4	D5b4	323	323	1	8	435	95	96		20.625000
139	9	Do5	C5	318	318	1	8	435	95	96		20.750000
140	9	Do5	C5	318	318	1	8	435	95	96		20.875000
141	9	Si4b1	B4b1	313	313	1	8	435	95	96		21.000000
142	9	Si4b1	B4b1	313	313	1	8	435	95	96		21.125000
143	9	La4	A4	305	305	1	4	870	95	96		21.375000
144	9	Si4b4	B4b4	310	310	1	8	435	95	96		21.500000
145	9	La4	A4	305	305	1	16	217	95	96		21.562500
146	9	Sol4#4	G4#4	300	300	1	16	217	95	96		21.625000
