Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La4	A4	305	305	1	4	833	95	96	Pes	0
2	9	La4	A4	305	305	1	8	417	95	96	he	0
3	9	La4	A4	305	305	1	4	833	95	96	man_	0
4	9	Do5	C5	318	318	1	8	417	95	96	ol	0
5	9	Si4b4	B4b4	310	310	1	8	417	95	96		0
6	9	La4	A4	305	305	1	4	833	95	96	du	0
7	9	La4	A4	305	305	1	8	417	95	96	sü	0
8	9	La4	A4	305	305	1	4	833	95	96	var	0
9	9	La4	A4	305	305	1	4	833	95	96	ol	0
10	9	Si4b4	B4b4	310	310	1	8	417	95	96	pak_	0
11	9	La4	A4	305	305	1	8	417	95	96		0
12	9	Si4b4	B4b4	310	310	3	8	1250	95	96		0
13	9	Do5	C5	318	318	1	8	417	95	96		0
14	9	Do5	C5	318	318	1	8	417	95	96	i	0
15	9	Si4b4	B4b4	310	310	1	8	417	95	96		0
16	9	La4	A4	305	305	1	8	417	95	96		0
17	9	La4	A4	305	305	1	2	1667	95	96		0
18	9	Si4b4	B4b4	310	310	1	4	833	95	96	zat	0
19	9	La4	A4	305	305	1	8	417	95	96		0
20	9	Sol4#4	G4#4	300	300	1	4	833	95	96		0
21	9	Si4b4	B4b4	310	310	1	4	833	95	96		0
22	9	La4	A4	305	305	1	4	833	95	96		0
23	9	Do5	C5	318	318	1	8	417	95	96		0
24	9	Si4b4	B4b4	310	310	3	16	625	95	96		0
25	9	La4	A4	305	305	1	16	208	95	96		0
26	9	Sol4#4	G4#4	300	300	1	8	417	95	96		0
27	9	La4	A4	305	305	1	8	417	95	96		0
28	9	Sol4#4	G4#4	300	300	1	8	417	95	96		0
29	9	Si4b4	B4b4	310	310	1	8	417	95	96		0
30	9	La4	A4	305	305	1	2	1667	95	96		0
31	9	La4	A4	305	305	1	8	417	95	96	na	0
32	9	Si4b2	B4b1	312	313	1	8	417	95	96		0
33	9	Si4b2	B4b1	312	313	1	8	417	95	96	re	0
34	9	Do5	C5	318	318	1	4	833	95	96	i	0
35	9	Do5	C5	318	318	1	4	833	95	96	şa	0
36	9	Do5	C5	318	318	1	4	833	95	96	paş	0
37	9	Do5	C5	318	318	1	8	417	95	96	i	0
38	9	Do5	C5	318	318	1	4	833	95	96	le	0
39	9	Re5b3	D5b4	324	323	1	4	833	95	96	dol	0
40	9	Do5	C5	318	318	1	4	833	95	96	du	0
41	9	Si4b2	B4b1	312	313	1	8	417	95	96	ci	0
42	9	Re5b3	D5b4	324	323	1	8	417	95	96		0
43	9	Do5	C5	318	318	3	8	1250	95	96		0
44	9	Si4b2	B4b1	312	313	1	8	417	95	96		0
45	9	Si4b2	B4b1	312	313	1	16	208	95	96	ha	0
46	9	Do5	C5	318	318	1	16	208	95	96		0
47	9	Si4b2	B4b1	312	313	1	8	417	95	96		0
48	9	Do5	C5	318	318	1	8	417	95	96		0
49	9	Si4b2	B4b1	312	313	1	8	417	95	96		0
50	9	La4	A4	305	305	1	8	417	95	96		0
51	9	La4	A4	305	305	1	6	556	95	96	hat	0
52	9	Si4b2	B4b1	312	313	1	6	556	95	96		0
