Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	9	Do5	C5	318	318	1	4	588	95	96	Ey 
2	9	Do5	C5	318	318	1	4	588	95	96	bâd_
3	9	Do5	C5	318	318	1	4	588	95	96	ý 
4	9	Do5	C5	318	318	1	4	588	95	96	sa
5	9	Do5	C5	318	318	1	2	1176	95	96	bâ 
6	9	Sol4	G4	296	296	1	2	1176	95	96	yâr 
7	9	La4	A4	305	305	1	4	588	95	96	i
8	9	Si4b2	B4b1	312	313	1	4	588	95	96	le 
9	9	Do5	C5	318	318	1	2	1176	95	96	vus
10	9	Do5	C5	318	318	1	4	588	99	96	lat 
11	9	Re5b3	D5b4	324	323	1	4	588	95	96	
12	9	Re5b3	D5b4	324	323	1	4	588	95	96	ne 
13	9	Re5b3	D5b4	324	323	1	8	294	99	96	za
14	9	Do5	C5	318	318	1	8	294	95	96	
15	9	Do5	C5	318	318	1	2	1176	95	96	man
16	9	Si4b2	B4b1	312	313	1	4	588	99	96	dýr  
17	9	Do5	C5	318	318	1	4	588	99	96	
18	9	Si4b2	B4b1	312	313	1	4	588	99	96	
19	9	La4	A4	305	305	3	4	1765	95	96	
20	9	La4	A4	305	305	3	8	882	99	96	vus
21	9	Si4b2	B4b1	312	313	1	8	294	95	96	
22	9	Do5	C5	318	318	2	2	2352	95	96	lat 
23	9	Re5b3	D5b4	324	323	1	4	588	99	96	
24	9	Mi5	E5	336	336	1	4	588	99	96	
25	9	Mi5	E5	336	336	1	8	294	99	96	
26	9	Fa5	F5	340	340	1	8	294	99	96	
27	9	Mi5	E5	336	336	1	8	294	99	96	
28	9	Re5b3	D5b4	324	323	1	8	294	99	96	
29	9	Re5b3	D5b4	324	323	1	4	588	99	96	
30	9	Do5	C5	318	318	1	4	588	95	96	
31	9	Do5	C5	318	318	1	4	588	95	96	ne 
32	9	Re5b3	D5b4	324	323	1	4	588	95	96	za
33	9	Do5	C5	318	318	1	8	294	99	96	man
34	9	Si4b2	B4b1	312	313	1	8	294	99	96	
35	9	La4	A4	305	305	1	2	1176	99	96	
36	9	Si4b2	B4b1	312	313	1	8	294	99	96	
37	9	Do5	C5	318	318	1	8	294	95	96	
38	9	Si4b2	B4b1	312	313	1	4	588	99	96	dýr  
39	9	Do5	C5	318	318	5	4	2940	95	96	
40	9	Do5	C5	318	318	1	4	588	95	96	Bir 
41	9	Fa5	F5	340	340	1	4	588	95	96	ker
42	9	Fa5	F5	340	340	1	4	588	95	96	re 
43	9	Fa5	F5	340	340	1	8	294	99	96	su
