Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Do5	C5	318	318	1	16	278	95	96		0.0625
2	9	Re5b3	D5b4	324	323	1	16	278	95	96		0.125
3	9	Do5	C5	318	318	1	16	278	95	96		0.1875
4	9	Si4b2	B4b1	312	313	1	16	278	95	96		0.25
5	9	Do5	C5	318	318	1	16	278	95	96		0.3125
6	9	Si4b2	B4b1	312	313	1	16	278	95	96		0.375
7	9	La4	A4	305	305	1	16	278	95	96		0.4375
8	9	Si4b2	B4b1	312	313	1	16	278	95	96		0.5
9	9	Do5	C5	318	318	1	4	1111	95	96		0.75
10	9	Si4b2	B4b1	312	313	1	4	1111	95	96		1.0
11	9	Si4b1	B4b1	313	313	1	16	278	95	96		1.0625
12	9	Do5	C5	318	318	1	16	278	95	96		1.125
13	9	Si4b1	B4b1	313	313	1	16	278	95	96		1.1875
14	9	La4	A4	305	305	1	16	278	95	96		1.25
15	9	Si4b1	B4b1	313	313	1	16	278	95	96		1.3125
16	9	La4	A4	305	305	1	16	278	95	96		1.375
17	9	Sol4	G4	296	296	1	16	278	95	96		1.4375
18	9	La4	A4	305	305	1	16	278	95	96		1.5
19	9	Si4b1	B4b1	313	313	1	4	1111	95	96		1.75
20	9	La4	A4	305	305	1	4	1111	95	96		2.0
21	9	Mi5	E5	336	336	1	16	278	95	96		2.0625
22	9	Fa5	F5	340	340	1	16	278	95	96		2.125
23	9	Sol5	G5	349	349	1	16	278	95	96		2.1875
24	9	Fa5	F5	340	340	1	16	278	95	96		2.25
25	9	Mi5	E5	336	336	1	16	278	95	96		2.3125
26	9	Re5b4	D5b4	323	323	1	16	278	95	96		2.375
27	9	Do5	C5	318	318	1	16	278	95	96		2.4375
28	9	Mi5	E5	336	336	1	16	278	95	96		2.5
29	9	Re5b3	D5b4	324	323	1	4	1111	95	96		2.75
30	9	Si4b1	B4b1	313	313	1	4	1111	95	96		3.0
31	9	Do5	C5	318	318	1	16	278	95	96		3.0625
32	9	Si4b1	B4b1	313	313	1	16	278	95	96		3.125
33	9	La4	A4	305	305	1	16	278	95	96		3.1875
34	9	Mi5	E5	336	336	1	16	278	95	96		3.25
35	9	Re5b3	D5b4	324	323	1	16	278	95	96		3.3125
36	9	Do5	C5	318	318	1	16	278	95	96		3.375
37	9	Si4b1	B4b1	313	313	1	16	278	95	96		3.4375
38	9	Do5	C5	318	318	1	16	278	95	96		3.5
39	9	Si4b1	B4b1	313	313	1	8	556	95	96		3.625
40	9	La4	A4	305	305	3	8	1667	95	96		4.0
