Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	8	4	0	18	0	Ağırdüyek	0.0
2	9	Do5	C5	318	318	1	4	1000	99	96	Gûş_	0.125
3	9	Si4b2	B4b1	312	313	1	8	500	99	96		0.1875
4	9	Do5	C5	318	318	1	8	500	99	96		0.25
5	9	Re5b3	D5b4	324	323	3	32	375	99	96		0.296875
6	9	Do5	C5	318	318	1	32	125	99	96		0.3125
7	9	Re5b3	D5b4	324	323	1	16	250	99	96		0.34375
8	9	Mi5	E5	336	336	1	16	250	99	96		0.375
9	9	Re5b3	D5b4	324	323	1	8	500	99	96		0.4375
10	9	Do5	C5	318	318	1	8	500	95	96		0.5
11	9	Do5	C5	318	318	3	16	750	99	96	ey	0.59375
12	9	Re5b3	D5b4	324	323	1	16	250	99	96		0.625
13	9	Do5	C5	318	318	1	8	500	99	96		0.6875
14	9	Re5b3	D5b4	324	323	1	16	250	99	96		0.71875
15	9	Si4b2	B4b1	312	313	1	16	250	95	96		0.75
16	9	La4	A4	305	305	1	4	1000	95	96	le 	0.875
17	9	Es	Es	-1	-1	1	4	1000	100	0		1.0
18	9	La4	A4	305	305	1	8	500	99	96	gel 	1.0625
19	9	Si4b2	B4b1	312	313	1	8	500	99	96		1.125
20	9	Sol4	G4	296	296	1	8	500	99	96		1.1875
21	9	La4	A4	305	305	1	8	500	99	96		1.25
22	9	Si4b2	B4b1	312	313	1	8	500	99	96		1.3125
23	9	Do5	C5	318	318	1	8	500	99	96		1.375
24	9	La4	A4	305	305	1	8	500	99	96		1.4375
25	9	Si4b2	B4b1	312	313	1	8	500	99	96		1.5
26	9	Do5	C5	318	318	1	8	500	99	96		1.5625
27	9	Re5b3	D5b4	324	323	1	8	500	99	96		1.625
28	9	Do5	C5	318	318	1	8	500	99	96		1.6875
29	9	Si4b2	B4b1	312	313	1	8	500	99	96		1.75
30	9	Do5	C5	318	318	3	32	375	99	96		1.796875
31	9	Si4b2	B4b1	312	313	1	32	125	99	96		1.8125
32	9	Do5	C5	318	318	1	16	250	99	96		1.84375
33	9	Mi5	E5	336	336	1	16	250	99	96		1.875
34	9	Re5b3	D5b4	324	323	1	4	1000	100	96		2.0
35	9	Re5b3	D5b4	324	323	1	8	500	95	96		2.0625
36	9	Es	Es	-1	-1	1	8	500	100	0		2.125
37	9	Do5	C5	318	318	1	8	500	99	96	bül	2.1875
38	9	Re5b3	D5b4	324	323	1	8	500	99	96		2.25
39	9	Mi5	E5	336	336	1	8	500	99	96		2.3125
40	9	Fa5	F5	340	340	1	8	500	99	96		2.375
41	9	Sol5	G5	349	349	1	8	500	99	96		2.4375
42	9	La5	A5	358	358	1	8	500	95	96		2.5
43	9	Sol5	G5	349	349	1	8	500	99	96	bül	2.5625
44	9	Fa5	F5	340	340	1	8	500	99	96		2.625
45	9	Mi5	E5	336	336	1	8	500	99	96		2.6875
46	9	Re5b3	D5b4	324	323	1	8	500	99	96		2.75
47	9	Do5	C5	318	318	3	16	750	99	96		2.84375
48	9	Si4b2	B4b1	312	313	1	16	250	99	96		2.875
49	9	La4	A4	305	305	1	8	500	95	96		2.9375
50	9	Mi5	E5	336	336	1	8	500	95	96	le	3.0
51	9	Re5b3	D5b4	324	323	3	16	750	99	96	ri  	3.09375
52	9	Do5	C5	318	318	1	16	250	99	96		3.125
53	9	Si4b2	B4b1	312	313	1	8	500	99	96		3.1875
54	9	Do5	C5	318	318	1	8	500	99	96		3.25
55	9	Si4b2	B4b1	312	313	1	8	500	99	96		3.3125
56	9	Do5	C5	318	318	1	8	500	99	96		3.375
57	9	Re5b3	D5b4	324	323	3	32	375	99	96		3.421875
58	9	Mi5	E5	336	336	1	32	125	99	96		3.4375
59	9	Re5b3	D5b4	324	323	1	16	250	99	96		3.46875
60	9	Do5	C5	318	318	1	16	250	99	96		3.5
61	9	Do5	C5	318	318	1	4	1000	95	96		3.625
62	9	Mi5	E5	336	336	1	16	250	95	96	SAZ	3.65625
63	9	Fa5	F5	340	340	1	16	250	95	96	.	3.6875
64	9	Sol5	G5	349	349	3	8	1500	95	96	.	3.875
65	9	Es	Es	-1	-1	1	4	1000	100	0		4.0
66	9	Fa5	F5	340	340	1	4	1000	99	96	Nûş_	4.125
67	9	Sol5	G5	349	349	3	4	3000	95	96		4.5
68	9	La5b4	A5b4	354	354	3	16	750	99	96	ey	4.59375
69	9	Sol5	G5	349	349	1	16	250	99	96		4.625
70	9	Sol5	G5	349	349	1	16	250	99	96		4.65625
71	9	Fa5	F5	340	340	1	16	250	99	96		4.6875
72	9	Fa5	F5	340	340	1	16	250	99	96		4.71875
73	9	Mi5	E5	336	336	1	16	250	99	96		4.75
74	9	Fa5	F5	340	340	3	8	1500	95	96		4.9375
75	9	Fa5	F5	340	340	1	8	500	95	96	le 	5.0
76	9	Mi5	E5	336	336	1	8	500	99	96	cam_	5.0625
77	9	Fa5	F5	340	340	1	8	500	99	96		5.125
