Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	9	La4	A4	305	305	3	8	1667	95	96	.
2	9	La4	A4	305	305	1	16	278	95	96	Ba
3	9	Si4b2	B4b1	312	313	1	16	278	95	96	ký
4	9	Do5	C5	318	318	1	4	1111	95	96	þýn 
5	9	Do5	C5	318	318	1	16	278	99	96	â
6	9	Re5b3	D5b4	324	323	1	16	278	99	96	
7	9	Do5	C5	318	318	1	16	278	99	96	
8	9	Re5b3	D5b4	324	323	1	16	278	99	96	
9	9	Do5	C5	318	318	1	16	278	99	96	
10	9	Si4b2	B4b1	312	313	1	16	278	99	96	
11	9	Mi5	E5	336	336	1	16	278	99	96	
12	9	Re5b3	D5b4	324	323	1	8	556	99	96	
13	9	Do5	C5	318	318	1	16	278	99	96	
14	9	Si4b2	B4b1	312	313	1	8	556	95	96	
15	9	Do5	C5	318	318	1	16	278	95	96	hu
16	9	Re5b3	D5b4	324	323	1	16	278	95	96	ya 
17	9	Do5	C5	318	318	1	16	278	99	96	dön
18	9	Si4b2	B4b1	312	313	1	16	278	99	96	
19	9	La4	A4	305	305	1	16	278	99	96	
20	9	Si4b2	B4b1	312	313	1	16	278	95	96	
21	9	Do5	C5	318	318	1	4	1111	99	96	müþ 
22	9	Do5	C5	318	318	1	16	278	99	96	
23	9	Si4b2	B4b1	312	313	1	16	278	99	96	
24	9	Do5	C5	318	318	3	8	1667	95	96	
25	9	Do5	C5	318	318	1	16	278	95	96	gü
26	9	Re5b3	D5b4	324	323	1	16	278	95	96	lü
27	9	Mi5	E5	336	336	1	8	556	99	96	þün 
28	9	Fa5	F5	340	340	1	8	556	95	96	
29	9	Sol5	G5	349	349	1	8	556	99	96	öm
30	9	Fa5	F5	340	340	1	8	556	99	96	
31	9	Mi5	E5	336	336	1	8	556	99	96	
32	9	Re5b3	D5b4	324	323	3	16	833	99	96	
33	9	Do5	C5	318	318	1	16	278	99	96	
34	9	Si4b2	B4b1	312	313	1	8	556	95	96	
35	8	Fa5	F5	340	340	1	128	35	95	96	
36	9	Mi5	E5	336	336	1	16	278	95	96	re 
37	9	Re5b3	D5b4	324	323	1	16	278	95	96	be
38	9	Do5	C5	318	318	1	4	1111	95	96	del  
39	9	Do5	C5	318	318	1	16	278	95	96	SAZ
40	9	Re5b3	D5b4	324	323	1	16	278	95	96	.
41	9	Do5	C5	318	318	1	16	278	95	96	.
42	9	Si4b2	B4b1	312	313	1	16	278	95	96	.
43	9	La4	A4	305	305	1	16	278	95	96	.
44	9	Si4b2	B4b1	312	313	1	16	278	95	96	.
45	9	La4	A4	305	305	3	8	1667	95	96	.
46	9	La4	A4	305	305	1	16	278	95	96	Ba
47	9	Si4b2	B4b1	312	313	1	16	278	95	96	ký
48	9	Do5	C5	318	318	1	4	1111	95	96	þýn 
49	9	Do5	C5	318	318	1	16	278	99	96	â
50	9	Re5b3	D5b4	324	323	1	16	278	99	96	
51	9	Do5	C5	318	318	1	16	278	99	96	
52	9	Re5b3	D5b4	324	323	1	16	278	99	96	
53	9	Do5	C5	318	318	1	16	278	99	96	
54	9	Si4b2	B4b1	312	313	1	16	278	99	96	
55	9	Mi5	E5	336	336	1	16	278	99	96	
56	9	Re5b3	D5b4	324	323	1	8	556	99	96	
57	9	Do5	C5	318	318	1	16	278	99	96	
58	9	Si4b2	B4b1	312	313	1	8	556	95	96	
59	9	Do5	C5	318	318	1	16	278	95	96	hu
60	9	Re5b3	D5b4	324	323	1	16	278	95	96	ya 
61	9	Do5	C5	318	318	1	16	278	99	96	dön
62	9	Si4b2	B4b1	312	313	1	16	278	99	96	
63	9	La4	A4	305	305	1	16	278	99	96	
64	9	Si4b2	B4b1	312	313	1	16	278	95	96	
65	9	Do5	C5	318	318	1	4	1111	99	96	müþ 
66	9	Do5	C5	318	318	1	16	278	99	96	
67	9	Si4b2	B4b1	312	313	1	16	278	99	96	
68	9	Do5	C5	318	318	3	8	1667	95	96	
69	9	Do5	C5	318	318	1	16	278	95	96	gü
70	9	Re5b3	D5b4	324	323	1	16	278	95	96	lü
71	9	Mi5	E5	336	336	1	8	556	99	96	þün 
72	9	Fa5	F5	340	340	1	8	556	95	96	
73	9	Sol5	G5	349	349	1	8	556	99	96	öm
74	9	Fa5	F5	340	340	1	8	556	99	96	
75	9	Mi5	E5	336	336	1	8	556	99	96	
76	9	Re5b3	D5b4	324	323	3	16	833	99	96	
77	9	Do5	C5	318	318	1	16	278	99	96	
78	9	Si4b2	B4b1	312	313	1	8	556	95	96	
79	8	Fa5	F5	340	340	1	128	35	95	96	
80	9	Mi5	E5	336	336	1	16	278	95	96	re 
81	9	Re5b3	D5b4	324	323	1	16	278	95	96	be
82	9	Do5	C5	318	318	1	4	1111	95	96	del  
