Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	9	Do5	C5	318	318	1	4	1000	99	96	Gûþ_
2	9	Si4b2	B4b1	312	313	1	8	500	99	96	
3	9	Do5	C5	318	318	1	8	500	99	96	
4	9	Re5b3	D5b4	324	323	3	32	375	99	96	
5	9	Do5	C5	318	318	1	32	125	99	96	
6	9	Re5b3	D5b4	324	323	1	16	250	99	96	
7	9	Mi5	E5	336	336	1	16	250	99	96	
8	9	Re5b3	D5b4	324	323	1	8	500	99	96	
9	9	Do5	C5	318	318	1	8	500	95	96	
10	9	Do5	C5	318	318	3	16	750	99	96	ey
11	9	Re5b3	D5b4	324	323	1	16	250	99	96	
12	9	Do5	C5	318	318	1	8	500	99	96	
13	9	Re5b3	D5b4	324	323	1	16	250	99	96	
14	9	Si4b2	B4b1	312	313	1	16	250	95	96	
15	9	La4	A4	305	305	2	4	2000	95	96	le 
16	9	La4	A4	305	305	1	8	500	99	96	gel 
17	9	Si4b2	B4b1	312	313	1	8	500	99	96	
18	9	Sol4	G4	296	296	1	8	500	99	96	
19	9	La4	A4	305	305	1	8	500	99	96	
20	9	Si4b2	B4b1	312	313	1	8	500	99	96	
21	9	Do5	C5	318	318	1	8	500	99	96	
22	9	La4	A4	305	305	1	8	500	99	96	
23	9	Si4b2	B4b1	312	313	1	8	500	99	96	
24	9	Do5	C5	318	318	1	8	500	99	96	
25	9	Re5b3	D5b4	324	323	1	8	500	99	96	
26	9	Do5	C5	318	318	1	8	500	99	96	
27	9	Si4b2	B4b1	312	313	1	8	500	99	96	
28	9	Do5	C5	318	318	3	32	375	99	96	
29	9	Si4b2	B4b1	312	313	1	32	125	99	96	
30	9	Do5	C5	318	318	1	16	250	99	96	
31	9	Mi5	E5	336	336	1	16	250	99	96	
32	9	Re5b3	D5b4	324	323	4	8	2000	95	96	
33	9	Do5	C5	318	318	1	8	500	99	96	bül
34	9	Re5b3	D5b4	324	323	1	8	500	99	96	
35	9	Mi5	E5	336	336	1	8	500	99	96	
36	9	Fa5	F5	340	340	1	8	500	99	96	
37	9	Sol5	G5	349	349	1	8	500	99	96	
38	9	La5	A5	358	358	1	8	500	95	96	
39	9	Sol5	G5	349	349	1	8	500	99	96	bül
40	9	Fa5	F5	340	340	1	8	500	99	96	
