Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Do5	C5	318	318	1	16	185	95	96	ARANAĞME	0.062500
2	9	Re5b3	D5b4	324	323	1	16	185	95	96	.	0.125000
3	9	Do5	C5	318	318	1	16	185	95	96	.	0.187500
4	9	Si4b2	B4b1	312	313	1	16	185	95	96	.	0.250000
5	9	Do5	C5	318	318	1	16	185	95	96	.	0.312500
6	9	Re5b3	D5b4	324	323	1	16	185	95	96	.	0.375000
7	9	Do5	C5	318	318	1	16	185	95	96	.	0.437500
8	9	Si4b2	B4b1	312	313	1	16	185	95	96	.	0.500000
9	9	Do5	C5	318	318	1	16	185	95	96	.	0.562500
10	9	Re5b3	D5b4	324	323	1	16	185	95	96	.	0.625000
11	9	Do5	C5	318	318	1	16	185	95	96	.	0.687500
12	9	Re5b3	D5b4	324	323	1	16	185	95	96	.	0.750000
13	10	Do5	C5	318	318	1	16	185	95	96	.	0.812500
14	8	Re5b3	D5b4	324	323	0	0	0	95	96	.	0.812500
15	9	Do5	C5	318	318	1	16	185	95	96	.	0.875000
16	9	Si4b2	B4b1	312	313	1	16	185	95	96	.	0.937500
17	9	La4	A4	305	305	1	16	185	95	96	.	1.000000
18	9	Si4b2	B4b1	312	313	1	8	370	95	96	.	1.125000
19	9	Do5	C5	318	318	1	8	370	95	96	.	1.250000
20	10	Do5	C5	318	318	1	16	185	95	96	.	1.312500
21	8	Re5b3	D5b4	324	323	0	0	0	95	96	.	1.312500
22	9	Do5	C5	318	318	1	16	185	95	96	.	1.375000
23	9	Si4b2	B4b1	312	313	1	16	185	95	96	.	1.437500
24	9	La4	A4	305	305	1	16	185	95	96	.	1.500000
25	9	La4	A4	305	305	1	2	1481	95	96	.	2.000000
26	9	Es	Es	-1	-1	1	8	370	100	0	.	2.125000
27	9	Do5	C5	318	318	1	16	185	95	96	.	2.187500
28	9	Re5b3	D5b4	324	323	1	16	185	95	96	.	2.250000
29	10	Mi5	E5	336	336	1	8	370	95	96	.	2.375000
30	8	Fa5	F5	340	340	0	0	0	95	96	.	2.375000
31	9	Mi5	E5	336	336	1	16	185	95	96	.	2.437500
32	9	Re5b3	D5b4	324	323	1	16	185	95	96	.	2.500000
33	9	Re5b3	D5b4	324	323	1	16	185	95	96	.	2.562500
34	9	Do5	C5	318	318	1	8	370	95	96	.	2.687500
35	9	Si4b2	B4b1	312	313	1	16	185	95	96	.	2.750000
36	9	Do5	C5	318	318	1	16	185	95	96	.	2.812500
37	9	Si4b2	B4b1	312	313	1	16	185	95	96	.	2.875000
38	9	Si4b2	B4b1	312	313	1	16	185	95	96	.	2.937500
39	9	La4	A4	305	305	1	16	185	95	96	.	3.000000
40	9	La4	A4	305	305	1	16	185	95	96	.	3.062500
41	9	Si4b2	B4b1	312	313	1	8	370	95	96	.	3.187500
42	9	Do5	C5	318	318	1	16	185	95	96	.	3.250000
43	10	Do5	C5	318	318	1	16	185	95	96	.	3.312500
44	8	Re5b3	D5b4	324	323	0	0	0	95	96	.	3.312500
45	9	Do5	C5	318	318	1	16	185	95	96	.	3.375000
46	9	Si4b2	B4b1	312	313	1	16	185	95	96	.	3.437500
47	9	La4	A4	305	305	1	16	185	95	96	.	3.500000
48	9	La4	A4	305	305	1	2	1481	95	96	.	4.000000
49	9	Do5	C5	318	318	1	16	185	95	96	ARANAĞME	4.062500
50	9	Re5b3	D5b4	324	323	1	16	185	95	96	.	4.125000
51	9	Do5	C5	318	318	1	16	185	95	96	.	4.187500
52	9	Si4b2	B4b1	312	313	1	16	185	95	96	.	4.250000
53	9	Do5	C5	318	318	1	16	185	95	96	.	4.312500
54	9	Re5b3	D5b4	324	323	1	16	185	95	96	.	4.375000
55	9	Do5	C5	318	318	1	16	185	95	96	.	4.437500
56	9	Si4b2	B4b1	312	313	1	16	185	95	96	.	4.500000
57	9	Do5	C5	318	318	1	16	185	95	96	.	4.562500
58	9	Re5b3	D5b4	324	323	1	16	185	95	96	.	4.625000
59	9	Do5	C5	318	318	1	16	185	95	96	.	4.687500
60	9	Re5b3	D5b4	324	323	1	16	185	95	96	.	4.750000
61	10	Do5	C5	318	318	1	16	185	95	96	.	4.812500
62	8	Re5b3	D5b4	324	323	0	0	0	95	96	.	4.812500
63	9	Do5	C5	318	318	1	16	185	95	96	.	4.875000
64	9	Si4b2	B4b1	312	313	1	16	185	95	96	.	4.937500
65	9	La4	A4	305	305	1	16	185	95	96	.	5.000000
66	9	Si4b2	B4b1	312	313	1	8	370	95	96	.	5.125000
67	9	Do5	C5	318	318	1	8	370	95	96	.	5.250000
68	10	Do5	C5	318	318	1	16	185	95	96	.	5.312500
69	8	Re5b3	D5b4	324	323	0	0	0	95	96	.	5.312500
