Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol5	G5	349	349	1	8	333	95	96	ARANAĞME	0.166666666667
2	9	Sol5	G5	349	349	1	8	333	95	96	.	0.333333333333
3	9	Fa5#4	F5#4	344	344	1	8	333	95	96	.	0.5
4	9	Sol5	G5	349	349	1	8	333	95	96	.	0.666666666667
5	9	Mi5b1	E5b1	335	335	1	8	333	95	96	.	0.833333333333
6	9	Re5	D5	327	327	1	8	333	95	96	.	1.0
7	9	Re5	D5	327	327	1	8	333	95	96	.	1.16666666667
8	9	Re5	D5	327	327	1	8	333	95	96	.	1.33333333333
9	9	Mi5b1	E5b1	335	335	1	8	333	95	96	.	1.5
10	9	Fa5#4	F5#4	344	344	3	8	1000	95	96	.	2.0
11	9	La5	A5	358	358	1	8	333	95	96	.	2.16666666667
12	9	Sol5	G5	349	349	1	8	333	95	96	.	2.33333333333
13	9	Fa5#4	F5#4	344	344	1	8	333	95	96	.	2.5
14	9	Sol5	G5	349	349	1	8	333	95	96	.	2.66666666667
15	9	Mi5b1	E5b1	335	335	1	8	333	95	96	.	2.83333333333
16	9	Re5	D5	327	327	1	8	333	95	96	.	3.0
17	9	Re5	D5	327	327	3	4	2000	95	96	.	4.0
18	9	Si4b1	B4b1	313	313	1	8	333	95	96	.	4.16666666667
19	9	Si4b1	B4b1	313	313	1	8	333	95	96	.	4.33333333333
20	9	Re5	D5	327	327	1	8	333	95	96	.	4.5
21	9	Re5	D5	327	327	1	8	333	95	96	.	4.66666666667
22	9	Re5	D5	327	327	1	8	333	95	96	.	4.83333333333
23	9	Do5	C5	318	318	1	8	333	95	96	.	5.0
24	9	Si4b1	B4b1	313	313	1	8	333	95	96	.	5.16666666667
25	9	Si4b1	B4b1	313	313	1	8	333	95	96	.	5.33333333333
26	9	Do5	C5	318	318	1	8	333	95	96	.	5.5
27	9	Re5	D5	327	327	3	8	1000	95	96	.	6.0
28	9	Mi5b1	E5b1	335	335	1	8	333	95	96	.	6.16666666667
29	9	Do5	C5	318	318	1	4	667	95	96	.	6.5
30	9	Re5	D5	327	327	1	8	333	95	96	.	6.66666666667
31	9	Re5	D5	327	327	1	8	333	95	96	.	6.83333333333
32	9	Do5	C5	318	318	1	8	333	95	96	.	7.0
33	9	Si4b1	B4b1	313	313	1	4	667	95	96	.	7.33333333333
34	9	Sol4	G4	296	296	1	8	333	95	96	.	7.5
35	9	Si4b1	B4b1	313	313	3	8	1000	95	96	.	8.0
36	9	Sol5	G5	349	349	1	8	333	95	96	ARANAĞME	8.16666666667
37	9	Sol5	G5	349	349	1	8	333	95	96	.	8.33333333333
38	9	Fa5#4	F5#4	344	344	1	8	333	95	96	.	8.5
39	9	Sol5	G5	349	349	1	8	333	95	96	.	8.66666666667
40	9	Mi5b1	E5b1	335	335	1	8	333	95	96	.	8.83333333333
41	9	Re5	D5	327	327	1	8	333	95	96	.	9.0
42	9	Re5	D5	327	327	1	8	333	95	96	.	9.16666666667
43	9	Re5	D5	327	327	1	8	333	95	96	.	9.33333333333
44	9	Mi5b1	E5b1	335	335	1	8	333	95	96	.	9.5
45	9	Fa5#4	F5#4	344	344	3	8	1000	95	96	.	10.0
46	9	La5	A5	358	358	1	8	333	95	96	.	10.1666666667
47	9	Sol5	G5	349	349	1	8	333	95	96	.	10.3333333333
48	9	Fa5#4	F5#4	344	344	1	8	333	95	96	.	10.5
49	9	Sol5	G5	349	349	1	8	333	95	96	.	10.6666666667
50	9	Mi5b1	E5b1	335	335	1	8	333	95	96	.	10.8333333333
51	9	Re5	D5	327	327	1	8	333	95	96	.	11.0
52	9	Re5	D5	327	327	3	4	2000	95	96	.	12.0
53	9	Si4b1	B4b1	313	313	1	8	333	95	96	.	12.1666666667
54	9	Si4b1	B4b1	313	313	1	8	333	95	96	.	12.3333333333
55	9	Re5	D5	327	327	1	8	333	95	96	.	12.5
56	9	Re5	D5	327	327	1	8	333	95	96	.	12.6666666667
57	9	Re5	D5	327	327	1	8	333	95	96	.	12.8333333333
58	9	Do5	C5	318	318	1	8	333	95	96	.	13.0
59	9	Si4b1	B4b1	313	313	1	8	333	95	96	.	13.1666666667
60	9	Si4b1	B4b1	313	313	1	8	333	95	96	.	13.3333333333
61	9	Do5	C5	318	318	1	8	333	95	96	.	13.5
62	9	Re5	D5	327	327	3	8	1000	95	96	.	14.0
63	9	Mi5b1	E5b1	335	335	1	8	333	95	96	.	14.1666666667
64	9	Do5	C5	318	318	1	4	667	95	96	.	14.5
65	9	Re5	D5	327	327	1	8	333	95	96	.	14.6666666667
66	9	Re5	D5	327	327	1	8	333	95	96	.	14.8333333333
67	9	Do5	C5	318	318	1	8	333	95	96	.	15.0
68	9	Si4b1	B4b1	313	313	1	4	667	95	96	.	15.3333333333
69	9	Sol4	G4	296	296	1	8	333	95	96	.	15.5
70	9	Si4b1	B4b1	313	313	3	8	1000	95	96	.	16.0
