Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Do5	C5	318	318	1	16	147	95	96	ARANAĞME	0.055556
2	9	Si4b1	B4b1	313	313	1	16	147	95	96	.	0.111111
3	9	La4#4	A4#4	309	309	1	8	294	95	96	.	0.222222
4	9	Si4b1	B4b1	313	313	1	8	294	95	96	.	0.333333
5	9	Do5	C5	318	318	1	8	294	95	96	.	0.444444
6	9	La4#4	A4#4	309	309	1	8	294	95	96	.	0.555556
7	9	Si4b1	B4b1	313	313	1	8	294	95	96	.	0.666667
8	9	Sol4	G4	296	296	1	8	294	95	96	.	0.777778
9	9	Fa4#4	F4#4	291	291	1	8	294	95	96	.	0.888889
10	9	Sol4	G4	296	296	1	8	294	95	96	.	1.000000
11	9	La4#4	A4#4	309	309	1	8	294	95	96	.	1.111111
12	9	Sol4	G4	296	296	1	16	147	95	96	.	1.166667
13	9	La4#4	A4#4	309	309	1	16	147	95	96	.	1.222222
14	9	Si4b1	B4b1	313	313	1	8	294	95	96	.	1.333333
15	9	La4#4	A4#4	309	309	1	16	147	95	96	.	1.388889
16	9	Si4b1	B4b1	313	313	1	16	147	95	96	.	1.444444
17	9	Do5	C5	318	318	1	8	294	95	96	.	1.555556
18	9	Si4b1	B4b1	313	313	1	16	147	95	96	.	1.611111
19	9	Do5	C5	318	318	1	16	147	95	96	.	1.666667
20	9	Re5	D5	327	327	3	8	882	95	96	.	2.000000
21	9	Sol5	G5	349	349	3	16	441	95	96	.	2.166667
22	9	Fa5	F5	340	340	1	16	147	95	96	.	2.222222
23	9	Fa5	F5	340	340	3	16	441	95	96	.	2.388889
24	9	Mi5b1	E5b1	335	335	1	16	147	95	96	.	2.444444
25	9	Mi5b1	E5b1	335	335	3	16	441	95	96	.	2.611111
26	9	Re5	D5	327	327	1	16	147	95	96	.	2.666667
27	9	Re5	D5	327	327	1	16	147	95	96	.	2.722222
28	9	Mi5b1	E5b1	335	335	1	16	147	95	96	.	2.777778
29	9	Re5	D5	327	327	1	16	147	95	96	.	2.833333
30	9	Do5	C5	318	318	1	16	147	95	96	.	2.888889
31	9	Si4b1	B4b1	313	313	1	16	147	95	96	.	2.944444
32	9	La4#4	A4#4	309	309	1	16	147	95	96	.	3.000000
33	9	Si4b1	B4b1	313	313	1	16	147	95	96	.	3.055556
34	9	Do5	C5	318	318	1	16	147	95	96	.	3.111111
35	9	Re5	D5	327	327	1	16	147	95	96	.	3.166667
36	9	Mi5b1	E5b1	335	335	1	16	147	95	96	.	3.222222
37	9	Fa5	F5	340	340	1	8	294	95	96	.	3.333333
38	9	Mi5b1	E5b1	335	335	1	16	147	95	96	.	3.388889
39	9	Re5	D5	327	327	1	16	147	95	96	.	3.444444
40	9	Re5	D5	327	327	1	16	147	95	96	.	3.500000
41	9	Do5	C5	318	318	1	16	147	95	96	.	3.555556
42	9	Do5	C5	318	318	1	16	147	95	96	.	3.611111
43	11	Si4b1	B4b1	313	313	1	16	147	95	96	.	3.666667
44	9	Si4b1	B4b1	313	313	3	8	882	95	96	.	4.000000
45	9	Do5	C5	318	318	1	16	147	95	96	ARANAĞME	4.055555
46	9	Si4b1	B4b1	313	313	1	16	147	95	96	.	4.111111
47	9	La4#4	A4#4	309	309	1	8	294	95	96	.	4.222222
48	9	Si4b1	B4b1	313	313	1	8	294	95	96	.	4.333333
49	9	Do5	C5	318	318	1	8	294	95	96	.	4.444445
50	9	La4#4	A4#4	309	309	1	8	294	95	96	.	4.555555
51	9	Si4b1	B4b1	313	313	1	8	294	95	96	.	4.666667
52	9	Sol4	G4	296	296	1	8	294	95	96	.	4.777778
53	9	Fa4#4	F4#4	291	291	1	8	294	95	96	.	4.888889
54	9	Sol4	G4	296	296	1	8	294	95	96	.	5.000000
55	9	La4#4	A4#4	309	309	1	8	294	95	96	.	5.111111
56	9	Sol4	G4	296	296	1	16	147	95	96	.	5.166667
57	9	La4#4	A4#4	309	309	1	16	147	95	96	.	5.222222
58	9	Si4b1	B4b1	313	313	1	8	294	95	96	.	5.333333
59	9	La4#4	A4#4	309	309	1	16	147	95	96	.	5.388889
60	9	Si4b1	B4b1	313	313	1	16	147	95	96	.	5.444445
61	9	Do5	C5	318	318	1	8	294	95	96	.	5.555555
62	9	Si4b1	B4b1	313	313	1	16	147	95	96	.	5.611111
63	9	Do5	C5	318	318	1	16	147	95	96	.	5.666667
64	9	Re5	D5	327	327	3	8	882	95	96	.	6.000000
65	9	Sol5	G5	349	349	3	16	441	95	96	.	6.166667
66	9	Fa5	F5	340	340	1	16	147	95	96	.	6.222222
67	9	Fa5	F5	340	340	3	16	441	95	96	.	6.388889
68	9	Mi5b1	E5b1	335	335	1	16	147	95	96	.	6.444445
69	9	Mi5b1	E5b1	335	335	3	16	441	95	96	.	6.611111
70	9	Re5	D5	327	327	1	16	147	95	96	.	6.666667
71	9	Re5	D5	327	327	1	16	147	95	96	.	6.722222
72	9	Mi5b1	E5b1	335	335	1	16	147	95	96	.	6.777778
73	9	Re5	D5	327	327	1	16	147	95	96	.	6.833333
74	9	Do5	C5	318	318	1	16	147	95	96	.	6.888889
75	9	Si4b1	B4b1	313	313	1	16	147	95	96	.	6.944445
76	9	La4#4	A4#4	309	309	1	16	147	95	96	.	7.000000
77	9	Si4b1	B4b1	313	313	1	16	147	95	96	.	7.055555
78	9	Do5	C5	318	318	1	16	147	95	96	.	7.111111
79	9	Re5	D5	327	327	1	16	147	95	96	.	7.166667
80	9	Mi5b1	E5b1	335	335	1	16	147	95	96	.	7.222222
81	9	Fa5	F5	340	340	1	8	294	95	96	.	7.333333
82	9	Mi5b1	E5b1	335	335	1	16	147	95	96	.	7.388889
83	9	Re5	D5	327	327	1	16	147	95	96	.	7.444445
84	9	Re5	D5	327	327	1	16	147	95	96	.	7.500000
85	9	Do5	C5	318	318	1	16	147	95	96	.	7.555555
