Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	9	Sol4	G4	296	296	1	4	500	50	96	ARANAÐME
2	9	Si4b1	B4b1	313	313	1	4	500	50	96	.
3	9	Re5	D5	327	327	1	4	500	50	96	.
4	9	Do5	C5	318	318	1	8	250	95	96	.
5	9	Si4b1	B4b1	313	313	1	8	250	95	96	.
6	9	Do5	C5	318	318	1	8	250	95	96	.
7	9	Re5	D5	327	327	1	4	500	95	96	.
8	9	Re5	D5	327	327	1	4	500	95	96	.
9	9	Re5	D5	327	327	1	4	500	95	96	.
10	9	Re5	D5	327	327	1	8	250	95	96	.
11	9	Mi5b1	E5b1	335	335	1	8	250	95	96	.
12	9	Fa5#4	F5#4	344	344	1	8	250	95	96	.
13	9	Sol5	G5	349	349	1	4	500	95	96	.
14	9	Sol5	G5	349	349	1	4	500	95	96	.
15	9	Sol5	G5	349	349	1	4	500	95	96	.
16	9	Fa5	F5	340	340	1	8	250	95	96	.
17	9	Mi5b1	E5b1	335	335	1	8	250	95	96	.
18	9	Re5	D5	327	327	1	8	250	95	96	.
19	9	Fa5	F5	340	340	3	16	375	95	96	.
20	9	Mi5b1	E5b1	335	335	1	16	125	95	96	.
21	9	Re5	D5	327	327	1	8	250	95	96	.
22	9	Do5	C5	318	318	1	8	250	95	96	.
23	9	Si4b1	B4b1	313	313	1	8	250	95	96	.
24	9	La4#4	A4#4	309	309	1	8	250	95	96	.
25	9	Si4b1	B4b1	313	313	3	8	750	95	96	.
26	9	Sol4	G4	296	296	1	4	500	50	96	ARANAÐME
27	9	Si4b1	B4b1	313	313	1	4	500	50	96	.
28	9	Re5	D5	327	327	1	4	500	50	96	.
29	9	Do5	C5	318	318	1	8	250	95	96	.
30	9	Si4b1	B4b1	313	313	1	8	250	95	96	.
31	9	Do5	C5	318	318	1	8	250	95	96	.
32	9	Re5	D5	327	327	1	4	500	95	96	.
33	9	Re5	D5	327	327	1	4	500	95	96	.
34	9	Re5	D5	327	327	1	4	500	95	96	.
35	9	Re5	D5	327	327	1	8	250	95	96	.
36	9	Mi5b1	E5b1	335	335	1	8	250	95	96	.
37	9	Fa5#4	F5#4	344	344	1	8	250	95	96	.
38	9	Sol5	G5	349	349	1	4	500	95	96	.
39	9	Sol5	G5	349	349	1	4	500	95	96	.
40	9	Sol5	G5	349	349	1	4	500	95	96	.
41	9	Fa5	F5	340	340	1	8	250	95	96	.
42	9	Mi5b1	E5b1	335	335	1	8	250	95	96	.
43	9	Re5	D5	327	327	1	8	250	95	96	.
44	9	Fa5	F5	340	340	3	16	375	95	96	.
45	9	Mi5b1	E5b1	335	335	1	16	125	95	96	.
46	9	Re5	D5	327	327	1	8	250	95	96	.
47	9	Do5	C5	318	318	1	8	250	95	96	.
48	9	Si4b1	B4b1	313	313	1	8	250	95	96	.
49	9	La4#4	A4#4	309	309	1	8	250	95	96	.
50	9	Si4b1	B4b1	313	313	5	8	1250	95	96	.
51	9	Si4b1	B4b1	313	313	1	8	250	95	96	Se
52	9	Si4b1	B4b1	313	313	1	8	250	95	96	ni 
53	9	Si4b1	B4b1	313	313	1	4	500	95	96	her 
54	9	Re5	D5	327	327	3	8	750	95	96	dem 
55	9	Re5	D5	327	327	1	16	125	99	96	a
56	9	Do5	C5	318	318	1	16	125	99	96	
57	9	Re5	D5	327	327	1	16	125	99	96	
58	9	Mi5b1	E5b1	335	335	1	16	125	95	96	
59	9	Re5	D5	327	327	1	8	250	99	96	ný
60	9	Do5	C5	318	318	1	8	250	95	96	
61	9	Si4b1	B4b1	313	313	1	8	250	99	96	yo
62	9	La4#4	A4#4	309	309	1	8	250	95	96	
63	9	Si4b1	B4b1	313	313	5	8	1250	95	96	rum  
64	9	Re5	D5	327	327	1	8	250	95	96	Söz
65	9	Mi5b1	E5b1	335	335	1	8	250	95	96	le
66	9	Mi5b1	E5b1	335	335	1	8	250	99	96	ri
67	9	Re5	D5	327	327	1	8	250	95	96	
68	9	Sol5	G5	349	349	1	8	250	99	96	ne 
69	9	Fa5	F5	340	340	1	8	250	99	96	
70	9	Mi5b1	E5b1	335	335	1	8	250	95	96	
71	9	Re5	D5	327	327	1	4	500	95	96	ka
72	9	Re5	D5	327	327	1	8	250	99	96	ný
73	9	Do5	C5	318	318	1	8	250	95	96	
74	9	Si4b1	B4b1	313	313	1	8	250	99	96	yo
75	9	Do5	C5	318	318	1	8	250	95	96	
76	9	Re5	D5	327	327	1	4	500	99	96	rum  
77	9	Do5	C5	318	318	1	8	250	95	96	
78	9	Si4b1	B4b1	313	313	1	4	500	95	96	
79	9	Si4b1	B4b1	313	313	1	8	250	95	96	Se
80	9	Si4b1	B4b1	313	313	1	8	250	95	96	ni
81	9	Si4b1	B4b1	313	313	1	4	500	95	96	her
82	9	Re5	D5	327	327	3	8	750	95	96	dem
83	9	Re5	D5	327	327	1	16	125	99	96	a
84	9	Do5	C5	318	318	1	16	125	99	96	
85	9	Re5	D5	327	327	1	16	125	99	96	
86	9	Mi5b1	E5b1	335	335	1	16	125	95	96	
87	9	Re5	D5	327	327	1	8	250	99	96	rý
88	9	Do5	C5	318	318	1	8	250	95	96	
89	9	Si4b1	B4b1	313	313	1	8	250	99	96	yo
90	9	La4#4	A4#4	309	309	1	8	250	95	96	
91	9	Si4b1	B4b1	313	313	5	8	1250	95	96	rum
92	9	Re5	D5	327	327	1	8	250	95	96	Söz
93	9	Mi5b1	E5b1	335	335	1	8	250	95	96	le
94	9	Mi5b1	E5b1	335	335	1	8	250	99	96	ri
95	9	Re5	D5	327	327	1	8	250	95	96	
96	9	Sol5	G5	349	349	1	8	250	99	96	ne
97	9	Fa5#1	F5#1	341	341	1	8	250	99	96	
98	9	Mi5b1	E5b1	335	335	1	8	250	95	96	
99	9	Re5	D5	327	327	1	4	500	95	96	ka
100	9	Re5	D5	327	327	1	8	250	99	96	ný
101	9	Do5	C5	318	318	1	8	250	95	96	
102	9	Si4b1	B4b1	313	313	1	8	250	99	96	yo
103	9	Do5	C5	318	318	1	8	250	95	96	
104	9	Re5	D5	327	327	1	8	250	99	96	rum
105	9	Mi5b1	E5b1	335	335	1	8	250	99	96	
106	9	Sol5	G5	349	349	1	8	250	95	96	
107	9	Fa5	F5	340	340	1	4	500	95	96	
108	9	Fa5	F5	340	340	1	8	250	95	96	Rah
109	9	Fa5	F5	340	340	1	8	250	95	96	me
110	9	Fa5	F5	340	340	1	4	500	95	96	de
111	9	Fa5	F5	340	340	1	8	250	99	96	cek
112	9	Fa5	F5	340	340	1	8	250	99	96	
113	9	Mi5b1	E5b1	335	335	1	8	250	95	96	
114	9	Mi5b1	E5b1	335	335	1	4	500	95	96	sa
115	9	Mi5b1	E5b1	335	335	1	8	250	99	96	ný
116	9	Re5	D5	327	327	1	8	250	95	96	
117	9	Re5	D5	327	327	1	16	125	99	96	yo
118	9	Do5	C5	318	318	1	16	125	99	96	
119	9	Re5	D5	327	327	1	8	250	95	96	
120	9	Mi5b1	E5b1	335	335	1	16	125	99	96	rum
121	9	Fa5	F5	340	340	1	16	125	99	96	
122	9	Mi5b1	E5b1	335	335	1	16	125	99	96	
123	9	Fa5	F5	340	340	1	16	125	99	96	
124	9	Re5	D5	327	327	1	16	125	99	96	
125	9	Mi5b1	E5b1	335	335	1	16	125	99	96	
126	9	Do5	C5	318	318	1	4	500	95	96	
127	9	Re5	D5	327	327	1	8	250	95	96	Sa
128	9	Mi5b1	E5b1	335	335	1	8	250	95	96	na 
129	9	Mi5b1	E5b1	335	335	1	8	250	99	96	ben 
130	9	Re5	D5	327	327	1	8	250	95	96	
131	9	Fa5	F5	340	340	1	8	250	99	96	al
132	9	Mi5b1	E5b1	335	335	1	8	250	99	96	
133	9	Re5	D5	327	327	1	8	250	95	96	
134	9	Re5	D5	327	327	1	16	125	99	96	da
