Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	8	8	0	17	0	Düyek	0.0
2	9	Sol4	G4	296	296	1	8	435	95	96	ARANAĞME	0.125
3	9	Si4b1	B4b1	313	313	1	4	870	95	96	.	0.375
4	9	Si4b1	B4b1	313	313	1	8	435	95	96	.	0.5
5	9	Do5	C5	318	318	1	8	435	95	96	.	0.625
6	9	Si4b1	B4b1	313	313	1	16	217	95	96	.	0.6875
7	9	La4#4	A4#4	309	309	1	16	217	95	96	.	0.75
8	9	Si4b1	B4b1	313	313	1	4	870	95	96	.	1.0
9	9	Si4b1	B4b1	313	313	1	8	435	95	96	.	1.125
10	9	Re5	D5	327	327	1	4	870	95	96	.	1.375
11	9	Do5	C5	318	318	1	8	435	95	96	.	1.5
12	10	Si4b1	B4b1	313	313	1	8	435	95	96	.	1.625
13	8	Do5	C5	318	318	0	0	0	95	96	.	1.625
14	9	Si4b1	B4b1	313	313	1	16	217	95	96	.	1.6875
15	9	La4#4	A4#4	309	309	1	16	217	95	96	.	1.75
16	9	Sol4	G4	296	296	1	4	870	95	96	.	2.0
17	9	Fa5#4	F5#4	344	344	3	16	652	95	96	.	2.1875
18	9	Mi5b1	E5b1	335	335	1	16	217	95	96	.	2.25
19	9	Mi5b1	E5b1	335	335	3	16	652	95	96	.	2.4375
20	9	Re5	D5	327	327	1	16	217	95	96	.	2.5
21	9	Re5	D5	327	327	3	16	652	95	96	.	2.6875
22	9	Do5	C5	318	318	1	16	217	95	96	.	2.75
23	9	Do5	C5	318	318	3	16	652	95	96	.	2.9375
24	9	Si4b1	B4b1	313	313	1	16	217	95	96	.	3.0
25	9	Re5	D5	327	327	3	4	2609	95	96	.	3.75
26	9	Es	Es	-1	-1	1	4	870	100	0	.	4.0
27	9	Fa5#4	F5#4	344	344	3	16	652	95	96	.	4.1875
28	9	Mi5b1	E5b1	335	335	1	16	217	95	96	.	4.25
29	9	Mi5b1	E5b1	335	335	3	16	652	95	96	.	4.4375
30	9	Re5	D5	327	327	1	16	217	95	96	.	4.5
31	9	Re5	D5	327	327	3	16	652	95	96	.	4.6875
32	9	Do5	C5	318	318	1	16	217	95	96	.	4.75
33	9	Do5	C5	318	318	1	32	109	95	96	.	4.78125
34	9	Si4b1	B4b1	313	313	1	32	109	95	96	.	4.8125
35	9	Do5	C5	318	318	1	32	109	95	96	.	4.84375
36	9	Re5	D5	327	327	1	32	109	95	96	.	4.875
37	9	Do5	C5	318	318	1	16	217	95	96	.	4.9375
38	9	Si4b1	B4b1	313	313	1	16	217	95	96	.	5.0
39	9	Si4b1	B4b1	313	313	1	2	1739	95	96	.	5.5
40	9	Sol4	G4	296	296	1	16	217	95	96	.	5.5625
41	9	La4#4	A4#4	309	309	1	16	217	95	96	.	5.625
42	9	Sol4	G4	296	296	1	8	435	95	96	.	5.75
43	9	Si4b1	B4b1	313	313	1	4	870	95	96	.	6.0
44	9	Si4b1	B4b1	313	313	1	2	1739	101	96	Ah 	6.5
45	9	Sol4	G4	296	296	1	8	435	95	96	dö	6.625
46	9	Si4b1	B4b1	313	313	1	4	870	95	96	nül	6.875
47	9	Si4b1	B4b1	313	313	1	8	435	95	96	mez_	7.0
48	9	Si4b1	B4b1	313	313	1	4	870	95	96	ak	7.25
49	9	Si4b1	B4b1	313	313	1	8	435	95	96	şa	7.375
