Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Es	Es	-1	-1	1	8	357	100	0		0.125000
2	9	Si4b1	B4b1	313	313	1	8	357	95	96	O 	0.250000
3	9	Si4b1	B4b1	313	313	1	8	357	95	96	ge	0.375000
4	9	Si4b1	B4b1	313	313	1	8	357	95	96	ce 	0.500000
5	9	Re5	D5	327	327	1	4	714	95	96	giz	0.750000
6	9	Do5	C5	318	318	1	8	357	95	96	li	0.875000
7	9	Do5	C5	318	318	1	8	357	95	96	ce 	1.000000
8	9	Re5	D5	327	327	1	4	714	95	96	kal	1.250000
9	9	Re5	D5	327	327	1	8	357	95	96	bi	1.375000
10	9	Mi5b1	E5b1	335	335	1	8	357	95	96	mi 	1.500000
11	9	Do5	C5	318	318	1	8	357	95	96	ça	1.625000
12	9	Si4b1	B4b1	313	313	3	8	1071	95	96	lan  	2.000000
13	9	Fa5#4	F5#4	344	344	1	4	714	95	96	Ru	2.250000
14	9	Fa5#4	F5#4	344	344	1	8	357	95	96	hu	2.375000
15	9	Fa5#4	F5#4	344	344	1	8	357	95	96	mu 	2.500000
16	9	Fa5#4	F5#4	344	344	1	16	179	95	96	şi	2.562500
17	9	Fa5#4	F5#4	344	344	3	16	536	95	96	fa	2.750000
18	9	Fa5#4	F5#4	344	344	1	4	714	95	96	sız 	3.000000
19	9	Mi5b1	E5b1	335	335	1	4	714	95	96	dert	3.250000
20	9	Fa5#4	F5#4	344	344	1	8	357	95	96	le	3.375000
21	9	Sol5	G5	349	349	1	8	357	95	96	re 	3.500000
22	9	Mi5b1	E5b1	335	335	1	8	357	95	96	sa	3.625000
23	9	Re5	D5	327	327	3	8	1071	95	96	lan  	4.000000
24	9	Sol5	G5	349	349	1	8	357	95	96	Se	4.125000
25	9	Sol5	G5	349	349	1	4	714	95	96	ven 	4.375000
26	9	Fa5#4	F5#4	344	344	1	8	357	95	96	yü	4.500000
27	9	Mi5b1	E5b1	335	335	1	8	357	95	96	re	4.625000
28	9	Re5	D5	327	327	1	8	357	95	96	ği	4.750000
29	9	Re5	D5	327	327	1	8	357	95	96	mi 	4.875000
30	9	Es	Es	-1	-1	1	8	357	100	0		5.000000
31	9	Re5	D5	327	327	1	8	357	95	96	ko	5.125000
32	9	Do5	C5	318	318	1	8	357	95	96	pa	5.250000
33	9	Si4b1	B4b1	313	313	1	4	714	95	96	rıp 	5.500000
34	9	Re5	D5	327	327	1	8	357	95	96	a	5.625000
35	9	Do5	C5	318	318	3	8	1071	95	96	lan  	6.000000
36	9	Sol5	G5	349	349	1	4	714	95	96	Sen 	6.250000
37	9	Sol5	G5	349	349	1	16	179	95	96	de	6.312500
38	9	Si5b4	B5b4	363	363	3	16	536	95	96	ğil 	6.500000
39	9	La5	A5	358	358	1	4	714	95	96	miy	6.750000
40	9	Sol5	G5	349	349	1	4	714	95	96	din 	7.000000
41	9	Es	Es	-1	-1	1	8	357	100	0		7.125000
42	9	Sol5	G5	349	349	1	4	714	95	96	söy	7.375000
43	9	Fa5#4	F5#4	344	344	1	8	357	95	96	le 	7.500000
44	9	Mi5b1	E5b1	335	335	1	4	714	95	96	sev	7.750000
45	9	Sol5	G5	349	349	1	8	357	95	96	gi	7.875000
46	9	Fa5#4	F5#4	344	344	1	8	357	95	96	li  	8.000000
47	9	Sol5	G5	349	349	1	4	714	95	96	Sen 	8.250000
48	9	Sol5	G5	349	349	1	16	179	95	96	de	8.312500
49	9	Fa5#4	F5#4	344	344	3	16	536	95	96	ğil 	8.500000
50	9	Mi5b1	E5b1	335	335	1	4	714	95	96	miy	8.750000
51	9	Re5	D5	327	327	1	4	714	95	96	din 	9.000000
52	9	Es	Es	-1	-1	1	8	357	100	0		9.125000
53	9	Re5	D5	327	327	1	4	714	95	96	söy	9.375000
54	9	Si4b1	B4b1	313	313	1	8	357	95	96	le 	9.500000
55	9	Do5	C5	318	318	1	4	714	95	96	sev	9.750000
56	9	La4#4	A4#4	309	309	1	8	357	95	96	gi	9.875000
57	9	Si4b1	B4b1	313	313	1	8	357	95	96	li  	10.000000
58	9	Es	Es	-1	-1	1	8	357	100	0		10.125000
59	9	Re5	D5	327	327	1	8	357	95	96	SAZ	10.250000
60	9	Mi5b1	E5b1	335	335	1	8	357	95	96	.	10.375000
61	9	Fa5#4	F5#4	344	344	1	8	357	95	96	.	10.500000
62	9	Sol5	G5	349	349	1	8	357	95	96	.	10.625000
63	9	Fa5#4	F5#4	344	344	1	8	357	95	96	.	10.750000
64	9	Sol5	G5	349	349	1	4	714	95	96	.	11.000000
65	9	Sol5	G5	349	349	1	4	714	95	96	Sen 	11.250000
66	9	Sol5	G5	349	349	1	16	179	95	96	de	11.312500
67	9	Si5b4	B5b4	363	363	3	16	536	95	96	ğil 	11.500000
68	9	La5	A5	358	358	1	4	714	95	96	miy	11.750000
69	9	Sol5	G5	349	349	1	4	714	95	96	din 	12.000000
70	9	Es	Es	-1	-1	1	8	357	100	0		12.125000
71	9	Sol5	G5	349	349	1	4	714	95	96	söy	12.375000
72	9	Fa5#4	F5#4	344	344	1	8	357	95	96	le 	12.500000
73	9	Mi5b1	E5b1	335	335	1	4	714	95	96	sev	12.750000
74	9	Sol5	G5	349	349	1	8	357	95	96	gi	12.875000
75	9	Fa5#4	F5#4	344	344	1	8	357	95	96	li  	13.000000
76	9	Sol5	G5	349	349	1	4	714	95	96	Sen 	13.250000
77	9	Sol5	G5	349	349	1	16	179	95	96	de	13.312500
78	9	Fa5#4	F5#4	344	344	3	16	536	95	96	ğil 	13.500000
79	9	Mi5b1	E5b1	335	335	1	4	714	95	96	miy	13.750000
80	9	Re5	D5	327	327	1	4	714	95	96	din 	14.000000
81	9	Es	Es	-1	-1	1	8	357	100	0		14.125000
82	9	Re5	D5	327	327	1	4	714	95	96	söy	14.375000
83	9	Si4b1	B4b1	313	313	1	8	357	95	96	le 	14.500000
84	9	Do5	C5	318	318	1	4	714	95	96	sev	14.750000
85	9	La4#4	A4#4	309	309	1	8	357	95	96	gi	14.875000
86	9	Si4b1	B4b1	313	313	1	8	357	95	96	li  	15.000000
87	9	Es	Es	-1	-1	1	8	357	100	0		15.125000
88	9	Re5	D5	327	327	1	8	357	95	96	SAZ	15.250000
89	9	Re5	D5	327	327	1	8	357	95	96	.	15.375000
90	9	Do5	C5	318	318	1	8	357	95	96	.	15.500000
91	9	Si4b1	B4b1	313	313	1	8	357	95	96	.	15.625000
92	9	La4	A4	305	305	1	8	357	95	96	.	15.750000
93	9	Si4b1	B4b1	313	313	1	4	714	95	96	.	16.000000
94	9	Sol5	G5	349	349	1	4	714	95	96	ARANAĞME	16.250000
95	9	Sol5	G5	349	349	1	16	179	95	96	.	16.312500
96	9	Si5b4	B5b4	363	363	3	16	536	95	96	.	16.500000
97	9	La5	A5	358	358	1	4	714	95	96	.	16.750000
98	9	Sol5	G5	349	349	1	4	714	95	96	.	17.000000
99	9	Es	Es	-1	-1	1	8	357	100	0	.	17.125000
100	9	Sol5	G5	349	349	1	4	714	95	96	.	17.375000
101	9	Fa5#4	F5#4	344	344	1	8	357	95	96	.	17.500000
102	9	Mi5b1	E5b1	335	335	1	4	714	95	96	.	17.750000
103	9	Sol5	G5	349	349	1	8	357	95	96	.	17.875000
104	9	Fa5#4	F5#4	344	344	1	8	357	95	96	.	18.000000
105	9	Sol5	G5	349	349	1	4	714	95	96	.	18.250000
106	9	Sol5	G5	349	349	1	16	179	95	96	.	18.312500
107	9	Fa5#4	F5#4	344	344	3	16	536	95	96	.	18.500000
108	9	Mi5b1	E5b1	335	335	1	4	714	95	96	.	18.750000
109	9	Re5	D5	327	327	1	4	714	95	96	.	19.000000
110	9	Es	Es	-1	-1	1	8	357	100	0	.	19.125000
111	9	Re5	D5	327	327	1	4	714	95	96	.	19.375000
112	9	Si4b1	B4b1	313	313	1	8	357	95	96	.	19.500000
113	9	Do5	C5	318	318	1	4	714	95	96	.	19.750000
114	9	La4#4	A4#4	309	309	1	8	357	95	96	.	19.875000
