Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Si4b1	B4b1	313	313	1	16	125	95	96	ARANAĞME	0.142857142857
2	9	Do5	C5	318	318	1	16	125	95	96	.	0.285714285714
3	9	Re5	D5	327	327	1	16	125	95	96	.	0.428571428571
4	9	Do5	C5	318	318	1	16	125	95	96	.	0.571428571429
5	9	Re5	D5	327	327	1	8	250	95	96	.	0.857142857143
6	9	Do5	C5	318	318	1	16	125	95	96	.	1.0
7	9	Re5	D5	327	327	1	8	250	95	96	.	1.28571428571
8	9	Re5	D5	327	327	1	16	125	95	96	.	1.42857142857
9	9	Do5	C5	318	318	1	16	125	95	96	.	1.57142857143
10	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	1.85714285714
11	9	Si4b1	B4b1	313	313	1	16	125	95	96	.	2.0
12	9	Do5	C5	318	318	1	8	250	95	96	.	2.28571428571
13	9	Re5	D5	327	327	1	16	125	95	96	.	2.42857142857
14	9	Do5	C5	318	318	1	16	125	95	96	.	2.57142857143
15	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	2.85714285714
16	9	La4	A4	305	305	1	16	125	95	96	.	3.0
17	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	3.28571428571
18	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	3.57142857143
19	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	3.85714285714
20	9	Es	Es	-1	-1	1	16	125	100	0		4.0
21	9	Si4b1	B4b1	313	313	1	16	125	95	96	ARANAĞME	4.14285714286
22	9	Do5	C5	318	318	1	16	125	95	96	.	4.28571428571
23	9	Re5	D5	327	327	1	16	125	95	96	.	4.42857142857
24	9	Do5	C5	318	318	1	16	125	95	96	.	4.57142857143
25	9	Re5	D5	327	327	1	8	250	95	96	.	4.85714285714
26	9	Do5	C5	318	318	1	16	125	95	96	.	5.0
27	9	Re5	D5	327	327	1	8	250	95	96	.	5.28571428571
28	9	Re5	D5	327	327	1	16	125	95	96	.	5.42857142857
29	9	Do5	C5	318	318	1	16	125	95	96	.	5.57142857143
30	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	5.85714285714
31	9	Si4b1	B4b1	313	313	1	16	125	95	96	.	6.0
32	9	Do5	C5	318	318	1	8	250	95	96	.	6.28571428571
33	9	Re5	D5	327	327	1	16	125	95	96	.	6.42857142857
34	9	Do5	C5	318	318	1	16	125	95	96	.	6.57142857143
35	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	6.85714285714
36	9	La4	A4	305	305	1	16	125	95	96	.	7.0
37	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	7.28571428571
38	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	7.57142857143
39	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	7.85714285714
40	9	Es	Es	-1	-1	1	16	125	100	0		8.0
41	9	Sol5	G5	349	349	1	8	250	95	96	Ge	8.28571428571
42	23	Sol5	G5	349	349	1	8	250	95	96	mi	8.57142857143
43	9	Sol5	G5	349	349	1	16	125	95	96	ci	8.71428571429
44	9	Sol5	G5	349	349	1	8	250	95	96	ler 	9.0
45	9	Fa5#4	F5#4	344	344	1	16	125	99	96	kal	9.14285714286
46	9	La5	A5	358	358	1	16	125	95	96		9.28571428571
47	9	Sol5	G5	349	349	1	16	125	99	96	ka	9.42857142857
48	9	Fa5#4	F5#4	344	344	1	16	125	95	96		9.57142857143
49	9	Mi5b1	E5b1	335	335	1	8	250	95	96	lım 	9.85714285714
50	9	Es	Es	-1	-1	1	16	125	100	0		10.0
51	12	Fa5#4	F5#4	344	344	2	16	250	95	96	şu 	10.2857142857
52	9	Fa5#4	F5#4	344	344	1	16	125	95	96	yel	10.4285714286
53	9	Es	Es	-1	-1	1	16	125	100	0		10.5714285714
54	9	Mi5b1	E5b1	335	335	1	8	250	95	96	ke	10.8571428571
55	9	Re5	D5	327	327	1	16	125	95	96	ni 	11.0
56	9	Mi5b1	E5b1	335	335	1	8	250	95	96	ta	11.2857142857
57	9	Mi5b1	E5b1	335	335	1	8	250	95	96	ka	11.5714285714
58	9	Mi5b1	E5b1	335	335	1	8	250	95	96	lım  	11.8571428571
59	9	Es	Es	-1	-1	1	16	125	100	0		12.0
60	12	Fa5#4	F5#4	344	344	2	16	250	95	96	Şu	12.2857142857
61	9	Fa5#4	F5#4	344	344	1	16	125	99	96	şu	12.4285714286
62	9	Mi5b1	E5b1	335	335	1	16	125	95	96		12.5714285714
63	9	Re5	D5	327	327	1	8	250	95	96	rup 	12.8571428571
64	9	Re5	D5	327	327	1	16	125	95	96	ta 	13.0
65	9	Re5	D5	327	327	1	8	250	95	96	yel	13.2857142857
66	9	Re5	D5	327	327	1	16	125	99	96	ke	13.4285714286
67	9	Do5	C5	318	318	1	16	125	95	96		13.5714285714
68	9	Si4b1	B4b1	313	313	1	8	250	95	96	ni 	13.8571428571
69	9	Es	Es	-1	-1	1	16	125	100	0		14.0
70	23	Do5	C5	318	318	1	8	250	95	96	sırt_	14.2857142857
71	9	Do5	C5	318	318	1	8	250	95	96	üs	14.5714285714
72	9	Si4b1	B4b1	313	313	1	8	250	95	96	tü	14.8571428571
73	9	La4	A4	305	305	1	16	125	95	96	ne 	15.0
74	9	Si4b1	B4b1	313	313	1	8	250	95	96	ya	15.2857142857
75	9	Si4b1	B4b1	313	313	1	8	250	95	96	ta	15.5714285714
76	9	Si4b1	B4b1	313	313	1	8	250	95	96	lım  	15.8571428571
77	9	Es	Es	-1	-1	1	16	125	100	0		16.0
78	9	Si4b1	B4b1	313	313	1	16	125	99	96	Kı	16.1428571429
79	9	Do5	C5	318	318	1	16	125	95	96		16.2857142857
80	9	Re5	D5	327	327	1	8	250	95	96	zıl_	16.5714285714
81	9	Re5	D5	327	327	1	8	250	95	96	ır	16.8571428571
82	9	Re5	D5	327	327	1	16	125	95	96	mak 	17.0
83	9	Re5	D5	327	327	1	8	250	95	96	ba	17.2857142857
84	9	Re5	D5	327	327	1	16	125	99	96	şı	17.4285714286
85	9	Do5	C5	318	318	1	16	125	95	96		17.5714285714
