Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	9	8	0	20	0	Aksak	0.0
2	9	Re5	D5	327	327	1	8	385	95	96	ARANAĞME	0.111111111111
3	9	Re5	D5	327	327	1	8	385	95	96	.	0.222222222222
4	9	Sol5	G5	349	349	1	8	385	95	96	.	0.333333333333
5	9	Sol5	G5	349	349	1	8	385	95	96	.	0.444444444444
6	9	Fa5#4	F5#4	344	344	1	8	385	95	96	.	0.555555555556
7	9	Mi5b1	E5b1	335	335	1	8	385	95	96	.	0.666666666667
8	9	Sol5	G5	349	349	1	16	192	95	96	.	0.722222222222
9	9	Fa5#4	F5#4	344	344	1	16	192	95	96	.	0.777777777778
10	9	Sol5	G5	349	349	1	4	769	95	96	.	1.0
11	9	Fa5#4	F5#4	344	344	1	8	385	95	96	.	1.11111111111
12	9	Fa5#4	F5#4	344	344	1	8	385	95	96	.	1.22222222222
13	9	Mi5b1	E5b1	335	335	1	8	385	95	96	.	1.33333333333
14	9	Re5	D5	327	327	1	8	385	95	96	.	1.44444444444
15	9	Fa5#4	F5#4	344	344	1	8	385	95	96	.	1.55555555556
16	9	Fa5#4	F5#4	344	344	1	8	385	95	96	.	1.66666666667
17	9	Fa5#4	F5#4	344	344	1	16	192	95	96	.	1.72222222222
18	9	Sol5	G5	349	349	1	16	192	95	96	.	1.77777777778
19	9	Mi5b1	E5b1	335	335	1	8	385	95	96	.	1.88888888889
20	9	Re5	D5	327	327	1	8	385	95	96	.	2.0
21	9	Mi5b1	E5b1	335	335	1	4	769	95	96	.	2.22222222222
22	9	Mi5b1	E5b1	335	335	1	8	385	95	96	.	2.33333333333
23	9	Sol5	G5	349	349	1	8	385	95	96	.	2.44444444444
24	9	Fa5#4	F5#4	344	344	1	8	385	95	96	.	2.55555555556
25	9	Mi5b1	E5b1	335	335	1	8	385	95	96	.	2.66666666667
26	9	Re5	D5	327	327	1	8	385	95	96	.	2.77777777778
27	9	Do5	C5	318	318	1	8	385	95	96	.	2.88888888889
28	9	Do5	C5	318	318	1	16	192	95	96	.	2.94444444444
29	9	Si4b1	B4b1	313	313	1	16	192	95	96	.	3.0
30	9	Si4b1	B4b1	313	313	1	2	1538	95	96	.	3.44444444444
31	1	Do5	C5	318	318	1	8	385	95	96	.	3.55555555556
32	1	Re5	D5	327	327	1	8	385	95	96	.	3.66666666667
33	1	Mi5b1	E5b1	335	335	3	8	1154	95	96	.	4.0
