Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Es	Es	-1	-1	1	4	500	100	0	ARANAĞME	0.200000
2	9	Sol4	G4	296	296	1	8	250	95	96		0.300000
3	9	Re5	D5	327	327	1	8	250	95	96	.	0.400000
4	9	Es	Es	-1	-1	1	8	250	100	0		0.500000
5	9	Re5	D5	327	327	1	8	250	95	96		0.600000
6	9	Es	Es	-1	-1	1	8	250	100	0		0.700000
7	9	Re5	D5	327	327	3	8	750	95	96		1.000000
8	9	Mi5b1	E5b1	335	335	1	4	500	95	96		1.200000
9	9	Re5	D5	327	327	1	8	250	95	96		1.300000
10	9	Mi5b1	E5b1	335	335	1	8	250	95	96		1.400000
11	9	Re5	D5	327	327	1	8	250	95	96		1.500000
12	8	Mi5b1	E5b1	335	335	0	0	0	95	96		1.500000
13	9	Re5	D5	327	327	5	8	1250	95	96		2.000000
14	9	Do5	C5	318	318	1	8	250	95	96		2.100000
15	9	Re5	D5	327	327	1	8	250	95	96		2.200000
16	9	Mi5b1	E5b1	335	335	1	4	500	95	96		2.400000
17	9	Re5	D5	327	327	1	8	250	95	96		2.500000
18	9	Mi5b1	E5b1	335	335	1	8	250	95	96		2.600000
19	8	Sol5	G5	349	349	0	0	0	95	96		2.600000
20	9	Fa5#4	F5#4	344	344	1	8	250	95	96		2.700000
21	9	Mi5b1	E5b1	335	335	1	4	500	95	96		2.900000
22	9	Re5	D5	327	327	1	8	250	95	96		3.000000
23	9	Re5	D5	327	327	1	4	500	95	96		3.200000
24	9	Do5	C5	318	318	1	8	250	95	96		3.300000
25	9	Do5	C5	318	318	1	4	500	95	96		3.500000
26	9	Si4b1	B4b1	313	313	5	8	1250	95	96		4.000000
27	9	Si4b1	B4b1	313	313	1	8	250	95	96		4.100000
28	9	Do5	C5	318	318	1	8	250	95	96		4.200000
29	9	Re5	D5	327	327	1	8	250	95	96		4.300000
30	9	Do5	C5	318	318	1	8	250	95	96		4.400000
31	9	Re5	D5	327	327	1	8	250	95	96		4.500000
32	9	Do5	C5	318	318	1	8	250	95	96		4.600000
33	9	Re5	D5	327	327	1	8	250	95	96		4.700000
34	9	Si4b1	B4b1	313	313	1	4	500	95	96		4.900000
35	9	Do5	C5	318	318	1	8	250	95	96		5.000000
36	9	La4	A4	305	305	1	4	500	95	96		5.200000
37	9	Sol4	G4	296	296	1	8	250	95	96		5.300000
38	9	Do5	C5	318	318	1	8	250	95	96		5.400000
39	9	Re5	D5	327	327	1	8	250	95	96		5.500000
40	9	Si4b1	B4b1	313	313	1	4	500	95	96		5.700000
41	8	Do5	C5	318	318	0	0	0	95	96		5.700000
42	9	Si4b1	B4b1	313	313	1	4	500	95	96		5.900000
43	9	Es	Es	-1	-1	1	8	250	100	0		6.000000
44	9	Si4b1	B4b1	313	313	1	8	250	95	96		6.100000
45	9	Do5	C5	318	318	1	8	250	95	96		6.200000
46	9	Re5	D5	327	327	1	8	250	95	96		6.300000
47	9	Re5	D5	327	327	1	4	500	95	96		6.500000
48	9	Do5	C5	318	318	1	8	250	95	96		6.600000
49	9	Re5	D5	327	327	1	8	250	95	96		6.700000
50	9	Si4b1	B4b1	313	313	1	4	500	95	96		6.900000
51	9	La4	A4	305	305	1	8	250	95	96		7.000000
52	9	La4	A4	305	305	1	4	500	95	96		7.200000
53	9	Sol4	G4	296	296	1	8	250	95	96		7.300000
54	9	Do5	C5	318	318	1	8	250	95	96		7.400000
55	9	Re5	D5	327	327	1	8	250	95	96		7.500000
56	9	Si4b1	B4b1	313	313	1	8	250	95	96		7.600000
57	9	Do5	C5	318	318	1	8	250	95	96		7.700000
58	9	Si4b1	B4b1	313	313	3	8	750	100	96		8.000000
59	9	Si4b1	B4b1	313	313	1	4	500	95	96		8.200000
60	9	Sol4	G4	296	296	1	8	250	95	96	Çay	8.300000
61	9	Re5	D5	327	327	1	4	500	95	96	da 	8.500000
62	9	Re5	D5	327	327	1	4	500	95	96	çı	8.700000
63	9	Re5	D5	327	327	3	8	750	95	96	ra 	9.000000
64	9	Mi5b1	E5b1	335	335	1	4	500	95	96	ya	9.200000
65	9	Re5	D5	327	327	1	8	250	99	96	nı	9.300000
66	9	Mi5b1	E5b1	335	335	1	8	250	99	96		9.400000
67	9	Re5	D5	327	327	1	8	250	95	96		9.500000
68	12	Re5	D5	327	327	1	4	500	99	96	yor  	9.700000
69	9	Re5	D5	327	327	3	8	750	95	96		10.000000
70	9	Do5	C5	318	318	1	8	250	99	96	Na	10.100000
71	9	Re5	D5	327	327	1	8	250	95	96		10.200000
72	9	Mi5b1	E5b1	335	335	1	4	500	99	96	nay 	10.400000
73	9	Re5	D5	327	327	1	8	250	95	96		10.500000
74	9	Sol5	G5	349	349	1	8	250	99	96	ha	10.600000
75	9	Fa5#4	F5#4	344	344	1	8	250	95	96		10.700000
76	9	Mi5b1	E5b1	335	335	1	4	500	99	96	nım 	10.900000
77	9	Re5	D5	327	327	1	8	250	99	96		11.000000
78	9	Re5	D5	327	327	1	4	500	99	96		11.200000
79	9	Do5	C5	318	318	1	8	250	95	96		11.300000
80	9	Do5	C5	318	318	1	4	500	95	96	na	11.500000
81	9	Si4b1	B4b1	313	313	5	8	1250	95	96	nay  	12.000000
82	9	Re5	D5	327	327	1	4	500	95	96	Na	12.200000
83	9	Do5	C5	318	318	1	8	250	99	96	nay 	12.300000
84	9	Mi5b1	E5b1	335	335	1	4	500	95	96		12.500000
85	9	Do5	C5	318	318	1	8	250	99	96	ca	12.600000
86	9	Re5	D5	327	327	1	8	250	95	96		12.700000
87	9	Si4b1	B4b1	313	313	1	8	250	99	96	nım 	12.800000
88	9	Do5	C5	318	318	1	8	250	99	96		12.900000
89	9	La4	A4	305	305	1	8	250	99	96		13.000000
90	9	La4	A4	305	305	1	4	500	99	96		13.200000
91	9	Sol4	G4	296	296	1	8	250	95	96		13.300000
92	9	Do5	C5	318	318	1	8	250	99	96	na	13.400000
93	9	Re5	D5	327	327	1	8	250	95	96		13.500000
94	10	Si4b1	B4b1	313	313	1	4	500	99	96	nay  	13.700000
95	8	Do5	C5	318	318	0	0	0	99	96		13.700000
96	9	Si4b1	B4b1	313	313	1	4	500	95	96		13.900000
97	9	Es	Es	-1	-1	1	8	250	100	0		14.000000
98	9	Re5	D5	327	327	1	4	500	50	96	Na	14.200000
99	9	Do5	C5	318	318	1	8	250	99	96	nay 	14.300000
100	9	Mi5b1	E5b1	335	335	1	8	250	95	96		14.400000
101	9	Es	Es	-1	-1	1	8	250	100	0		14.500000
102	9	Do5	C5	318	318	1	8	250	99	96	gü	14.600000
103	9	Re5	D5	327	327	1	8	250	95	96		14.700000
104	9	Si4b1	B4b1	313	313	1	8	250	99	96	lüm 	14.800000
105	9	Do5	C5	318	318	1	8	250	99	96		14.900000
106	9	La4	A4	305	305	1	8	250	99	96		15.000000
107	9	La4	A4	305	305	1	4	500	99	96		15.200000
108	9	Sol4	G4	296	296	1	8	250	95	96		15.300000
109	9	Do5	C5	318	318	1	8	250	99	96	na	15.400000
110	9	Re5	D5	327	327	1	8	250	95	96		15.500000
111	9	Si4b1	B4b1	313	313	1	4	500	99	96	nay  	15.700000
112	8	Do5	C5	318	318	0	0	0	99	96		15.700000
113	9	Si4b1	B4b1	313	313	3	8	750	100	96		16.000000
114	9	Si4b1	B4b1	313	313	1	4	500	95	96		16.200000
115	9	Sol4	G4	296	296	1	8	250	95	96	Ay	16.300000
116	9	Re5	D5	327	327	1	4	500	95	96	da 	16.500000
117	9	Re5	D5	327	327	1	4	500	95	96	yıl	16.700000
118	9	Re5	D5	327	327	3	8	750	95	96	da 	17.000000
119	9	Mi5b1	E5b1	335	335	1	4	500	95	96	ya	17.200000
120	9	Re5	D5	327	327	1	8	250	99	96	nı	17.300000
121	9	Mi5b1	E5b1	335	335	1	8	250	99	96		17.400000
122	9	Re5	D5	327	327	1	8	250	95	96		17.500000
123	12	Re5	D5	327	327	1	4	500	99	96	yor  	17.700000
124	9	Re5	D5	327	327	3	8	750	95	96		18.000000
125	9	Do5	C5	318	318	1	8	250	99	96	Na	18.100000
126	9	Re5	D5	327	327	1	8	250	95	96		18.200000
127	9	Mi5b1	E5b1	335	335	1	4	500	99	96	nay 	18.400000
128	9	Re5	D5	327	327	1	8	250	95	96		18.500000
129	9	Sol5	G5	349	349	1	8	250	99	96	ha	18.600000
130	9	Fa5#4	F5#4	344	344	1	8	250	95	96		18.700000
131	9	Mi5b1	E5b1	335	335	1	4	500	99	96	nım 	18.900000
