Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	9	Fa5#4	F5#4	344	344	1	16	161	95	96	ARANAÐME
2	23	Sol5	G5	349	349	1	8	323	95	96	.
3	9	Fa5#4	F5#4	344	344	1	16	161	95	96	.
4	9	Mi5b1	E5b1	335	335	1	16	161	95	96	.
5	7	Mi5b1	E5b1	335	335	1	16	161	95	96	.
6	9	Mi5b1	E5b1	335	335	1	8	323	95	96	.
7	9	Re5	D5	327	327	1	16	161	95	96	.
8	7	Re5	D5	327	327	1	16	161	95	96	.
9	9	Si4b1	B4b1	313	313	1	8	323	95	96	.
10	9	Do5	C5	318	318	1	16	161	95	96	.
11	7	Do5	C5	318	318	1	16	161	95	96	.
12	9	Re5	D5	327	327	1	8	323	95	96	.
13	9	Fa5#4	F5#4	344	344	1	16	161	95	96	.
14	23	Sol5	G5	349	349	1	8	323	95	96	.
15	9	Fa5#4	F5#4	344	344	1	16	161	95	96	.
16	9	Mi5b1	E5b1	335	335	1	16	161	95	96	.
17	7	Mi5b1	E5b1	335	335	1	16	161	95	96	.
18	9	Mi5b1	E5b1	335	335	1	8	323	95	96	.
19	9	Re5	D5	327	327	1	16	161	95	96	.
20	7	Re5	D5	327	327	1	16	161	95	96	.
21	9	Si4b1	B4b1	313	313	1	16	161	95	96	.
22	9	Re5	D5	327	327	1	16	161	95	96	.
23	9	Do5	C5	318	318	1	16	161	95	96	.
24	10	Do5	C5	318	318	7	128	141	95	96	.
25	8	Re5	D5	327	327	1	128	20	95	96	.
26	9	Si4b1	B4b1	313	313	1	8	323	95	96	.
27	9	Fa5#4	F5#4	344	344	1	16	161	95	96	ARANAÐME
28	23	Sol5	G5	349	349	1	8	323	95	96	.
29	9	Fa5#4	F5#4	344	344	1	16	161	95	96	.
30	9	Mi5b1	E5b1	335	335	1	16	161	95	96	.
31	7	Mi5b1	E5b1	335	335	1	16	161	95	96	.
32	9	Mi5b1	E5b1	335	335	1	8	323	95	96	.
33	9	Re5	D5	327	327	1	16	161	95	96	.
34	7	Re5	D5	327	327	1	16	161	95	96	.
35	9	Si4b1	B4b1	313	313	1	8	323	95	96	.
36	9	Do5	C5	318	318	1	16	161	95	96	.
37	7	Do5	C5	318	318	1	16	161	95	96	.
38	9	Re5	D5	327	327	1	8	323	95	96	.
39	9	Fa5#4	F5#4	344	344	1	16	161	95	96	.
40	23	Sol5	G5	349	349	1	8	323	95	96	.
41	9	Fa5#4	F5#4	344	344	1	16	161	95	96	.
42	9	Mi5b1	E5b1	335	335	1	16	161	95	96	.
43	7	Mi5b1	E5b1	335	335	1	16	161	95	96	.
44	9	Mi5b1	E5b1	335	335	1	8	323	95	96	.
45	9	Re5	D5	327	327	1	16	161	95	96	.
46	7	Re5	D5	327	327	1	16	161	95	96	.
47	9	Si4b1	B4b1	313	313	1	16	161	95	96	.
48	9	Re5	D5	327	327	1	16	161	95	96	.
49	9	Do5	C5	318	318	1	16	161	95	96	.
50	10	Do5	C5	318	318	7	128	141	95	96	.
51	8	Re5	D5	327	327	1	128	20	95	96	.
52	9	Si4b1	B4b1	313	313	1	8	323	95	96	.
53	9	Re5	D5	327	327	1	16	161	95	96	.
54	7	Re5	D5	327	327	1	16	161	95	96	.
55	9	Re5	D5	327	327	1	8	323	95	96	.
56	9	Re5	D5	327	327	1	16	161	95	96	.
57	7	Re5	D5	327	327	1	16	161	95	96	.
58	9	Re5	D5	327	327	1	8	323	95	96	.
59	9	Re5	D5	327	327	1	16	161	95	96	.
60	7	Re5	D5	327	327	1	16	161	95	96	.
61	9	Re5	D5	327	327	1	8	323	95	96	.
62	9	Re5	D5	327	327	1	16	161	95	96	.
63	7	Re5	D5	327	327	1	16	161	95	96	.
64	9	Re5	D5	327	327	1	8	323	95	96	.
