Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	1	La5	A5	358	358	1	4	833	95	96	.	0.222222222222
2	9	La5	A5	358	358	1	8	417	99	96	Mec	0.333333333333
3	9	Si5	B5	367	367	1	8	417	95	96		0.444444444444
4	9	La5	A5	358	358	1	8	417	95	96	lis_	0.555555555556
5	9	Sol5#4	G5#4	353	353	1	8	417	95	96	â	0.666666666667
6	9	Fa5#1	F5#1	341	341	1	8	417	99	96	râ 	0.777777777778
7	9	Mi5	E5	336	336	1	8	417	99	96		0.888888888889
8	9	Fa5#1	F5#1	341	341	1	8	417	95	96		1.0
9	9	Sol5#4	G5#4	353	353	1	4	833	95	96	muğ	1.22222222222
10	9	La5	A5	358	358	1	8	417	99	96	pe	1.33333333333
11	9	Sol5#4	G5#4	353	353	1	8	417	95	96		1.44444444444
12	9	Fa5#1	F5#1	341	341	1	8	417	99	96	çe	1.55555555556
13	9	Mi5	E5	336	336	1	8	417	95	96		1.66666666667
14	9	Sol5#4	G5#4	353	353	1	4	833	99	96	nin  	1.88888888889
15	9	Fa5#1	F5#1	341	341	1	16	208	99	96		1.94444444444
16	9	Mi5	E5	336	336	1	16	208	99	96		2.0
17	9	Re5	D5	327	327	1	4	833	95	96		2.22222222222
18	9	Do5#4	C5#4	322	322	1	8	417	95	96	Â	2.33333333333
19	9	Re5	D5	327	327	1	8	417	95	96	şı	2.44444444444
20	9	Mi5	E5	336	336	1	8	417	99	96	kı 	2.55555555556
21	9	Fa5#4	F5#4	344	344	1	8	417	99	96		2.66666666667
22	9	Sol5	G5	349	349	1	4	833	95	96		2.88888888889
23	9	Sol5	G5	349	349	1	8	417	95	96	çok 	3.0
24	9	Sol5	G5	349	349	1	8	417	99	96	per	3.11111111111
25	9	Fa5#1	F5#1	341	341	1	8	417	99	96		3.22222222222
26	9	Mi5	E5	336	336	1	8	417	99	96		3.33333333333
27	9	Re5	D5	327	327	1	8	417	95	96		3.44444444444
28	9	Do5#4	C5#4	322	322	1	8	417	99	96	çe	3.55555555556
29	9	Si4b4	B4b4	310	310	1	8	417	95	96		3.66666666667
30	9	La4	A4	305	305	1	8	417	99	96	mi	3.77777777778
31	9	Si4b4	B4b4	310	310	1	8	417	99	96		3.88888888889
32	9	Do5#4	C5#4	322	322	1	8	417	95	96		4.0
33	9	La4	A4	305	305	1	8	417	99	96	nin 	4.11111111111
34	9	Do6	C6	371	371	1	4	833	95	96		4.33333333333
35	9	Do6	C6	371	371	1	16	208	99	96	a	4.38888888889
36	9	Si5b4	B5b4	363	363	1	16	208	95	96		4.44444444444
37	9	Si5b4	B5b4	363	363	1	16	208	99	96	man_	4.5
38	9	La5	A5	358	358	1	16	208	95	96		4.55555555556
39	9	La5	A5	358	358	1	16	208	99	96	a	4.61111111111
40	9	Sol5#4	G5#4	353	353	1	16	208	95	96		4.66666666667
41	9	La5	A5	358	358	1	4	833	99	96	man  	4.88888888889
42	9	Sol5#4	G5#4	353	353	1	8	417	95	96		5.0
43	1	La5	A5	358	358	1	4	833	95	96	.	5.22222222222
44	9	La5	A5	358	358	1	8	417	99	96	Mec	5.33333333333
45	9	Si5	B5	367	367	1	8	417	95	96		5.44444444444
46	9	La5	A5	358	358	1	8	417	95	96	lis_	5.55555555556
47	9	Sol5#4	G5#4	353	353	1	8	417	95	96	â	5.66666666667
48	9	Fa5#1	F5#1	341	341	1	8	417	99	96	râ 	5.77777777778
49	9	Mi5	E5	336	336	1	8	417	99	96		5.88888888889
50	9	Fa5#1	F5#1	341	341	1	8	417	95	96		6.0
51	9	Sol5#4	G5#4	353	353	1	4	833	95	96	muğ	6.22222222222
52	9	La5	A5	358	358	1	8	417	99	96	pe	6.33333333333
53	9	Sol5#4	G5#4	353	353	1	8	417	95	96		6.44444444444
54	9	Fa5#1	F5#1	341	341	1	8	417	99	96	çe	6.55555555556
55	9	Mi5	E5	336	336	1	8	417	95	96		6.66666666667
56	9	Sol5#4	G5#4	353	353	1	4	833	99	96	nin  	6.88888888889
57	9	Fa5#1	F5#1	341	341	1	16	208	99	96		6.94444444444
58	9	Mi5	E5	336	336	1	16	208	99	96		7.0
59	9	Re5	D5	327	327	1	4	833	95	96		7.22222222222
60	9	Do5#4	C5#4	322	322	1	8	417	95	96	Â	7.33333333333
61	9	Re5	D5	327	327	1	8	417	95	96	şı	7.44444444444
62	9	Mi5	E5	336	336	1	8	417	99	96	kı 	7.55555555556
63	9	Fa5#4	F5#4	344	344	1	8	417	99	96		7.66666666667
64	9	Sol5	G5	349	349	1	4	833	95	96		7.88888888889
65	9	Sol5	G5	349	349	1	8	417	95	96	çok 	8.0
66	9	Sol5	G5	349	349	1	8	417	99	96	per	8.11111111111
67	9	Fa5#1	F5#1	341	341	1	8	417	99	96		8.22222222222
68	9	Mi5	E5	336	336	1	8	417	99	96		8.33333333333
69	9	Re5	D5	327	327	1	8	417	95	96		8.44444444444
70	9	Do5#4	C5#4	322	322	1	8	417	99	96	çe	8.55555555556
71	9	Si4b4	B4b4	310	310	1	8	417	95	96		8.66666666667
72	9	La4	A4	305	305	1	8	417	99	96	mi	8.77777777778
73	9	Si4b4	B4b4	310	310	1	8	417	99	96		8.88888888889
74	9	Do5#4	C5#4	322	322	1	8	417	95	96		9.0
75	9	La4	A4	305	305	1	4	833	95	96	nin 	9.22222222222
76	9	Es	Es	-1	-1	1	8	417	100	0		9.33333333333
77	9	Mi5	E5	336	336	1	16	208	99	96	a	9.38888888889
78	9	Sol5#4	G5#4	353	353	1	16	208	95	96		9.44444444444
79	9	Fa5#1	F5#1	341	341	1	16	208	99	96	man_	9.5
80	9	Mi5	E5	336	336	1	16	208	95	96		9.55555555556
81	9	Mi5	E5	336	336	1	16	208	99	96	a	9.61111111111
82	9	Re5#4	D5#4	331	331	1	16	208	95	96		9.66666666667
83	9	Mi5	E5	336	336	1	4	833	99	96	man  	9.88888888889
84	9	Re5#4	D5#4	331	331	1	8	417	99	96		10.0
85	9	Mi5	E5	336	336	1	8	417	95	96		10.1111111111
86	9	Es	Es	-1	-1	1	8	417	100	0		10.2222222222
87	9	Mi5	E5	336	336	1	8	417	95	96	Tah	10.3333333333
88	9	Sol5#4	G5#4	353	353	1	8	417	95	96	rîk_	10.4444444444
89	9	Fa5#1	F5#1	341	341	1	8	417	99	96	e	10.5555555556
90	9	Mi5	E5	336	336	1	8	417	95	96		10.6666666667
91	9	Mi5	E5	336	336	1	4	833	99	96	der 	10.8888888889
92	9	Re5#4	D5#4	331	331	1	8	417	95	96		11.0
93	9	Mi5	E5	336	336	1	4	833	95	96	aş	11.2222222222
94	9	La5	A5	358	358	1	8	417	99	96	kı 	11.3333333333
95	9	Sol5#4	G5#4	353	353	1	8	417	95	96		11.4444444444
96	9	Fa5#1	F5#1	341	341	1	8	417	99	96	el	11.5555555556
97	9	Mi5	E5	336	336	1	8	417	95	96		11.6666666667
98	9	Sol5#4	G5#4	353	353	1	4	833	99	96	bet  	11.8888888889
99	9	Fa5#1	F5#1	341	341	1	16	208	99	96		11.9444444444
100	9	Mi5	E5	336	336	1	16	208	99	96		12.0
101	9	Mi5	E5	336	336	1	8	417	95	96		12.1111111111
102	9	Es	Es	-1	-1	1	8	417	100	0		12.2222222222
103	9	La5	A5	358	358	1	8	417	95	96	Hûb 	12.3333333333
104	9	Si5	B5	367	367	1	8	417	95	96	sa	12.4444444444
105	9	La5	A5	358	358	1	8	417	99	96	dâ	12.5555555556
106	9	Sol5#4	G5#4	353	353	1	8	417	95	96		12.6666666667
107	9	Fa5#1	F5#1	341	341	1	8	417	99	96	sın 	12.7777777778
108	9	Mi5	E5	336	336	1	8	417	99	96		12.8888888889
109	9	Fa5#1	F5#1	341	341	1	8	417	95	96		13.0
110	9	Sol5#4	G5#4	353	353	1	4	833	95	96	i	13.2222222222
111	9	La5	A5	358	358	1	8	417	99	96	şi	13.3333333333
112	9	Sol5#4	G5#4	353	353	1	8	417	95	96		13.4444444444
113	9	Fa5#1	F5#1	341	341	1	8	417	99	96	te	13.5555555556
114	9	Mi5	E5	336	336	1	8	417	95	96		13.6666666667
115	9	Sol5#4	G5#4	353	353	1	4	833	99	96	nin  	13.8888888889
116	9	Fa5#1	F5#1	341	341	1	16	208	99	96		13.9444444444
117	9	Mi5	E5	336	336	1	16	208	99	96		14.0
118	9	Re5	D5	327	327	1	8	417	95	96		14.1111111111
119	9	Es	Es	-1	-1	1	8	417	100	0		14.2222222222
120	9	Do5#4	C5#4	322	322	1	8	417	95	96	Se	14.3333333333
121	9	Re5	D5	327	327	1	8	417	95	96	vil	14.4444444444
122	9	Mi5	E5	336	336	1	8	417	99	96	mez 	14.5555555556
123	9	Fa5#4	F5#4	344	344	1	8	417	95	96		14.6666666667
124	9	Sol5	G5	349	349	3	8	1250	95	96	mi 	15.0
125	9	Sol5	G5	349	349	1	8	417	99	96	sa	15.1111111111
126	9	Fa5#1	F5#1	341	341	1	8	417	95	96		15.2222222222
127	9	Fa5#1	F5#1	341	341	1	8	417	99	96	rıl	15.3333333333
128	9	Mi5	E5	336	336	1	8	417	95	96		15.4444444444
129	9	Mi5	E5	336	336	1	8	417	99	96	maz 	15.5555555556
130	9	Re5	D5	327	327	1	8	417	95	96		15.6666666667
131	9	Do5#4	C5#4	322	322	1	4	833	99	96	mı  	15.8888888889
132	9	Si4b4	B4b4	310	310	1	16	208	99	96		15.9444444444
133	9	La4	A4	305	305	1	16	208	99	96		16.0
134	9	La4	A4	305	305	1	8	417	95	96		16.1111111111
135	9	Es	Es	-1	-1	1	8	417	100	0		16.2222222222
136	9	La4	A4	305	305	1	8	417	95	96	Hoş 	16.3333333333
137	9	Si4b4	B4b4	310	310	1	8	417	95	96	ref	16.4444444444
138	9	Do5#4	C5#4	322	322	1	8	417	99	96	tâ	16.5555555556
139	9	Re5	D5	327	327	1	8	417	95	96		16.6666666667
140	9	Mi5	E5	336	336	1	8	417	99	96	rın 	16.7777777778
141	9	Fa5#1	F5#1	341	341	1	8	417	99	96		16.8888888889
142	9	Mi5	E5	336	336	1	8	417	95	96		17.0
143	9	Re5	D5	327	327	1	8	417	99	96	var	17.1111111111
144	9	Fa5#1	F5#1	341	341	1	8	417	99	96		17.2222222222
145	9	Mi5	E5	336	336	1	8	417	99	96		17.3333333333
146	9	Re5	D5	327	327	1	8	417	95	96		17.4444444444
147	9	Do5#4	C5#4	322	322	1	4	833	95	96	dır 	17.6666666667
148	9	La4	A4	305	305	1	8	417	99	96	se	17.7777777778
149	9	Si4b4	B4b4	310	310	1	8	417	99	96		17.8888888889
150	9	Do5#4	C5#4	322	322	1	8	417	95	96		18.0
151	9	La4	A4	305	305	1	2	1666	95	96	nin  	18.4444444444
152	9	Es	Es	-1	-1	1	4	833	100	0		18.6666666667
153	9	Es	Es	-1	-1	1	4	833	100	0		18.8888888889
154	9	Es	Es	-1	-1	1	8	417	100	0		19.0
155	1	La5	A5	358	358	1	4	833	95	96	.	19.2222222222
156	9	La5	A5	358	358	1	8	417	99	96	Mec	19.3333333333
157	9	Si5	B5	367	367	1	8	417	95	96		19.4444444444
158	9	La5	A5	358	358	1	8	417	95	96	lis_	19.5555555556
159	9	Sol5#4	G5#4	353	353	1	8	417	95	96	â	19.6666666667
160	9	Fa5#1	F5#1	341	341	1	8	417	99	96	râ 	19.7777777778
161	9	Mi5	E5	336	336	1	8	417	99	96		19.8888888889
162	9	Fa5#1	F5#1	341	341	1	8	417	95	96		20.0
163	9	Sol5#4	G5#4	353	353	1	4	833	95	96	muğ	20.2222222222
164	9	La5	A5	358	358	1	8	417	99	96	pe	20.3333333333
165	9	Sol5#4	G5#4	353	353	1	8	417	95	96		20.4444444444
166	9	Fa5#1	F5#1	341	341	1	8	417	99	96	çe	20.5555555556
167	9	Mi5	E5	336	336	1	8	417	95	96		20.6666666667
168	9	Sol5#4	G5#4	353	353	1	4	833	99	96	nin  	20.8888888889
169	9	Fa5#1	F5#1	341	341	1	16	208	99	96		20.9444444444
170	9	Mi5	E5	336	336	1	16	208	99	96		21.0
171	9	Re5	D5	327	327	1	4	833	95	96		21.2222222222
172	9	Do5#4	C5#4	322	322	1	8	417	95	96	Â	21.3333333333
173	9	Re5	D5	327	327	1	8	417	95	96	şı	21.4444444444
174	9	Mi5	E5	336	336	1	8	417	99	96	kı 	21.5555555556
175	9	Fa5#4	F5#4	344	344	1	8	417	99	96		21.6666666667
176	9	Sol5	G5	349	349	1	4	833	95	96		21.8888888889
177	9	Sol5	G5	349	349	1	8	417	95	96	çok 	22.0
178	9	Sol5	G5	349	349	1	8	417	99	96	per	22.1111111111
179	9	Fa5#1	F5#1	341	341	1	8	417	99	96		22.2222222222
180	9	Mi5	E5	336	336	1	8	417	99	96		22.3333333333
181	9	Re5	D5	327	327	1	8	417	95	96		22.4444444444
182	9	Do5#4	C5#4	322	322	1	8	417	99	96	çe	22.5555555556
183	9	Si4b4	B4b4	310	310	1	8	417	95	96		22.6666666667
184	9	La4	A4	305	305	1	8	417	99	96	mi	22.7777777778
185	9	Si4b4	B4b4	310	310	1	8	417	99	96		22.8888888889
186	9	Do5#4	C5#4	322	322	1	8	417	95	96		23.0
187	9	La4	A4	305	305	1	8	417	99	96	nin 	23.1111111111
188	9	Do6	C6	371	371	1	4	833	95	96		23.3333333333
189	9	Do6	C6	371	371	1	16	208	99	96	a	23.3888888889
190	9	Si5b4	B5b4	363	363	1	16	208	95	96		23.4444444444
191	9	Si5b4	B5b4	363	363	1	16	208	99	96	man_	23.5
192	9	La5	A5	358	358	1	16	208	95	96		23.5555555556
193	9	La5	A5	358	358	1	16	208	99	96	a	23.6111111111
194	9	Sol5#4	G5#4	353	353	1	16	208	95	96		23.6666666667
195	9	La5	A5	358	358	1	4	833	99	96	man  	23.8888888889
196	9	Sol5#4	G5#4	353	353	1	8	417	95	96		24.0
197	1	La5	A5	358	358	1	4	833	95	96	.	24.2222222222
198	9	La5	A5	358	358	1	8	417	99	96	Mec	24.3333333333
199	9	Si5	B5	367	367	1	8	417	95	96		24.4444444444
200	9	La5	A5	358	358	1	8	417	95	96	lis_	24.5555555556
201	9	Sol5#4	G5#4	353	353	1	8	417	95	96	â	24.6666666667
202	9	Fa5#1	F5#1	341	341	1	8	417	99	96	râ 	24.7777777778
203	9	Mi5	E5	336	336	1	8	417	99	96		24.8888888889
204	9	Fa5#1	F5#1	341	341	1	8	417	95	96		25.0
