Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La5	A5	358	358	3	32	341	95	96	ARANAĞME	0.075
2	9	Sol5#4	G5#4	353	353	1	32	114	95	96	.	0.1
3	9	La5	A5	358	358	1	8	455	95	96	.	0.2
4	12	Fa5#1	F5#1	341	341	3	32	341	95	96	.	0.275
5	9	Mi5	E5	336	336	1	32	114	95	96	.	0.3
6	9	Re5	D5	327	327	1	8	455	50	96	.	0.4
7	9	Mi5	E5	336	336	1	8	455	50	96	.	0.5
8	9	Fa5#1	F5#1	341	341	1	16	227	95	96	.	0.55
9	11	Sol5#4	G5#4	353	353	1	16	227	95	96	.	0.6
10	11	Fa5#1	F5#1	341	341	1	16	227	95	96	.	0.65
11	11	Mi5	E5	336	336	1	16	227	95	96	.	0.7
12	9	Mi5	E5	336	336	1	4	909	95	96	.	0.9
13	9	Fa5#1	F5#1	341	341	1	8	455	95	96	.	1.0
14	9	Sol5#4	G5#4	353	353	1	16	227	95	96	.	1.05
15	10	La5	A5	358	358	1	16	227	95	96	.	1.1
16	8	Si5	B5	367	367	0	0	0	95	96	.	1.1
17	23	Sol5#4	G5#4	353	353	1	8	455	95	96	.	1.2
18	9	La5	A5	358	358	1	8	455	95	96	.	1.3
19	9	Si5	B5	367	367	1	16	227	95	96	.	1.35
20	9	Re6	D6	380	380	1	16	227	95	96	.	1.4
21	9	Do6	C6	371	371	1	16	227	95	96	.	1.45
22	9	Si5	B5	367	367	1	16	227	95	96	.	1.5
23	12	Si5	B5	367	367	2	32	227	95	96	.	1.55
24	9	La5	A5	358	358	1	16	227	95	96	.	1.6
25	9	La5	A5	358	358	1	16	227	95	96	.	1.65
26	9	Sol5#4	G5#4	353	353	1	16	227	95	96	.	1.7
27	9	La5	A5	358	358	3	8	1364	95	96	.	2.0
28	9	La5	A5	358	358	1	8	455	95	96	.	2.1
29	7	Sol5	G5	349	349	4	32	455	95	96	.	2.2
30	9	La5	A5	358	358	1	16	227	95	96	.	2.25
31	9	Si5	B5	367	367	1	16	227	95	96	.	2.3
32	12	La5	A5	358	358	2	16	455	95	96	.	2.4
33	9	Sol5	G5	349	349	1	16	227	95	96	.	2.45
34	9	Fa5#3	F5#4	343	344	1	16	227	95	96	.	2.5
35	9	Mi5	E5	336	336	1	8	455	95	96	.	2.6
36	9	Fa5#3	F5#4	343	344	1	8	455	95	96	.	2.7
37	11	La5	A5	358	358	1	16	227	95	96	.	2.75
38	11	Sol5	G5	349	349	1	16	227	95	96	.	2.8
39	11	Fa5	F5	340	340	1	16	227	95	96	.	2.85
40	11	Mi5	E5	336	336	1	16	227	95	96	.	2.9
41	9	Re5	D5	327	327	1	8	455	95	96	.	3.0
42	9	Sol5	G5	349	349	1	8	455	95	96	.	3.1
43	9	Fa5	F5	340	340	1	8	455	95	96	.	3.2
44	9	Mi5	E5	336	336	1	16	227	95	96	.	3.25
45	9	Fa5	F5	340	340	1	16	227	95	96	.	3.3
46	11	Mi5	E5	336	336	1	16	227	95	96	.	3.35
47	11	Re5	D5	327	327	1	16	227	95	96	.	3.4
48	11	Re5	D5	327	327	1	16	227	95	96	.	3.45
49	11	Do5#4	C5#4	322	322	1	16	227	95	96	.	3.5
50	11	Do5#4	C5#4	322	322	1	16	227	95	96	.	3.55
51	11	Si4b4	B4b4	310	310	1	16	227	95	96	.	3.6
52	11	Si4b4	B4b4	310	310	1	16	227	95	96	.	3.65
53	11	La4	A4	305	305	1	16	227	95	96	.	3.7
54	9	La4	A4	305	305	1	4	909	95	96	.	3.9
55	9	La5	A5	358	358	1	8	455	95	96	.	4.0
56	9	La5	A5	358	358	3	32	341	95	96	ARANAĞME	4.075
57	9	Sol5#4	G5#4	353	353	1	32	114	95	96	.	4.1
58	9	La5	A5	358	358	1	8	455	95	96	.	4.2
59	12	Fa5#1	F5#1	341	341	3	32	341	95	96	.	4.275
60	9	Mi5	E5	336	336	1	32	114	95	96	.	4.3
61	9	Re5	D5	327	327	1	8	455	50	96	.	4.4
62	9	Mi5	E5	336	336	1	8	455	50	96	.	4.5
63	9	Fa5#1	F5#1	341	341	1	16	227	95	96	.	4.55
64	11	Sol5#4	G5#4	353	353	1	16	227	95	96	.	4.6
65	11	Fa5#1	F5#1	341	341	1	16	227	95	96	.	4.65
66	11	Mi5	E5	336	336	1	16	227	95	96	.	4.7
67	9	Mi5	E5	336	336	1	4	909	95	96	.	4.9
68	9	Fa5#1	F5#1	341	341	1	8	455	95	96	.	5.0
69	9	Sol5#4	G5#4	353	353	1	16	227	95	96	.	5.05
70	10	La5	A5	358	358	1	16	227	95	96	.	5.1
71	8	Si5	B5	367	367	0	0	0	95	96	.	5.1
72	23	Sol5#4	G5#4	353	353	1	8	455	95	96	.	5.2
73	9	La5	A5	358	358	1	8	455	95	96	.	5.3
74	9	Si5	B5	367	367	1	16	227	95	96	.	5.35
75	9	Re6	D6	380	380	1	16	227	95	96	.	5.4
76	9	Do6	C6	371	371	1	16	227	95	96	.	5.45
77	9	Si5	B5	367	367	1	16	227	95	96	.	5.5
78	12	Si5	B5	367	367	2	32	227	95	96	.	5.55
79	9	La5	A5	358	358	1	16	227	95	96	.	5.6
80	9	La5	A5	358	358	1	16	227	95	96	.	5.65
81	9	Sol5#4	G5#4	353	353	1	16	227	95	96	.	5.7
82	9	La5	A5	358	358	3	8	1364	95	96	.	6.0
83	9	La5	A5	358	358	1	8	455	95	96	.	6.1
84	7	Sol5	G5	349	349	4	32	455	95	96	.	6.2
85	9	La5	A5	358	358	1	16	227	95	96	.	6.25
86	9	Si5	B5	367	367	1	16	227	95	96	.	6.3
87	12	La5	A5	358	358	2	16	455	95	96	.	6.4
88	9	Sol5	G5	349	349	1	16	227	95	96	.	6.45
89	9	Fa5#3	F5#4	343	344	1	16	227	95	96	.	6.5
90	9	Mi5	E5	336	336	1	8	455	95	96	.	6.6
91	9	Fa5#3	F5#4	343	344	1	8	455	95	96	.	6.7
92	11	La5	A5	358	358	1	16	227	95	96	.	6.75
