Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Mi5b2	E5b1	334	335	1	8	500	95	96	1. HANE	0.125000
2	9	Fa5	F5	340	340	1	4	1000	95	96		0.375000
3	9	Sol5	G5	349	349	1	8	500	95	96		0.500000
4	9	Fa5	F5	340	340	1	4	1000	95	96		0.750000
5	9	Sol5	G5	349	349	1	8	500	95	96		0.875000
6	9	La5	A5	358	358	1	8	500	95	96		1.000000
7	9	Sol5	G5	349	349	1	8	500	95	96		1.125000
8	9	Fa5	F5	340	340	1	16	250	95	96		1.187500
9	9	Sol5	G5	349	349	1	16	250	95	96		1.250000
10	9	Fa5	F5	340	340	1	8	500	95	96		1.375000
11	9	Mi5b2	E5b1	334	335	1	8	500	95	96		1.500000
12	9	Mi5b2	E5b1	334	335	3	16	750	95	96		1.687500
13	9	Re5	D5	327	327	1	16	250	95	96		1.750000
14	9	Do5	C5	318	318	1	4	1000	95	96		2.000000
15	9	Re5	D5	327	327	1	8	500	95	96		2.125000
16	9	Mi5b2	E5b1	334	335	1	8	500	95	96		2.250000
17	9	Fa5	F5	340	340	1	8	500	95	96		2.375000
18	9	Sol5	G5	349	349	1	8	500	95	96		2.500000
19	9	Mi5b2	E5b1	334	335	1	8	500	95	96		2.625000
20	9	Fa5	F5	340	340	1	8	500	95	96		2.750000
21	9	Re5	D5	327	327	1	8	500	95	96		2.875000
22	9	Mi5b2	E5b1	334	335	1	8	500	95	96		3.000000
23	9	Re5	D5	327	327	1	8	500	95	96		3.125000
24	9	Do5	C5	318	318	1	4	1000	95	96		3.375000
25	9	Si4b2	B4b1	312	313	1	8	500	95	96		3.500000
26	9	Do5	C5	318	318	3	16	750	95	96		3.687500
27	9	Si4b2	B4b1	312	313	1	16	250	95	96		3.750000
28	9	La4	A4	305	305	1	4	1000	95	96		4.000000
29	9	Es	Es	-1	-1	1	4	1000	100	0		4.250000
30	9	Si4b2	B4b1	312	313	1	8	500	95	96		4.375000
31	9	Do5	C5	318	318	1	8	500	95	96		4.500000
32	9	Si4b2	B4b1	312	313	1	4	1000	95	96		4.750000
33	9	Do5	C5	318	318	1	4	1000	95	96		5.000000
34	9	Re5	D5	327	327	3	16	750	95	96		5.187500
35	9	Fa5	F5	340	340	1	16	250	95	96		5.250000
36	9	Mi5b2	E5b1	334	335	1	16	250	95	96		5.312500
37	9	Re5	D5	327	327	1	16	250	95	96		5.375000
38	9	Do5	C5	318	318	1	8	500	95	96		5.500000
39	9	Es	Es	-1	-1	1	8	500	100	0		5.625000
40	9	Mi5b2	E5b1	334	335	1	16	250	95	96		5.687500
41	9	Fa5	F5	340	340	1	16	250	95	96		5.750000
42	9	Mi5b2	E5b1	334	335	3	16	750	95	96		5.937500
43	9	Re5	D5	327	327	1	16	250	95	96		6.000000
44	9	Do5	C5	318	318	3	16	750	95	96		6.187500
45	9	Si4b2	B4b1	312	313	1	16	250	95	96		6.250000
46	9	La4	A4	305	305	1	8	500	95	96		6.375000
47	9	Si4b2	B4b1	312	313	1	8	500	95	96		6.500000
48	9	Do5	C5	318	318	3	8	1500	95	96		6.875000
49	9	Sol4	G4	296	296	1	8	500	95	96		7.000000
50	9	La4	A4	305	305	1	8	500	95	96		7.125000
51	9	Sol4	G4	296	296	1	8	500	95	96		7.250000
52	9	La4	A4	305	305	1	8	500	95	96		7.375000
53	9	Si4b2	B4b1	312	313	1	8	500	95	96		7.500000
54	9	Do5	C5	318	318	1	16	250	95	96		7.562500
55	9	Re5	D5	327	327	1	16	250	95	96		7.625000
56	9	Do5	C5	318	318	1	16	250	95	96		7.687500
57	9	Si4b2	B4b1	312	313	1	16	250	95	96		7.750000
58	9	Do5	C5	318	318	1	4	1000	95	96		8.000000
59	9	Es	Es	-1	-1	1	8	500	100	0		8.125000
