Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Fa5	F5	340	340	1	4	1000	95	96		0.25
2	9	Sol5	G5	349	349	1	4	1000	95	96		0.5
3	9	Sol5	G5	349	349	1	4	1000	95	96		0.75
4	9	Sol5	G5	349	349	1	8	500	95	96		0.875
5	9	La5b4	A5b4	354	354	1	8	500	95	96		1.0
6	9	Sol5	G5	349	349	1	8	500	95	96		1.125
7	9	Fa5	F5	340	340	1	8	500	95	96		1.25
8	9	Mi5	E5	336	336	1	8	500	95	96		1.375
9	9	Fa5	F5	340	340	1	8	500	95	96		1.5
10	9	Sol5	G5	349	349	1	2	2000	95	96		2.0
11	9	Es	Es	-1	-1	1	4	1000	100	0		2.25
12	9	Sol5	G5	349	349	1	8	500	95	96		2.375
13	9	La5b4	A5b4	354	354	1	8	500	95	96		2.5
14	9	Do6	C6	371	371	1	8	500	95	96		2.625
15	9	Si5b2	B5b1	365	366	1	8	500	95	96		2.75
16	9	La5b4	A5b4	354	354	1	8	500	95	96		2.875
17	9	Sol5	G5	349	349	1	8	500	95	96		3.0
18	9	Sol5	G5	349	349	1	8	500	95	96		3.125
19	9	Fa5	F5	340	340	1	8	500	95	96		3.25
20	9	Fa5	F5	340	340	1	8	500	95	96		3.375
21	9	Mi5	E5	336	336	1	8	500	95	96		3.5
22	9	Fa5	F5	340	340	1	2	2000	95	96		4.0
23	9	Es	Es	-1	-1	1	4	1000	100	0		4.25
24	9	Mi5	E5	336	336	1	8	500	95	96		4.375
25	9	Fa5	F5	340	340	1	8	500	95	96		4.5
26	9	Sol5	G5	349	349	1	8	500	95	96		4.625
27	9	La5b4	A5b4	354	354	1	4	1000	95	96		4.875
28	9	Sol5	G5	349	349	1	8	500	95	96		5.0
29	9	Sol5	G5	349	349	1	8	500	95	96		5.125
30	9	Fa5	F5	340	340	1	8	500	95	96		5.25
31	9	Fa5	F5	340	340	1	8	500	95	96		5.375
32	9	Mi5	E5	336	336	1	8	500	95	96		5.5
33	9	Mi5	E5	336	336	1	2	2000	95	96		6.0
34	9	Es	Es	-1	-1	1	4	1000	100	0		6.25
35	9	Fa5	F5	340	340	1	8	500	95	96		6.375
36	9	La5b4	A5b4	354	354	1	8	500	95	96		6.5
37	9	Sol5	G5	349	349	1	8	500	95	96		6.625
38	9	Fa5	F5	340	340	1	8	500	95	96		6.75
39	9	Fa5	F5	340	340	1	8	500	95	96		6.875
40	9	Mi5	E5	336	336	1	8	500	95	96		7.0
41	9	Mi5	E5	336	336	1	8	500	95	96		7.125
42	9	Re5b4	D5b4	323	323	1	8	500	95	96		7.25
43	9	Re5b4	D5b4	323	323	1	8	500	95	96		7.375
44	9	Do5	C5	318	318	1	8	500	95	96		7.5
45	9	Do5	C5	318	318	1	2	2000	95	96		8.0
46	9	Es	Es	-1	-1	1	4	1000	100	0		8.25
47	9	Fa5	F5	340	340	1	8	500	95	96		8.375
48	9	Mi5	E5	336	336	1	8	500	95	96		8.5
49	9	Re5b3	D5b4	324	323	1	4	1000	95	96		8.75
50	9	Do5	C5	318	318	1	4	1000	95	96		9.0
51	9	Re5b4	D5b4	323	323	1	8	500	95	96		9.125
52	9	Do5	C5	318	318	1	8	500	95	96		9.25
53	9	Si4b2	B4b1	312	313	1	8	500	95	96		9.375
54	9	La4	A4	305	305	1	8	500	95	96		9.5
55	9	Si4b2	B4b1	312	313	1	2	2000	95	96		10.0
56	9	Es	Es	-1	-1	1	4	1000	100	0		10.25
57	9	La4	A4	305	305	1	8	500	95	96		10.375
58	9	Si4b5	B4b5	309	309	1	8	500	95	96		10.5
59	9	Do5	C5	318	318	1	4	1000	95	96		10.75
60	9	Re5	D5	327	327	1	4	1000	95	96		11.0
61	9	Do5	C5	318	318	1	8	500	95	96		11.125
62	9	Si4b5	B4b5	309	309	1	8	500	95	96		11.25
63	9	La4b1	A4b1	304	304	1	8	500	95	96		11.375
64	9	Sol4	G4	296	296	1	8	500	95	96		11.5
65	9	La4b5	A4b5	300	300	1	8	500	95	96		11.625
66	9	Sol4	G4	296	296	1	8	500	95	96		11.75
67	9	Fa4	F4	287	287	1	8	500	95	96		11.875
68	9	Mi4	E4	283	283	1	8	500	95	96		12.0
69	9	Fa4	F4	287	287	1	4	1000	95	96		12.25
70	9	Sol4	G4	296	296	1	8	500	95	96		12.375
71	9	La4b4	A4b4	301	301	1	8	500	95	96		12.5
72	9	Si4b1	B4b1	313	313	1	8	500	95	96		12.625
73	9	Do5	C5	318	318	1	8	500	95	96		12.75
74	9	Re5	D5	327	327	1	8	500	95	96		12.875
75	9	Do5	C5	318	318	1	8	500	95	96		13.0
76	9	Mi5b5	E5b5	331	331	1	8	500	95	96		13.125
77	9	Re5	D5	327	327	1	8	500	95	96		13.25
78	9	Do5	C5	318	318	1	8	500	95	96		13.375
79	9	Si4b1	B4b1	313	313	1	8	500	95	96		13.5
80	9	La4b4	A4b4	301	301	1	8	500	95	96		13.625
81	9	Sol4	G4	296	296	1	8	500	95	96		13.75
82	9	Fa4	F4	287	287	1	4	1000	95	96		14.0
83	9	La4b4	A4b4	301	301	1	4	1000	95	96		14.25
84	9	Sol4	G4	296	296	1	8	500	95	96		14.375
85	9	Fa4	F4	287	287	1	8	500	95	96		14.5
86	9	Mi4	E4	283	283	1	8	500	95	96		14.625
87	9	Fa4	F4	287	287	1	8	500	95	96		14.75
88	9	Sol4	G4	296	296	1	16	250	95	96		14.8125
