Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	11	Mi5	E5	336	336	1	8	588	99	96	Din	0.0714285714286
2	9	Mi5	E5	336	336	1	8	588	95	96		0.142857142857
3	9	Fa5#4	F5#4	344	344	1	8	588	95	96	le	0.214285714286
4	9	Sol5	G5	349	349	1	4	1176	99	96	yen	0.357142857143
5	9	La5	A5	358	358	1	8	588	99	96		0.428571428571
6	8	Si5b1	B5b1	366	366	0	0	0	99	96		0.428571428571
7	9	La5	A5	358	358	1	16	294	99	96		0.464285714286
8	11	Sol5	G5	349	349	1	16	294	95	96		0.5
9	9	Sol5	G5	349	349	1	8	588	99	96	ler 	0.571428571429
10	9	Fa5#4	F5#4	344	344	1	8	588	99	96		0.642857142857
11	9	Sol5	G5	349	349	1	8	588	99	96		0.714285714286
12	9	Fa5#4	F5#4	344	344	3	16	882	99	96		0.821428571429
13	9	Mi5	E5	336	336	1	16	294	99	96		0.857142857143
14	9	Re5	D5	327	327	1	4	1176	50	96		1.0
15	9	Mi5	E5	336	336	1	16	294	99	96	güs	1.03571428571
16	9	Fa5#4	F5#4	344	344	1	16	294	99	96		1.07142857143
17	9	Mi5	E5	336	336	1	8	588	95	96		1.14285714286
18	9	Fa5#4	F5#4	344	344	1	8	588	95	96	sa 	1.21428571429
19	9	Sol5	G5	349	349	1	4	1176	99	96	i 	1.35714285714
20	9	La5	A5	358	358	1	8	588	99	96		1.42857142857
21	9	Si5b1	B5b1	366	366	1	8	588	95	96		1.5
22	9	La5	A5	358	358	1	8	588	99	96	dev	1.57142857143
23	9	Sol5	G5	349	349	1	8	588	99	96		1.64285714286
24	9	Fa5#4	F5#4	344	344	1	8	588	99	96		1.71428571429
25	9	Sol5	G5	349	349	3	8	1765	95	96		1.92857142857
26	9	Es	Es	-1	-1	1	8	588	100	0		2.0
27	9	Mi5	E5	336	336	1	8	588	99	96	ran	2.07142857143
28	8	Fa5#4	F5#4	344	344	0	0	0	99	96		2.07142857143
29	9	Mi5	E5	336	336	1	8	588	99	96		2.14285714286
30	9	Fa5#4	F5#4	344	344	1	8	588	95	96		2.21428571429
31	9	Sol5	G5	349	349	1	8	588	99	96	dan 	2.28571428571
32	9	Fa5#4	F5#4	344	344	1	16	294	99	96		2.32142857143
33	9	Mi5	E5	336	336	1	16	294	99	96		2.35714285714
34	9	Fa5#4	F5#4	344	344	1	8	588	99	96		2.42857142857
35	9	Mi5	E5	336	336	1	8	588	95	96		2.5
36	9	La5	A5	358	358	1	8	588	99	96	â	2.57142857143
37	9	Sol5	G5	349	349	1	8	588	99	96		2.64285714286
38	9	Fa5#4	F5#4	344	344	1	8	588	99	96		2.71428571429
39	9	La5	A5	358	358	1	16	294	99	96		2.75
40	9	Sol5	G5	349	349	1	16	294	99	96		2.78571428571
41	9	Fa5#4	F5#4	344	344	1	16	294	99	96		2.82142857143
42	9	Mi5	E5	336	336	1	16	294	99	96		2.85714285714
43	9	Re5	D5	327	327	1	8	588	95	96		2.92857142857
44	9	Es	Es	-1	-1	1	8	588	100	0		3.0
45	9	Mi5	E5	336	336	1	16	294	99	96	zâ	3.03571428571
46	9	Fa5	F5	340	340	1	16	294	99	96		3.07142857143
47	9	Mi5	E5	336	336	1	16	294	99	96		3.10714285714
48	9	Fa5	F5	340	340	1	16	294	99	96		3.14285714286
49	9	Mi5	E5	336	336	1	16	294	99	96		3.17857142857
50	9	Re5	D5	327	327	1	16	294	99	96		3.21428571429
51	9	Mi5	E5	336	336	1	16	294	99	96		3.25
52	9	Sol5	G5	349	349	1	16	294	99	96		3.28571428571
53	9	Fa5	F5	340	340	1	16	294	99	96		3.32142857143
54	9	Mi5	E5	336	336	1	16	294	95	96		3.35714285714
55	9	Mi5	E5	336	336	1	16	294	99	96	de	3.39285714286
56	9	Re5	D5	327	327	1	16	294	99	96		3.42857142857
57	9	Re5	D5	327	327	1	16	294	99	96		3.46428571429
58	9	Do5#4	C5#4	322	322	1	16	294	95	96		3.5
59	9	Re5	D5	327	327	1	8	588	99	96	dir  	3.57142857143
60	9	Do5#4	C5#4	322	322	1	16	294	99	96		3.60714285714
61	9	Re5	D5	327	327	1	16	294	99	96		3.64285714286
62	9	Mi5	E5	336	336	1	16	294	99	96		3.67857142857
63	11	Re5	D5	327	327	1	16	294	99	96		3.71428571429
64	9	Re5	D5	327	327	3	8	1765	95	96		3.92857142857
65	9	Es	Es	-1	-1	1	8	588	100	0		4.0
66	9	Sol4	G4	296	296	1	8	588	99	96	Şevk_	4.07142857143
67	9	Re5	D5	327	327	1	8	588	95	96		4.14285714286
68	9	Re5	D5	327	327	1	8	588	95	96	ı 	4.21428571429
69	9	Mi5b4	E5b4	332	332	1	16	294	99	96	Dil	4.25
70	9	Re5	D5	327	327	1	16	294	99	96		4.28571428571
71	9	Re5	D5	327	327	1	16	294	99	96		4.32142857143
72	9	Do5#4	C5#4	322	322	1	16	294	95	96		4.35714285714
73	9	Re5	D5	327	327	1	4	1176	95	96	le 	4.5
74	9	Re5	D5	327	327	1	8	588	99	96	zevk_	4.57142857143
75	9	Mi5b4	E5b4	332	332	1	8	588	99	96		4.64285714286
76	9	Mi5b4	E5b4	332	332	1	8	588	99	96		4.71428571429
77	9	Mi5b4	E5b4	332	332	1	8	588	99	96		4.78571428571
78	9	Fa5#4	F5#4	344	344	1	8	588	99	96		4.85714285714
79	9	Mi5b4	E5b4	332	332	1	8	588	99	96		4.92857142857
80	9	Re5	D5	327	327	1	8	588	95	96		5.0
81	9	La5	A5	358	358	1	8	588	99	96	ı 	5.07142857143
82	9	Sol5	G5	349	349	1	8	588	50	96		5.14285714286
83	9	Fa5#4	F5#4	344	344	1	8	588	99	96	dil 	5.21428571429
84	9	Sol5	G5	349	349	1	16	294	99	96		5.25
85	9	Fa5#4	F5#4	344	344	1	16	294	99	96		5.28571428571
86	9	Mi5b4	E5b4	332	332	1	16	294	99	96		5.32142857143
87	9	Fa5#4	F5#4	344	344	1	16	294	99	96		5.35714285714
88	9	Mi5b4	E5b4	332	332	1	8	588	99	96		5.42857142857
89	9	Re5	D5	327	327	1	8	588	95	96		5.5
90	9	Re5	D5	327	327	1	4	1176	99	96	üf	5.64285714286
91	9	Re5	D5	327	327	1	16	294	99	96		5.67857142857
92	9	Do5	C5	318	318	1	16	294	99	96		5.71428571429
93	9	Si4b1	B4b1	313	313	3	16	882	99	96		5.82142857143
94	9	La4	A4	305	305	1	16	294	99	96		5.85714285714
95	9	Sol4	G4	296	296	1	8	588	95	96		5.92857142857
96	9	Es	Es	-1	-1	1	8	588	100	0		6.0
97	9	Sol4	G4	296	296	1	4	1176	95	96	tâ	6.14285714286
98	9	La4	A4	305	305	1	8	588	95	96	de 	6.21428571429
99	9	Do5	C5	318	318	1	16	294	99	96	vü 	6.25
100	9	Si4b1	B4b1	313	313	1	16	294	99	96		6.28571428571
101	9	La4	A4	305	305	1	16	294	99	96		6.32142857143
102	9	Do5	C5	318	318	1	16	294	99	96		6.35714285714
103	9	Si4b1	B4b1	313	313	1	16	294	99	96		6.39285714286
104	9	La4	A4	305	305	1	16	294	99	96		6.42857142857
105	9	Sol4	G4	296	296	1	8	588	95	96		6.5
106	9	Mi5	E5	336	336	1	8	588	99	96	dil	6.57142857143
107	9	Re5	D5	327	327	1	8	588	99	96		6.64285714286
108	9	Do5	C5	318	318	1	8	588	99	96		6.71428571429
109	9	Si4b1	B4b1	313	313	1	32	147	99	96		6.73214285714
110	9	La4	A4	305	305	1	32	147	99	96		6.75
111	9	Si4b1	B4b1	313	313	1	32	147	99	96		6.76785714286
112	9	Do5	C5	318	318	1	32	147	99	96		6.78571428571
113	9	Si4b1	B4b1	313	313	1	16	294	99	96		6.82142857143
114	9	La4	A4	305	305	1	16	294	99	96		6.85714285714
115	9	Sol4	G4	296	296	1	8	588	95	96		6.92857142857
116	9	Es	Es	-1	-1	1	8	588	100	0		7.0
117	9	La4	A4	305	305	1	16	294	99	96	dâ	7.03571428571
118	9	Si4b4	B4b4	310	310	1	16	294	99	96		7.07142857143
119	9	La4	A4	305	305	1	16	294	99	96		7.10714285714
120	9	Si4b4	B4b4	310	310	1	16	294	99	96		7.14285714286
121	9	La4	A4	305	305	1	16	294	99	96		7.17857142857
122	9	Sol4	G4	296	296	1	16	294	99	96		7.21428571429
123	9	La4	A4	305	305	1	16	294	99	96		7.25
124	9	Do5	C5	318	318	1	16	294	99	96		7.28571428571
125	9	Si4b1	B4b1	313	313	1	16	294	99	96		7.32142857143
126	9	La4	A4	305	305	1	16	294	95	96		7.35714285714
127	9	La4	A4	305	305	1	16	294	99	96	de	7.39285714286
128	9	Sol4	G4	296	296	1	16	294	99	96		7.42857142857
129	9	Sol4	G4	296	296	1	16	294	99	96		7.46428571429
130	9	Fa4#4	F4#4	291	291	1	16	294	95	96		7.5
131	9	Sol4	G4	296	296	1	8	588	99	96	dir  	7.57142857143
132	9	Fa4#4	F4#4	291	291	1	8	588	99	96		7.64285714286
133	9	La4	A4	305	305	1	16	294	99	96		7.67857142857
134	11	Sol4	G4	296	296	1	16	294	99	96		7.71428571429
135	9	Sol4	G4	296	296	3	8	1765	95	96		7.92857142857
136	9	Es	Es	-1	-1	1	8	588	100	0		8.0
