Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	32	4	0	63	0	Muhammes	0.0
2	9	Es	Es	-1	-1	1	4	909	100	0	1. HANE	0.03125
3	9	Sol5	G5	349	349	1	8	455	95	96		0.046875
4	9	Fa5#4	F5#4	344	344	1	8	455	95	96		0.0625
5	9	Sol5	G5	349	349	1	4	909	95	96		0.09375
6	9	La5	A5	358	358	1	8	455	95	96		0.109375
7	9	Si5b1	B5b1	366	366	1	8	455	95	96		0.125
8	9	Sol5	G5	349	349	1	8	455	95	96		0.140625
9	9	La5	A5	358	358	1	8	455	95	96		0.15625
10	9	Fa5#4	F5#4	344	344	1	8	455	95	96		0.171875
11	9	Sol5	G5	349	349	1	8	455	95	96		0.1875
12	9	Mi5	E5	336	336	1	8	455	95	96		0.203125
13	9	Fa5#4	F5#4	344	344	1	8	455	95	96		0.21875
14	9	Re5	D5	327	327	1	4	909	95	96		0.25
15	9	Re5	D5	327	327	1	8	455	95	96		0.265625
16	9	Mi5	E5	336	336	1	8	455	95	96		0.28125
17	9	Re5	D5	327	327	1	8	455	95	96		0.296875
18	9	Mi5	E5	336	336	1	8	455	95	96		0.3125
19	9	Fa5#4	F5#4	344	344	1	8	455	95	96		0.328125
20	9	Sol5	G5	349	349	1	8	455	95	96		0.34375
21	9	Mi5	E5	336	336	1	8	455	95	96		0.359375
22	9	Fa5#4	F5#4	344	344	1	8	455	95	96		0.375
23	9	Sol5	G5	349	349	1	4	909	95	96		0.40625
24	9	La5	A5	358	358	1	8	455	95	96		0.421875
25	9	Si5	B5	367	367	1	8	455	95	96		0.4375
26	9	La5	A5	358	358	1	8	455	95	96		0.453125
27	9	Sol5	G5	349	349	1	4	909	95	96		0.484375
28	9	Fa5#4	F5#4	344	344	1	8	455	95	96		0.5
29	9	Mi5	E5	336	336	1	8	455	95	96		0.515625
30	9	Fa5#4	F5#4	344	344	1	8	455	95	96		0.53125
31	9	Sol5	G5	349	349	1	4	909	95	96		0.5625
32	9	Es	Es	-1	-1	1	4	909	100	0		0.59375
33	9	Sol5	G5	349	349	1	8	455	95	96		0.609375
34	9	Fa5#4	F5#4	344	344	1	8	455	95	96		0.625
35	9	Sol5	G5	349	349	1	4	909	95	96		0.65625
36	9	La5	A5	358	358	1	8	455	95	96		0.671875
37	9	Si5b1	B5b1	366	366	1	8	455	95	96		0.6875
38	9	La5	A5	358	358	1	4	909	95	96		0.71875
39	9	Sol5	G5	349	349	1	8	455	95	96		0.734375
40	9	Fa5#4	F5#4	344	344	1	8	455	95	96		0.75
41	9	Mi5	E5	336	336	1	8	455	95	96		0.765625
42	9	Fa5	F5	340	340	1	8	455	95	96		0.78125
43	9	Mi5	E5	336	336	1	8	455	95	96		0.796875
44	9	Fa5	F5	340	340	1	8	455	95	96		0.8125
45	9	La5	A5	358	358	1	8	455	95	96		0.828125
46	9	Sol5	G5	349	349	1	8	455	95	96		0.84375
