Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	9	La4	A4	305	305	1	8	455	95	92	ARANAÐME 
2	9	Re5	D5	327	327	1	4	909	95	96	.
3	9	Mi5	E5	336	336	1	8	455	95	92	.
4	9	Fa5	F5	340	340	1	8	455	95	96	.
5	9	Sol5	G5	349	349	1	8	455	95	92	.
6	9	La5	A5	358	358	1	4	909	95	96	.
7	9	Sol5	G5	349	349	1	24	152	95	90	.
8	9	La5	A5	358	358	1	24	152	95	86	.
9	9	Si5b5	B5b5	362	362	1	24	152	95	90	.
10	9	La5	A5	358	358	1	24	152	95	90	.
11	9	Sol5	G5	349	349	1	24	152	95	86	.
12	9	Fa5	F5	340	340	1	24	152	95	90	.
13	9	Mi5	E5	336	336	1	24	152	95	90	.
14	9	Fa5	F5	340	340	1	24	152	95	86	.
15	9	Sol5	G5	349	349	1	24	152	95	90	.
16	9	Fa5	F5	340	340	1	24	152	95	90	.
17	9	Mi5	E5	336	336	1	24	152	95	86	.
18	9	Re5	D5	327	327	1	24	152	95	90	.
19	9	Do5#4	C5#4	322	322	1	24	152	95	90	.
20	9	Re5	D5	327	327	1	24	152	95	86	.
21	9	Mi5	E5	336	336	1	24	152	95	90	.
22	9	Re5	D5	327	327	1	24	152	95	90	.
23	9	Do5#4	C5#4	322	322	1	24	152	95	86	.
24	9	Si4b5	B4b5	309	309	1	24	152	95	90	.
25	9	La4	A4	305	305	1	4	909	95	96	.
26	9	Do5#4	C5#4	322	322	1	8	455	95	96	.
27	9	Re5	D5	327	327	1	4	909	95	96	.
28	9	Fa5#4	F5#4	344	344	1	8	455	95	96	.
29	9	Mi5b4	E5b4	332	332	3	16	682	95	96	.
30	9	Re5	D5	327	327	1	16	227	95	88	.
31	9	Do5#4	C5#4	322	322	1	4	909	95	96	.
32	9	Re5	D5	327	327	1	16	227	95	96	.
33	9	Mi5b4	E5b4	332	332	1	16	227	95	88	.
34	9	Re5	D5	327	327	1	16	227	95	96	.
35	9	Do5#4	C5#4	322	322	1	16	227	95	88	.
36	9	Si4b5	B4b5	309	309	1	4	909	95	96	.
37	9	Do5#4	C5#4	322	322	1	16	227	95	96	.
38	9	Re5	D5	327	327	1	16	227	95	88	.
39	9	Do5#4	C5#4	322	322	1	16	227	95	96	.
40	9	Si4b5	B4b5	309	309	1	16	227	95	88	.
41	9	La4	A4	305	305	1	4	909	95	96	.
42	9	Mi5b4	E5b4	332	332	1	8	455	95	96	.
43	9	Re5	D5	327	327	1	8	455	95	96	.
44	9	Do5#4	C5#4	322	322	1	8	455	95	96	.
45	9	Si4b5	B4b5	309	309	1	8	455	95	96	.
46	9	La4	A4	305	305	1	24	152	95	90	.
47	9	Si4b5	B4b5	309	309	1	24	152	95	86	.
48	9	Do5	C5	318	318	1	24	152	95	90	.
49	9	Si4b5	B4b5	309	309	1	24	152	95	90	.
50	9	La4	A4	305	305	1	24	152	95	86	.
51	9	Sol4	G4	296	296	1	24	152	95	90	.
52	9	Fa4	F4	287	287	3	8	1364	95	96	.
53	9	Fa5	F5	340	340	1	8	455	95	96	.
54	9	Mi5	E5	336	336	1	8	455	95	92	.
55	9	Re5	D5	327	327	1	8	455	95	96	.
56	9	Do5	C5	318	318	1	8	455	95	96	.
57	9	Si4b5	B4b5	309	309	1	8	455	95	92	.
58	9	La4	A4	305	305	1	8	455	95	96	.
59	9	Sol4	G4	296	296	1	8	455	95	92	.
60	9	La4	A4	305	305	1	8	455	95	92	.
61	9	Sol4	G4	296	296	1	8	455	95	96	.
62	9	Fa4	F4	287	287	1	8	455	95	92	.
63	9	Mi4	E4	283	283	1	8	455	95	96	.
64	9	Re4	D4	274	274	1	2	1818	95	96	.  
65	9	La4	A4	305	305	1	8	455	95	96	Ka
66	9	Re5	D5	327	327	1	4	909	95	96	çýn
67	9	Re5	D5	327	327	1	8	455	95	96	cý 
68	9	Re5	D5	327	327	1	8	455	99	96	fasl_
69	9	Do5#4	C5#4	322	322	1	16	227	99	88	
70	9	Si4	B4	314	314	1	16	227	95	82	
71	9	Do5#4	C5#4	322	322	1	8	455	95	96	ý 
72	9	Re5	D5	327	327	1	8	455	95	96	ba
73	9	Do5#4	C5#4	322	322	1	8	455	99	96	har 
74	9	Re5	D5	327	327	1	8	455	99	96	
75	9	Si4	B4	314	314	1	8	455	99	96	
76	9	Re5	D5	327	327	1	8	455	95	92	
77	9	Re5	D5	327	327	1	2	1818	95	96	bu 
78	9	Mi5	E5	336	336	1	8	455	95	96	so
79	9	Fa5	F5	340	340	1	4	909	95	96	lar 
80	9	Mi5	E5	336	336	1	16	227	99	88	gi
81	9	Re5	D5	327	327	1	16	227	95	82	
82	9	Re5	D5	327	327	1	8	455	99	96	der_
83	9	Do5#4	C5#4	322	322	1	16	227	99	88	
84	9	Si4	B4	314	314	1	16	227	95	82	
85	9	Mi5	E5	336	336	1	16	227	99	88	e
86	9	Re5	D5	327	327	1	16	227	95	82	
87	9	Re5	D5	327	327	1	16	227	99	88	me
88	9	Do5#4	C5#4	322	322	1	16	227	95	82	
89	9	Do5#4	C5#4	322	322	1	4	909	99	96	lim  
90	9	Do5#4	C5#4	322	322	1	8	455	99	96	
91	9	Si4	B4	314	314	1	8	455	99	96	
92	9	Mi5	E5	336	336	1	16	227	99	88	
93	9	Re5	D5	327	327	1	16	227	99	82	
94	9	Re5	D5	327	327	1	16	227	99	88	
