Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La4	A4	305	305	1	4	909	95	96	1. HANE	0.200000
2	9	Re5	D5	327	327	1	8	455	95	96		0.300000
3	9	Re5	D5	327	327	1	16	227	95	96		0.350000
4	9	Mi5	E5	336	336	1	16	227	95	96		0.400000
5	9	Re5	D5	327	327	1	16	227	95	96		0.450000
6	9	Do5#4	C5#4	322	322	1	16	227	95	96		0.500000
7	9	Do5#4	C5#4	322	322	1	16	227	95	96		0.550000
8	9	Re5	D5	327	327	1	16	227	95	96		0.600000
9	9	Do5#4	C5#4	322	322	1	16	227	95	96		0.650000
10	9	Si4b5	B4b5	309	309	1	16	227	95	96		0.700000
11	9	Do5#4	C5#4	322	322	1	16	227	95	96		0.750000
12	9	Si4b5	B4b5	309	309	1	16	227	95	96		0.800000
13	9	La4	A4	305	305	1	8	455	95	96		0.900000
14	9	Es	Es	-1	-1	1	8	455	100	0		1.000000
15	9	La4	A4	305	305	1	16	227	95	96		1.050000
16	9	Si4b5	B4b5	309	309	1	16	227	95	96		1.100000
17	9	Do5#4	C5#4	322	322	1	16	227	95	96		1.150000
18	9	Re5	D5	327	327	1	16	227	95	96		1.200000
19	9	Do5#4	C5#4	322	322	1	16	227	95	96		1.250000
20	9	Si4b5	B4b5	309	309	1	16	227	95	96		1.300000
21	9	La4	A4	305	305	1	16	227	95	96		1.350000
22	9	Si4b5	B4b5	309	309	1	16	227	95	96		1.400000
23	9	La4	A4	305	305	1	16	227	95	96		1.450000
24	9	Sol4	G4	296	296	1	16	227	95	96		1.500000
25	9	Do5#4	C5#4	322	322	1	16	227	95	96		1.550000
26	9	Re5	D5	327	327	1	16	227	95	96		1.600000
27	9	Mi5	E5	336	336	1	16	227	95	96		1.650000
28	9	Do5#4	C5#4	322	322	1	16	227	95	96		1.700000
29	9	Re5	D5	327	327	1	4	909	95	96		1.900000
30	9	Es	Es	-1	-1	1	8	455	100	0		2.000000
31	9	Fa5	F5	340	340	1	4	909	95	96		2.200000
32	9	Fa5	F5	340	340	1	8	455	95	96		2.300000
33	9	Fa5	F5	340	340	1	16	227	95	96		2.350000
34	9	Sol5	G5	349	349	1	16	227	95	96		2.400000
35	9	Fa5	F5	340	340	1	16	227	95	96		2.450000
36	9	Mi5	E5	336	336	1	16	227	95	96		2.500000
37	9	Mi5	E5	336	336	1	16	227	95	96		2.550000
38	9	Fa5	F5	340	340	1	16	227	95	96		2.600000
39	9	Mi5	E5	336	336	1	16	227	95	96		2.650000
40	9	Re5	D5	327	327	1	16	227	95	96		2.700000
41	9	Do5#4	C5#4	322	322	1	16	227	95	96		2.750000
42	9	Re5	D5	327	327	1	16	227	95	96		2.800000
43	9	Mi5	E5	336	336	1	8	455	95	96		2.900000
44	9	Es	Es	-1	-1	1	8	455	100	0		3.000000
45	9	Re5	D5	327	327	3	16	682	95	96		3.150000
46	9	Si5b5	B5b5	362	362	1	16	227	95	96		3.200000
47	9	La5	A5	358	358	1	16	227	95	96		3.250000
48	9	Sol5	G5	349	349	1	16	227	95	96		3.300000
49	9	Sol5	G5	349	349	1	16	227	95	96		3.350000
50	9	Fa5	F5	340	340	1	16	227	95	96		3.400000
51	9	Fa5	F5	340	340	1	16	227	95	96		3.450000
52	9	Mi5	E5	336	336	1	16	227	95	96		3.500000
53	9	Mi5	E5	336	336	1	16	227	95	96		3.550000
54	9	Re5	D5	327	327	1	16	227	95	96		3.600000
55	9	Re5	D5	327	327	1	16	227	95	96		3.650000
56	9	Do5#4	C5#4	322	322	1	16	227	95	96		3.700000
57	9	Re5	D5	327	327	1	4	909	95	96		3.900000
58	9	Es	Es	-1	-1	1	8	455	100	0		4.000000
59	9	Re5	D5	327	327	1	4	909	95	96	TESLİM	4.200000
60	9	Do5#4	C5#4	322	322	1	16	227	95	96		4.250000
61	9	Re5	D5	327	327	1	16	227	95	96		4.300000
62	9	Mi5b4	E5b4	332	332	3	16	682	95	96		4.450000
63	9	Fa5#4	F5#4	344	344	1	16	227	95	96		4.500000
64	9	Re5	D5	327	327	3	16	682	95	96		4.650000
65	9	Mi5b4	E5b4	332	332	1	16	227	95	96		4.700000
66	9	Re5	D5	327	327	1	8	455	95	96		4.800000
67	9	Do5#4	C5#4	322	322	1	8	455	95	96		4.900000
68	9	Si4b5	B4b5	309	309	1	8	455	95	96		5.000000
69	9	Do5#4	C5#4	322	322	1	8	455	95	96		5.100000
70	9	Re5	D5	327	327	1	8	455	95	96		5.200000
71	9	Fa5#4	F5#4	344	344	1	16	227	95	96		5.250000
