Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Mi5	E5	336	336	1	4	833	95	96		0.250000
2	9	Do6	C6	371	371	1	16	208	95	96		0.312500
3	9	Si5	B5	367	367	1	16	208	95	96		0.375000
4	9	La5	A5	358	358	1	8	417	95	96		0.500000
5	9	La5	A5	358	358	1	4	833	95	96		0.750000
6	9	Es	Es	-1	-1	1	4	833	100	0		1.000000
7	9	Sol5#4	G5#4	353	353	1	4	833	95	96		1.250000
8	9	La5	A5	358	358	1	8	417	95	96		1.375000
9	9	Si5	B5	367	367	1	4	833	95	96		1.625000
10	9	La5	A5	358	358	1	16	208	95	96		1.687500
11	9	Sol5#4	G5#4	353	353	1	16	208	95	96		1.750000
12	9	Fa5#1	F5#1	341	341	1	16	208	95	96		1.812500
13	9	Mi5	E5	336	336	1	8	417	95	96		1.937500
14	9	Es	Es	-1	-1	1	8	417	100	0		2.062500
15	9	Re5#4	D5#4	331	331	1	16	208	95	96		2.125000
16	9	Mi5	E5	336	336	1	16	208	95	96		2.187500
17	9	Fa5#1	F5#1	341	341	1	16	208	95	96		2.250000
18	9	Sol5#4	G5#4	353	353	1	16	208	95	96		2.312500
19	9	La5	A5	358	358	1	16	208	95	96		2.375000
20	9	Si5	B5	367	367	1	16	208	95	96		2.437500
21	9	Sol5#4	G5#4	353	353	1	16	208	95	96		2.500000
22	9	Fa5#1	F5#1	341	341	1	16	208	95	96		2.562500
23	9	Mi5	E5	336	336	1	16	208	95	96		2.625000
24	9	Re5#4	D5#4	331	331	1	64	52	95	96		2.640625
25	9	Es	Es	-1	-1	1	64	52	100	0		2.656250
26	9	Mi5	E5	336	336	1	8	417	95	96		2.781250
27	9	Re5#4	D5#4	331	331	1	8	417	95	96		2.906250
28	9	Mi5	E5	336	336	1	8	417	95	96		3.031250
29	9	Fa5#1	F5#1	341	341	1	16	208	95	96		3.093750
30	9	Sol5#4	G5#4	353	353	3	16	625	95	96		3.281250
31	9	Sol5#4	G5#4	353	353	1	16	208	95	96		3.343750
32	9	Fa5#1	F5#1	341	341	1	16	208	95	96		3.406250
33	9	Mi5	E5	336	336	1	16	208	95	96		3.468750
34	9	Mi5	E5	336	336	1	8	417	95	96		3.593750
35	9	Do6	C6	371	371	1	16	208	95	96		3.656250
36	9	Si5	B5	367	367	1	16	208	95	96		3.718750
37	9	La5	A5	358	358	1	16	208	95	96		3.781250
38	9	Sol5#4	G5#4	353	353	1	16	208	95	96		3.843750
