Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Do5	C5	318	318	1	4	833	95	103	1. HANE	0.0357142857143
2	9	Re5	D5	327	327	1	4	833	95	96		0.0714285714286
3	9	Re5	D5	327	327	1	4	833	95	114		0.107142857143
4	9	Do5	C5	318	318	1	8	417	95	114		0.125
5	9	Re5	D5	327	327	1	8	417	95	114		0.142857142857
6	9	Mi5b4	E5b4	332	332	1	8	417	95	114		0.160714285714
7	9	Fa5#4	F5#4	344	344	1	8	417	95	114		0.178571428571
8	9	Mi5b4	E5b4	332	332	1	8	417	95	114		0.196428571429
9	9	Re5	D5	327	327	1	8	417	95	114		0.214285714286
10	9	Re5	D5	327	327	1	8	417	95	114		0.232142857143
11	9	Mi5b4	E5b4	332	332	1	8	417	95	96		0.25
12	9	Re5	D5	327	327	1	8	417	95	96		0.267857142857
13	9	Do5	C5	318	318	1	8	417	95	96		0.285714285714
14	9	Do5	C5	318	318	1	8	417	95	96		0.303571428571
15	9	Re5	D5	327	327	1	8	417	95	96		0.321428571429
16	9	Do5	C5	318	318	1	8	417	95	96		0.339285714286
17	9	Si4b1	B4b1	313	313	1	8	417	95	114		0.357142857143
18	9	Es	Es	-1	-1	1	8	417	100	111		0.375
19	9	Si4b1	B4b1	313	313	1	4	833	95	108		0.410714285714
20	9	Si4b1	B4b1	313	313	1	16	208	95	96		0.419642857143
21	9	La4	A4	305	305	1	16	208	95	96		0.428571428571
22	9	La4	A4	305	305	1	8	417	95	96		0.446428571429
23	9	Sol4	G4	296	296	1	16	208	95	96		0.455357142857
24	9	La4	A4	305	305	1	16	208	95	96		0.464285714286
25	9	Si4b1	B4b1	313	313	1	8	417	95	96		0.482142857143
26	9	La4	A4	305	305	1	16	208	95	96		0.491071428571
27	9	Sol4	G4	296	296	1	16	208	95	114		0.5
28	9	Sol4	G4	296	296	3	8	1250	95	104		0.553571428571
29	9	Do5	C5	318	318	1	8	417	95	94		0.571428571429
30	9	Si4b1	B4b1	313	313	1	4	833	95	84		0.607142857143
31	9	Do5	C5	318	318	1	4	833	95	96		0.642857142857
32	9	Re5	D5	327	327	3	8	1250	95	96		0.696428571429
33	9	Fa5#4	F5#4	344	344	1	8	417	95	96		0.714285714286
34	9	Mi5b4	E5b4	332	332	3	16	625	95	96		0.741071428571
35	9	Re5	D5	327	327	1	16	208	95	96		0.75
36	9	Do5	C5	318	318	1	8	417	95	96		0.767857142857
37	9	Re5	D5	327	327	1	8	417	95	96		0.785714285714
38	9	Do5	C5	318	318	1	4	833	95	96		0.821428571429
39	9	La5	A5	358	358	1	8	417	95	96		0.839285714286
40	9	Sol5	G5	349	349	1	16	208	95	96		0.848214285714
41	9	Fa5#4	F5#4	344	344	1	16	208	95	96		0.857142857143
42	9	Fa5#4	F5#4	344	344	3	16	625	95	96		0.883928571429
43	9	Mi5b4	E5b4	332	332	1	16	208	95	96		0.892857142857
44	9	Re5	D5	327	327	1	16	208	95	96		0.901785714286
