Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Re5	D5	327	327	3	32	312	95	96	ARANAĞME	0.062500
2	9	Do5	C5	318	318	1	32	104	95	96	.	0.083333
3	9	Re5	D5	327	327	1	16	208	95	96	.	0.125000
4	9	Si4b1	B4b1	313	313	1	16	208	95	96	.	0.166667
5	9	Sol4	G4	296	296	1	4	833	95	96	.	0.333333
6	10	Mi5b4	E5b4	332	332	1	8	417	95	96	.	0.416667
7	8	Fa5#4	F5#4	344	344	0	0	0	95	96	.	0.416667
8	10	Mi5b4	E5b4	332	332	1	16	208	95	96	.	0.458333
9	8	Fa5#4	F5#4	344	344	0	0	0	95	96	.	0.458333
10	9	Re5	D5	327	327	1	16	208	95	96	.	0.500000
11	9	Do5	C5	318	318	3	32	312	95	96	.	0.562500
12	9	Si4b1	B4b1	313	313	1	32	104	95	96	.	0.583333
13	9	Do5	C5	318	318	1	16	208	95	96	.	0.625000
14	9	Re5	D5	327	327	1	16	208	95	96	.	0.666667
15	9	Mi5b4	E5b4	332	332	3	32	312	95	96	.	0.729167
16	9	Re5	D5	327	327	1	32	104	95	96	.	0.750000
17	9	Mi5b4	E5b4	332	332	1	16	208	95	96	.	0.791667
18	11	Fa5#4	F5#4	344	344	1	16	208	95	96	.	0.833333
19	9	Mi5b4	E5b4	332	332	1	16	208	95	96	.	0.875000
20	11	Fa5#4	F5#4	344	344	1	16	208	95	96	.	0.916667
21	11	Mi5b4	E5b4	332	332	1	16	208	95	96	.	0.958333
22	9	Re5	D5	327	327	1	16	208	95	96	.	1.000000
23	9	Es	Es	-1	-1	1	16	208	100	0	.	1.041667
24	9	La5	A5	358	358	1	16	208	95	96	.	1.083333
25	9	Sol5	G5	349	349	1	16	208	95	96	.	1.125000
26	9	La5	A5	358	358	1	16	208	95	96	.	1.166667
27	9	Si5b5	B5b5	362	362	1	16	208	95	96	.	1.208333
28	9	Do6	C6	371	371	1	16	208	95	96	.	1.250000
29	9	La5	A5	358	358	1	16	208	95	96	.	1.291667
30	9	Sol5	G5	349	349	1	16	208	95	96	.	1.333333
31	9	Fa5#4	F5#4	344	344	3	32	312	95	96	.	1.395833
32	9	Sol5	G5	349	349	1	32	104	95	96	.	1.416667
33	9	Fa5#4	F5#4	344	344	1	16	208	95	96	.	1.458333
34	9	Sol5	G5	349	349	1	16	208	95	96	.	1.500000
35	9	Fa5#4	F5#4	344	344	1	16	208	95	96	.	1.541667
36	9	Mi5b4	E5b4	332	332	1	16	208	95	96	.	1.583333
37	9	Mi5b4	E5b4	332	332	1	16	208	95	96	.	1.625000
38	11	Re5	D5	327	327	1	16	208	95	96	.	1.666667
39	9	Re5	D5	327	327	1	4	833	95	96	.	1.833333
40	1	La4b4	A4b4	301	301	1	24	139	95	96	.	1.861111
41	1	Si4b1	B4b1	313	313	1	24	139	95	96	.	1.888889
42	1	Do5	C5	318	318	1	24	139	95	96	.	1.916667
43	1	Re5	D5	327	327	1	24	139	95	96	.	1.944444
44	1	Mi5b4	E5b4	332	332	1	24	139	95	96	.	1.972222
45	1	Fa5#4	F5#4	344	344	1	24	139	95	96	.	2.000000
46	9	Sol5	G5	349	349	3	32	312	95	96	.	2.062500
47	9	Fa5#4	F5#4	344	344	1	32	104	95	96	.	2.083333
48	9	Sol5	G5	349	349	1	16	208	95	96	.	2.125000
49	9	Fa5#4	F5#4	344	344	1	16	208	95	96	.	2.166667
50	9	Mi5b4	E5b4	332	332	3	32	312	95	96	.	2.229167
51	9	Re5	D5	327	327	1	32	104	95	114	.	2.250000
52	9	Mi5b4	E5b4	332	332	1	16	208	95	102	.	2.291667
53	9	Re5	D5	327	327	1	16	208	95	90	.	2.333333
54	7	Do5	C5	318	318	2	16	417	95	78	.	2.416667
55	7	Re5	D5	327	327	2	16	417	95	96	.	2.500000
56	7	Mi5b4	E5b4	332	332	2	16	417	95	96	.	2.583333
57	7	Sol5	G5	349	349	2	16	417	95	96	.	2.666667
58	8	Sol5	G5	349	349	0	0	0	95	96	.	2.666667
