Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Es	Es	-1	-1	1	8	526	100	76		0.142857
2	8	Sol5	G5	349	349	0	0	0	95	77		0.142857
3	9	Fa5#3	F5#4	343	344	1	16	263	95	78	A	0.214286
4	9	Sol5	G5	349	349	1	16	263	95	96	şa	0.285714
5	9	La5	A5	358	358	1	8	526	95	96	ğı	0.428571
6	9	La5	A5	358	358	1	8	526	95	96	dan 	0.571429
7	9	La5	A5	358	358	1	16	263	99	96	ge	0.642857
8	9	Do6	C6	371	371	1	16	263	95	96		0.714286
9	9	Si5b2	B5b1	365	366	1	16	263	99	96	lir 	0.785714
10	9	La5	A5	358	358	1	8	526	99	96		0.928571
11	9	Sol5	G5	349	349	1	16	263	95	96		1.000000
12	8	Fa5#3	F5#4	343	344	0	0	0	95	96		1.000000
13	9	La5	A5	358	358	1	16	263	99	96	e	1.071429
14	9	Sol5	G5	349	349	1	16	263	95	96		1.142857
15	9	La5	A5	358	358	1	16	263	99	96	li 	1.214286
16	9	Fa5#3	F5#4	343	344	1	16	263	95	96		1.285714
17	9	Sol5	G5	349	349	1	16	263	99	96	de	1.357143
18	9	Mi5	E5	336	336	1	8	526	99	96		1.500000
19	9	Re5	D5	327	327	1	16	263	95	96		1.571429
20	9	Re5	D5	327	327	1	16	263	99	72	ve	1.642857
21	9	La5	A5	358	358	1	16	263	95	73		1.714286
22	11	Sol5	G5	349	349	1	16	263	99	74	li  	1.785714
23	10	Fa5#3	F5#4	343	344	1	16	263	99	74		1.857143
24	8	La5	A5	358	358	0	0	0	99	75		1.857143
25	9	Sol5	G5	349	349	1	8	526	95	76		2.000000
26	9	Es	Es	-1	-1	1	8	526	100	76		2.142857
27	8	Sol5	G5	349	349	0	0	0	95	77		2.142857
28	9	Fa5#3	F5#4	343	344	1	16	263	95	78	A	2.214286
29	9	Sol5	G5	349	349	1	16	263	95	96	şa	2.285714
30	9	La5	A5	358	358	1	8	526	95	96	ğı	2.428571
31	9	La5	A5	358	358	1	8	526	95	96	dan 	2.571429
32	9	La5	A5	358	358	1	16	263	99	96	ge	2.642857
33	9	Do6	C6	371	371	1	16	263	95	96		2.714286
34	9	Si5b2	B5b1	365	366	1	16	263	99	96	lir 	2.785714
35	9	La5	A5	358	358	1	8	526	99	96		2.928571
36	9	Sol5	G5	349	349	1	16	263	95	96		3.000000
37	8	Fa5#3	F5#4	343	344	0	0	0	95	96		3.000000
38	9	La5	A5	358	358	1	16	263	99	96	e	3.071429
39	9	Sol5	G5	349	349	1	16	263	95	96		3.142857
40	9	La5	A5	358	358	1	16	263	99	96	li 	3.214286
41	9	Fa5#3	F5#4	343	344	1	16	263	95	96		3.285714
42	9	Sol5	G5	349	349	1	16	263	99	96	de	3.357143
43	9	Mi5	E5	336	336	1	8	526	99	96		3.500000
44	9	Re5	D5	327	327	1	16	263	95	96		3.571429
45	9	Re5	D5	327	327	1	16	263	99	96	ve	3.642857
46	9	La5	A5	358	358	1	16	263	95	96		3.714286
47	11	Sol5	G5	349	349	1	16	263	99	96	li  	3.785714
48	10	Fa5#3	F5#4	343	344	1	16	263	99	96		3.857143
49	8	La5	A5	358	358	0	0	0	99	96		3.857143
50	9	Sol5	G5	349	349	1	8	526	95	96		4.000000
51	9	Fa5#3	F5#4	343	344	1	16	263	99	96	De	4.071429
52	9	La5	A5	358	358	1	32	132	99	96		4.107143
53	9	Sol5	G5	349	349	1	32	132	95	96		4.142857
54	9	La5	A5	358	358	1	16	263	99	72	ve	4.214286
55	9	Fa5#3	F5#4	343	344	1	16	263	95	76		4.285714
56	9	Sol5	G5	349	349	1	16	263	99	80	si	4.357143
57	9	Mi5	E5	336	336	1	16	263	95	83		4.428571
58	9	Mi5	E5	336	336	1	16	263	99	87	nin 	4.500000
59	9	Re5	D5	327	327	1	16	263	95	91		4.571429
60	9	Re5	D5	327	327	1	16	263	99	95	boy	4.642857
61	9	Sol5	G5	349	349	1	16	263	95	99		4.714286
62	9	Sol5	G5	349	349	1	16	263	99	103	nu 	4.785714
63	9	Mi5	E5	336	336	1	8	526	99	106		4.928571
64	9	Re5	D5	327	327	1	16	263	95	110		5.000000
65	23	Re5	D5	327	327	1	8	526	95	114	al	5.142857
66	9	Mi5	E5	336	336	1	16	263	99	96	tun 	5.214286
67	9	Do5	C5	318	318	1	16	263	95	96		5.285714
68	9	Re5	D5	327	327	1	16	263	99	96	lâ	5.357143
69	9	Si4b2	B4b1	312	313	1	16	263	99	96		5.428571
70	8	Re5	D5	327	327	0	0	0	99	96		5.428571
71	9	Do5	C5	318	318	1	8	526	95	96		5.571429
72	9	Re5	D5	327	327	1	8	526	95	96	le	5.714286
73	9	Mi5	E5	336	336	1	16	263	99	96	li  	5.785714
74	9	Do5	C5	318	318	1	16	263	99	96		5.857143
75	8	Mi5	E5	336	336	0	0	0	99	96		5.857143
76	9	Re5	D5	327	327	1	8	526	95	96		6.000000
77	23	Re5	D5	327	327	1	8	526	95	96	De	6.142857
78	9	Mi5	E5	336	336	1	16	263	99	96	ve	6.214286
79	9	Do5	C5	318	318	1	16	263	95	96		6.285714
80	9	Do5	C5	318	318	1	16	263	99	96	si	6.357143
81	9	Si4b2	B4b1	312	313	1	16	263	95	96		6.428571
82	9	Si4b2	B4b1	312	313	1	16	263	99	96	nin 	6.500000
83	9	La4	A4	305	305	1	16	263	95	96		6.571429
84	9	La4	A4	305	305	1	16	263	99	96	boy	6.642857
85	9	Re5	D5	327	327	1	16	263	95	96		6.714286
86	9	Do5	C5	318	318	1	16	263	99	96	nu 	6.785714
87	9	Si4b2	B4b1	312	313	1	16	263	99	96		6.857143
88	9	Do5	C5	318	318	1	16	263	99	96		6.928571
89	9	Si4b2	B4b1	312	313	1	16	263	95	96		7.000000
90	9	La4	A4	305	305	1	16	263	99	96	al	7.071429
91	9	Si4b2	B4b1	312	313	1	16	263	95	96		7.142857
92	9	Do5	C5	318	318	1	16	263	99	96	tun 	7.214286
93	9	Re5	D5	327	327	1	16	263	95	96		7.285714
94	9	Do5	C5	318	318	1	16	263	99	96	lâ	7.357143
95	9	Si4b2	B4b1	312	313	1	8	526	99	96		7.500000
96	9	La4	A4	305	305	1	16	263	95	96		7.571429
97	9	Do5	C5	318	318	1	16	263	99	96	le	7.642857
98	9	Si4b2	B4b1	312	313	1	16	263	95	96		7.714286
99	9	La4	A4	305	305	1	4	1053	95	96	li  	8.000000
100	9	Es	Es	-1	-1	1	8	526	100	0		8.142858
101	8	Sol5	G5	349	349	0	0	0	95	96		8.142858
102	9	Fa5#3	F5#4	343	344	1	16	263	95	96	Kız 	8.214286
103	9	Sol5	G5	349	349	1	16	263	95	96	ge	8.285714
104	9	La5	A5	358	358	1	8	526	95	96	lin_	8.428572
105	9	La5	A5	358	358	1	8	526	95	96	o	8.571428
106	9	La5	A5	358	358	1	16	263	99	96	la	8.642858
107	9	Do6	C6	371	371	1	16	263	95	96		8.714286
108	9	Si5b2	B5b1	365	366	1	16	263	99	72	lı 	8.785714
