Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Es	Es	-1	-1	1	4	769	100	0		0.250000
2	9	Sol4	G4	296	296	1	8	385	95	96	Al	0.375000
3	9	La4	A4	305	305	1	8	385	95	96	lah 	0.500000
4	9	La4	A4	305	305	1	4	769	95	96	em	0.750000
5	9	La4	A4	305	305	3	16	577	99	96	rin 	0.937500
6	9	Sol4	G4	296	296	1	16	192	95	96		1.000000
7	9	La4	A4	305	305	3	16	577	99	96	tu	1.187500
8	9	Sol4	G4	296	296	1	16	192	95	96		1.250000
9	9	La4	A4	305	305	1	8	385	99	96	ta	1.375000
10	9	Si4b2	B4b1	312	313	1	8	385	95	96		1.500000
11	9	Do5	C5	318	318	1	8	385	99	96	lım  	1.625000
12	9	Re5	D5	327	327	1	8	385	99	96		1.750000
13	9	Do5	C5	318	318	1	8	385	99	96		1.875000
14	9	Si4b2	B4b1	312	313	1	16	192	99	96		1.937500
15	9	La4	A4	305	305	1	16	192	99	96		2.000000
16	9	Re5	D5	327	327	1	4	769	95	96		2.250000
17	9	Re5	D5	327	327	1	8	385	95	96	Rah	2.375000
18	9	Re5	D5	327	327	1	8	385	95	96	me	2.500000
19	9	Do5	C5	318	318	3	16	577	99	96	ti	2.687500
20	9	Si4b2	B4b1	312	313	1	16	192	95	96		2.750000
21	9	La4	A4	305	305	1	4	769	95	96	ne 	3.000000
22	9	Si4b2	B4b1	312	313	1	16	192	99	96	ba	3.062500
23	9	La4	A4	305	305	1	16	192	99	96		3.125000
24	9	Si4b2	B4b1	312	313	1	16	192	99	96		3.187500
25	9	Re5	D5	327	327	1	16	192	95	96		3.250000
26	9	Do5	C5	318	318	1	8	385	99	96	ta	3.375000
27	9	Si4b2	B4b1	312	313	1	16	192	99	96		3.437500
28	9	La4	A4	305	305	1	16	192	95	96		3.500000
29	9	La4	A4	305	305	1	4	769	99	96	lım  	3.750000
30	9	Do5	C5	318	318	1	8	385	99	96		3.875000
31	9	Si4b2	B4b1	312	313	1	16	192	99	96		3.937500
32	9	La4	A4	305	305	1	16	192	99	96		4.000000
