Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	6	8	0	10	0	Yürüksemâî	0.0
2	9	La4	A4	305	305	3	8	1500	95	96		0.5
3	9	Do5	C5	318	318	1	16	250	95	96		0.583333333333
4	9	Re5	D5	327	327	1	16	250	95	96		0.666666666667
5	9	Mi5	E5	336	336	1	4	1000	95	96		1.0
6	9	Re5	D5	327	327	1	8	500	95	96		1.16666666667
7	9	Re5	D5	327	327	1	8	500	95	96		1.33333333333
8	9	Mi5	E5	336	336	1	8	500	95	96		1.5
9	9	Mi5	E5	336	336	1	8	500	95	96		1.66666666667
10	9	Mi5	E5	336	336	3	16	750	95	96		1.91666666667
11	9	Re5	D5	327	327	1	16	250	95	96		2.0
12	9	Mi5	E5	336	336	1	8	500	95	96		2.16666666667
13	9	Fa5	F5	340	340	1	8	500	95	96		2.33333333333
14	9	Sol5	G5	349	349	1	8	500	95	96		2.5
15	9	Mi5	E5	336	336	1	8	500	95	96		2.66666666667
16	9	Mi5	E5	336	336	3	16	750	95	96		2.91666666667
17	9	Re5	D5	327	327	1	16	250	95	96		3.0
18	9	Re5	D5	327	327	3	16	750	95	96		3.25
19	9	Do5	C5	318	318	1	16	250	95	96		3.33333333333
20	9	Mi5	E5	336	336	1	16	250	95	96		3.41666666667
21	9	Fa5	F5	340	340	1	16	250	95	96		3.5
22	9	Mi5	E5	336	336	1	16	250	95	96		3.58333333333
23	9	Re5	D5	327	327	1	16	250	95	96		3.66666666667
24	9	Re5	D5	327	327	1	16	250	95	96		3.75
25	9	Do5	C5	318	318	1	16	250	95	96		3.83333333333
26	9	Si4b1	B4b1	313	313	1	32	125	95	96		3.875
27	9	La4	A4	305	305	1	32	125	95	96		3.91666666667
28	9	Si4b1	B4b1	313	313	1	16	250	95	96		4.0
29	9	Do5	C5	318	318	1	4	1000	95	96		4.33333333333
30	9	Re5	D5	327	327	1	8	500	95	96		4.5
31	9	Re5	D5	327	327	1	32	125	95	96		4.54166666667
32	9	Do5	C5	318	318	1	32	125	95	96		4.58333333333
33	9	Si4b1	B4b1	313	313	1	32	125	95	96		4.625
34	9	La4	A4	305	305	1	32	125	95	96		4.66666666667
35	9	Si4b1	B4b1	313	313	1	8	500	95	96		4.83333333333
36	9	Es	Es	-1	-1	1	8	500	100	0		5.0
37	9	Sol4	G4	296	296	1	8	500	95	96		5.16666666667
38	9	Mi5	E5	336	336	1	16	250	95	96		5.25
39	9	Fa5	F5	340	340	1	16	250	95	96		5.33333333333
40	9	Mi5	E5	336	336	1	16	250	95	96		5.41666666667
41	9	Re5	D5	327	327	1	16	250	95	96		5.5
42	9	Re5	D5	327	327	1	16	250	95	96		5.58333333333
43	9	Do5	C5	318	318	1	16	250	95	96		5.66666666667
44	9	Re5	D5	327	327	1	4	1000	95	96		6.0
45	9	Do5	C5	318	318	1	8	500	95	96		6.16666666667
46	9	Re5	D5	327	327	1	8	500	95	96		6.33333333333
47	9	Mi5	E5	336	336	1	16	250	95	96		6.41666666667
48	9	Fa5	F5	340	340	1	16	250	95	96		6.5
49	9	Mi5	E5	336	336	1	16	250	95	96		6.58333333333
50	9	Re5	D5	327	327	1	16	250	95	96		6.66666666667
51	9	Re5	D5	327	327	1	4	1000	95	96		7.0
52	9	Do5	C5	318	318	1	8	500	95	96		7.16666666667
53	9	Re5	D5	327	327	1	8	500	95	96		7.33333333333
54	9	Mi5	E5	336	336	1	16	250	95	96		7.41666666667
55	9	Fa5	F5	340	340	1	16	250	95	96		7.5
56	9	Mi5	E5	336	336	1	16	250	95	96		7.58333333333
57	9	Re5	D5	327	327	1	16	250	95	96		7.66666666667
58	9	Re5	D5	327	327	1	16	250	95	96		7.75
59	9	Do5	C5	318	318	1	16	250	95	96		7.83333333333
60	9	Si4b1	B4b1	313	313	1	32	125	95	96		7.875
61	9	La4	A4	305	305	1	32	125	95	96		7.91666666667
62	9	Si4b1	B4b1	313	313	1	16	250	95	96		8.0
63	9	Do5	C5	318	318	1	4	1000	95	96		8.33333333333
64	9	Re5	D5	327	327	1	8	500	95	96		8.5
65	9	Re5	D5	327	327	1	32	125	95	96		8.54166666667
66	9	Do5	C5	318	318	1	32	125	95	96		8.58333333333
67	9	Si4b1	B4b1	313	313	1	32	125	95	96		8.625
68	9	La4	A4	305	305	1	32	125	95	96		8.66666666667
69	9	Si4b1	B4b1	313	313	1	8	500	95	96		8.83333333333
70	9	Es	Es	-1	-1	1	8	500	100	0		9.0
71	9	Sol4	G4	296	296	1	8	500	95	96		9.16666666667
72	9	Sol4	G4	296	296	1	8	500	95	96		9.33333333333
73	9	La4	A4	305	305	1	8	500	95	96		9.5
74	9	Si4b1	B4b1	313	313	1	8	500	95	96		9.66666666667
75	9	Do5	C5	318	318	1	8	500	95	96		9.83333333333
76	9	Si4b1	B4b1	313	313	1	16	250	95	96		9.91666666667
77	9	La4	A4	305	305	1	16	250	95	96		10.0
78	9	La4	A4	305	305	1	8	500	95	96		10.1666666667
79	9	Sol4	G4	296	296	1	8	500	95	96		10.3333333333
80	9	Sol4	G4	296	296	1	16	250	95	96		10.4166666667
81	9	Fa5	F5	340	340	1	16	250	95	96		10.5
82	9	Mi5	E5	336	336	1	16	250	95	96		10.5833333333
83	9	Re5	D5	327	327	1	16	250	95	96		10.6666666667
84	9	Re5	D5	327	327	1	16	250	95	96		10.75
85	9	Do5	C5	318	318	1	16	250	95	96		10.8333333333
86	9	Do5	C5	318	318	1	16	250	95	96		10.9166666667
87	9	Si4b1	B4b1	313	313	1	16	250	95	96		11.0
88	9	La4	A4	305	305	1	8	500	95	96		11.1666666667
89	9	Si4b1	B4b1	313	313	1	8	500	95	96		11.3333333333
90	9	Re5	D5	327	327	1	8	500	95	96		11.5
91	9	Do5	C5	318	318	1	16	250	95	96		11.5833333333
92	9	Si4b1	B4b1	313	313	1	16	250	95	96		11.6666666667
93	9	Si4b1	B4b1	313	313	3	16	750	95	96		11.9166666667
94	9	La4	A4	305	305	1	16	250	95	96		12.0
95	9	La4	A4	305	305	1	2	2000	95	96		12.6666666667
96	9	Es	Es	-1	-1	1	4	1000	100	0		13.0
97	9	Fa4#4	F4#4	291	291	1	8	500	95	96		13.1666666667
98	9	Sol4	G4	296	296	1	8	500	95	96		13.3333333333
99	9	La4	A4	305	305	1	8	500	95	96		13.5
100	9	La4	A4	305	305	1	8	500	95	96		13.6666666667
101	9	La4	A4	305	305	1	4	1000	95	96		14.0
102	9	Si4b1	B4b1	313	313	1	16	250	99	96		14.0833333333
103	9	La4	A4	305	305	1	16	250	95	96		14.1666666667
104	9	Si4b1	B4b1	313	313	1	8	500	99	96		14.3333333333
105	9	Do5	C5	318	318	1	8	500	95	96		14.5
106	9	Si4b1	B4b1	313	313	1	16	250	99	96		14.5833333333
107	9	La4	A4	305	305	1	16	250	95	96		14.6666666667
108	9	La4	A4	305	305	1	4	1000	95	96		15.0
109	9	Sol4	G4	296	296	1	4	1000	95	96		15.3333333333
110	9	Mi5	E5	336	336	1	16	250	99	96		15.4166666667
111	9	Re5	D5	327	327	1	16	250	95	96		15.5
112	9	Re5	D5	327	327	1	16	250	99	96		15.5833333333
113	9	Do5	C5	318	318	1	16	250	95	96		15.6666666667
114	9	Do5	C5	318	318	1	16	250	99	96		15.75
115	9	Si4b1	B4b1	313	313	1	16	250	99	96		15.8333333333
116	9	La4	A4	305	305	1	16	250	99	96		15.9166666667
117	9	Si4b1	B4b1	313	313	1	16	250	95	96		16.0
118	9	Do5	C5	318	318	1	4	1000	99	96		16.3333333333
119	9	Re5	D5	327	327	1	8	500	95	96		16.5
120	9	Re5	D5	327	327	1	32	125	95	96		16.5416666667
121	9	Do5	C5	318	318	1	32	125	95	96		16.5833333333
122	9	Si4b1	B4b1	313	313	1	32	125	95	96		16.625
123	9	La4	A4	305	305	1	32	125	95	96		16.6666666667
124	9	Si4b1	B4b1	313	313	1	8	500	95	96		16.8333333333
125	9	Es	Es	-1	-1	1	8	500	100	0		17.0
126	9	Do5	C5	318	318	1	8	500	95	96		17.1666666667
127	9	Re5	D5	327	327	1	8	500	95	96		17.3333333333
128	9	Re5	D5	327	327	1	8	500	95	96		17.5
129	9	Re5	D5	327	327	1	16	250	99	96		17.5833333333
130	9	Do5	C5	318	318	1	16	250	95	96		17.6666666667
