Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	9			-1	-1	5	8	2273	100	0	
2	9	Sol4	G4	296	296	1	4	909	95	96	Reng_
3	9	Do5	C5	318	318	1	8	455	95	96	i 
4	9	Si4b2	B4b1	312	313	1	8	455	99	96	ruh
5	9	Do5	C5	318	318	1	16	227	99	96	
6	9	Si4b2	B4b1	312	313	1	16	227	99	96	
7	9	La4	A4	305	305	1	8	455	99	96	
8	9	Si4b2	B4b1	312	313	1	16	227	99	96	
9	9	La4	A4	305	305	1	16	227	95	96	
10	9	Sol4	G4	296	296	3	16	682	99	96	sâ
11	9	Si4b2	B4b1	312	313	1	16	227	99	96	
12	9	La4	A4	305	305	3	16	682	99	96	
13	9	Do5	C5	318	318	1	16	227	99	96	
14	9	Si4b2	B4b1	312	313	3	16	682	99	96	
15	9	Re5	D5	327	327	1	16	227	99	96	
16	9	Do5	C5	318	318	1	8	455	99	96	
17	9	Re5	D5	327	327	1	16	227	99	96	
18	9	Fa5	F5	340	340	1	16	227	99	96	
19	9	Mi5	E5	336	336	1	16	227	99	96	
20	9	Re5	D5	327	327	1	16	227	99	96	
21	9	Do5	C5	318	318	1	16	227	99	96	
22	9	Si4b2	B4b1	312	313	1	16	227	99	96	
23	9	La4	A4	305	305	1	8	455	95	96	
24	9	Si4b2	B4b1	312	313	1	16	227	99	96	rý
25	9	Do5	C5	318	318	1	16	227	99	96	
26	9	Re5	D5	327	327	1	8	455	95	96	
27	9	Mi5	E5	336	336	1	16	227	99	96	na 
28	9	Re5	D5	327	327	1	16	227	95	96	
29	9	Re5	D5	327	327	1	16	227	99	96	gül
30	9	Do5	C5	318	318	1	8	455	99	96	
31	9	Si4b2	B4b1	312	313	1	16	227	99	96	
32	9	Do5	C5	318	318	1	16	227	99	96	
33	9	Si4b2	B4b1	312	313	1	16	227	99	96	
34	9	Si4b2	B4b1	312	313	1	16	227	99	96	
35	9	La4	A4	305	305	1	16	227	95	96	
36	9	La4	A4	305	305	3	16	682	95	96	gûn 
37	9	Fa5	F5	340	340	1	16	227	95	96	SAZ 
38	9	Mi5	E5	336	336	1	16	227	95	96	.
39	9	Re5	D5	327	327	1	16	227	95	96	.
40	9	Do5	C5	318	318	1	16	227	95	96	.
41	9	Si4b2	B4b1	312	313	1	16	227	95	96	.
42	9	La4	A4	305	305	3	8	1364	95	96	.
43	9	Fa5	F5	340	340	1	4	909	99	96	de 
44	9	Mi5	E5	336	336	1	16	227	99	96	
45	9	Re5	D5	327	327	1	16	227	99	96	
46	9	Do5	C5	318	318	1	8	455	99	96	
47	9	Re5	D5	327	327	1	4	909	99	96	
48	9	Do5	C5	318	318	1	16	227	99	96	
49	9	Si4b2	B4b1	312	313	1	16	227	99	96	
50	9	La4	A4	305	305	1	8	455	95	96	
51	9	Mi5	E5	336	336	1	16	227	99	96	de
52	9	Fa5	F5	340	340	1	16	227	99	96	
53	7	Sol5	G5	349	349	1	8	455	95	96	
54	9	Fa5	F5	340	340	1	16	227	99	96	di
55	9	Mi5	E5	336	336	1	16	227	95	96	
56	9	Mi5	E5	336	336	1	16	227	99	96	ler  
57	9	Re5	D5	327	327	1	16	227	99	96	
58	9	Re5	D5	327	327	1	16	227	99	96	
59	9	Do5	C5	318	318	1	16	227	99	96	
60	9	Re5	D5	327	327	1	4	909	95	96	
61	9	Sol4	G4	296	296	1	16	227	95	96	SAZ 
62	9	La4	A4	305	305	1	16	227	95	96	.
63	9	Si4b2	B4b1	312	313	1	16	227	95	96	.
64	9	Do5	C5	318	318	1	16	227	95	96	.
65	9	Re5	D5	327	327	5	8	2273	95	96	.
66	9	Do5	C5	318	318	1	4	909	95	96	Þî
67	9	Re5	D5	327	327	1	8	455	95	96	ve 
68	9	Re5	D5	327	327	1	2	1818	95	96	i 
69	9	Mi5	E5	336	336	1	8	455	99	96	hüs
70	9	Re5	D5	327	327	1	16	227	99	96	
71	9	Mi5	E5	336	336	1	16	227	99	96	
72	9	Re5	D5	327	327	1	8	455	99	96	
73	9	Do5	C5	318	318	1	16	227	99	96	
74	9	Re5	D5	327	327	1	16	227	99	96	
75	9	Do5	C5	318	318	1	16	227	99	96	
76	9	Si4b2	B4b1	312	313	1	16	227	99	96	
77	9	La4	A4	305	305	1	16	227	99	96	
78	9	Si4b2	B4b1	312	313	1	16	227	99	96	
79	9	Re5	D5	327	327	1	8	455	99	96	
80	9	Do5	C5	318	318	1	4	909	99	96	
81	9	Si4b2	B4b1	312	313	2	8	910	95	96	
82	9	Re5	D5	327	327	1	16	227	99	96	nü
83	9	Mi5b3	E5b4	333	332	1	16	227	99	96	
84	9	Re5	D5	327	327	1	8	455	95	96	
85	9	Sol5	G5	349	349	1	8	455	95	96	ne 
86	9	Fa5#4	F5#4	344	344	1	16	227	99	96	ef
87	9	Mi5b3	E5b4	333	332	1	8	455	99	96	
88	9	Re5	D5	327	327	1	16	227	99	96	
89	9	Fa5#4	F5#4	344	344	1	16	227	99	96	
90	9	Mi5b3	E5b4	333	332	1	16	227	99	96	
91	9	Mi5b3	E5b4	333	332	1	16	227	99	96	
92	9	Re5	D5	327	327	1	16	227	95	96	
93	9	Re5	D5	327	327	1	4	909	99	96	zûn 
94	9	Re5	D5	327	327	1	8	455	99	96	
95	9	Re5	D5	327	327	1	16	227	99	96	
96	9	Mi5	E5	336	336	1	16	227	99	96	
97	9	Re5	D5	327	327	1	16	227	99	96	
98	9	Do5	C5	318	318	1	16	227	99	96	
99	9	Si4b2	B4b1	312	313	1	16	227	99	96	
100	9	La4	A4	305	305	1	16	227	99	96	
101	9	Sol4	G4	296	296	1	8	455	95	96	
102	9	Do5	C5	318	318	1	4	909	99	96	de 
103	9	Si4b2	B4b1	312	313	1	16	227	99	96	
104	9	La4	A4	305	305	1	16	227	99	96	
105	9	Sol4	G4	296	296	1	8	455	99	96	
106	9	Si4b2	B4b1	312	313	1	4	909	99	96	
107	9	La4	A4	305	305	1	16	227	99	96	
108	9	Sol4	G4	296	296	1	16	227	99	96	
109	9	Fa4#3	F4#4	290	291	1	8	455	95	96	
110	9	La4	A4	305	305	1	16	227	99	96	de
111	9	Si4b2	B4b1	312	313	1	16	227	99	96	
112	9	Do5	C5	318	318	1	16	227	99	96	
113	9	Re5	D5	327	327	1	16	227	95	96	
114	9	Si4b2	B4b1	312	313	1	16	227	99	96	di
115	9	La4	A4	305	305	1	16	227	95	96	
116	9	La4	A4	305	305	3	8	1364	95	96	ler  
117	9	Mi5	E5	336	336	1	16	227	95	96	SAZ 
118	9	Fa5	F5	340	340	1	16	227	95	96	.
119	9	Mi5	E5	336	336	1	16	227	95	96	.
120	9	Re5	D5	327	327	1	16	227	95	96	.
121	9	Re5	D5	327	327	1	16	227	95	96	.
122	9	Do5	C5	318	318	1	16	227	95	96	.
123	9	Re5	D5	327	327	5	8	2273	95	96	.
124	9	Do5	C5	318	318	1	4	909	95	96	Þî
125	9	Re5	D5	327	327	1	8	455	95	96	ve 
126	9	Re5	D5	327	327	1	2	1818	95	96	i 
127	9	Mi5	E5	336	336	1	8	455	99	96	hüs
128	9	Re5	D5	327	327	1	16	227	99	96	
129	9	Mi5	E5	336	336	1	16	227	99	96	
130	9	Re5	D5	327	327	1	8	455	99	96	
131	9	Do5	C5	318	318	1	16	227	99	96	
132	9	Re5	D5	327	327	1	16	227	99	96	
133	9	Do5	C5	318	318	1	16	227	99	96	
134	9	Si4b2	B4b1	312	313	1	16	227	99	96	
135	9	La4	A4	305	305	1	16	227	99	96	
136	9	Si4b2	B4b1	312	313	1	16	227	99	96	
137	9	Re5	D5	327	327	1	8	455	99	96	
138	9	Do5	C5	318	318	1	4	909	99	96	
139	9	Si4b2	B4b1	312	313	2	8	910	95	96	
140	9	Re5	D5	327	327	1	16	227	99	96	nü
141	9	Mi5b3	E5b4	333	332	1	16	227	99	96	
142	9	Re5	D5	327	327	1	8	455	95	96	
143	9	Sol5	G5	349	349	1	8	455	95	96	ne 
144	9	Fa5#4	F5#4	344	344	1	16	227	99	96	ef
145	9	Mi5b3	E5b4	333	332	1	8	455	99	96	
146	9	Re5	D5	327	327	1	16	227	99	96	
147	9	Fa5#4	F5#4	344	344	1	16	227	99	96	
148	9	Mi5b3	E5b4	333	332	1	16	227	99	96	
149	9	Mi5b3	E5b4	333	332	1	16	227	99	96	
150	9	Re5	D5	327	327	1	16	227	95	96	
151	9	Re5	D5	327	327	1	4	909	99	96	zûn 
152	9	Re5	D5	327	327	1	8	455	99	96	
