Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	8	8	0	17	0	Düyek	0.0
2	9	Es	Es	-1	-1	1	8	417	100	0	ARANAĞME	0.125
3	9	Do5	C5	318	318	1	8	417	95	96		0.25
4	9	Si4b2	B4b1	312	313	1	8	417	95	96		0.375
5	9	La4	A4	305	305	1	8	417	95	96	.	0.5
6	9	Sol4	G4	296	296	1	8	417	95	96	.	0.625
7	9	Fa4#4	F4#4	291	291	1	8	417	95	96	.	0.75
8	9	Mi4	E4	283	283	1	8	417	95	96	.	0.875
9	9	Re4	D4	274	274	1	8	417	95	96	.	1.0
10	9	Mi4	E4	283	283	1	8	417	95	96	.	1.125
11	9	Sol4	G4	296	296	1	8	417	95	96	.	1.25
12	9	Fa4#4	F4#4	291	291	1	8	417	95	96	.	1.375
13	9	La4	A4	305	305	1	8	417	95	96	.	1.5
14	9	Sol4	G4	296	296	1	8	417	95	96	.	1.625
15	9	Si4b2	B4b1	312	313	1	8	417	95	96	.	1.75
16	9	La4	A4	305	305	1	8	417	95	96	.	1.875
17	9	Do5	C5	318	318	1	8	417	95	96	.	2.0
18	9	Si4b2	B4b1	312	313	1	8	417	95	96	.	2.125
19	9	Fa5	F5	340	340	1	8	417	95	96	.	2.25
20	9	Mi5	E5	336	336	1	8	417	95	96	.	2.375
21	9	Re5	D5	327	327	1	8	417	95	96	.	2.5
22	9	Do5	C5	318	318	1	8	417	95	96	.	2.625
23	9	Si4b2	B4b1	312	313	1	8	417	95	96	.	2.75
24	9	La4	A4	305	305	1	8	417	95	96	.	2.875
25	9	Sol4	G4	296	296	1	8	417	95	96	.	3.0
26	9	Re5	D5	327	327	1	1	3333	95	96	.	4.0
27	9	Es	Es	-1	-1	1	8	417	100	0	.	4.125
28	9	Fa5#4	F5#4	344	344	1	16	208	95	96	.	4.1875
29	9	Mi5	E5	336	336	1	16	208	95	96	.	4.25
30	9	Fa5#4	F5#4	344	344	1	8	417	95	96	.	4.375
31	9	Sol5	G5	349	349	1	8	417	95	96	.	4.5
32	9	Es	Es	-1	-1	1	8	417	100	0	.	4.625
33	9	Mi5	E5	336	336	1	16	208	95	96	.	4.6875
34	9	Re5	D5	327	327	1	16	208	95	96	.	4.75
35	9	Mi5	E5	336	336	1	8	417	95	96	.	4.875
36	9	Fa5	F5	340	340	1	8	417	95	96	.	5.0
37	9	Re5	D5	327	327	1	8	417	95	96	.	5.125
38	9	Fa5	F5	340	340	1	8	417	95	96	.	5.25
39	9	Mi5	E5	336	336	1	8	417	95	96	.	5.375
40	9	Re5	D5	327	327	1	8	417	95	96	.	5.5
41	9	Do5	C5	318	318	1	8	417	95	96	.	5.625
42	9	Si4b2	B4b1	312	313	1	8	417	95	96	.	5.75
43	9	La4	A4	305	305	1	8	417	95	96	.	5.875
44	9	Sol4	G4	296	296	1	8	417	95	96	.	6.0
45	9	Es	Es	-1	-1	1	8	417	100	0	.	6.125
46	9	Do5	C5	318	318	1	8	417	95	96	.	6.25
47	9	Si4b2	B4b1	312	313	1	8	417	95	96	.	6.375
48	9	Re5	D5	327	327	1	8	417	95	96	.	6.5
49	9	Do5	C5	318	318	1	8	417	95	96	.	6.625
