Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	9	8	0	20	0	Aksak	0.0
2	9	Re5	D5	327	327	1	8	270	95	96	Kı	0.111111111111
3	9	Mi5	E5	336	336	1	8	270	95	96	zıl	0.222222222222
4	9	Mi5	E5	336	336	1	8	270	95	96	cık	0.333333333333
5	9	Mi5	E5	336	336	1	8	270	95	96	lar_	0.444444444444
6	9	Mi5	E5	336	336	3	16	405	99	96	ol	0.611111111111
7	9	Re5	D5	327	327	1	16	135	95	96		0.666666666667
8	12	Re5	D5	327	327	1	4	541	95	96	du 	0.888888888889
9	9	Do5	C5	318	318	1	8	270	95	96	mu  	1.0
10	9	Re5	D5	327	327	1	8	270	95	96	Se	1.11111111111
11	9	Mi5	E5	336	336	1	8	270	95	96	le	1.22222222222
12	9	Mi5	E5	336	336	1	8	270	95	96	le	1.33333333333
13	9	Mi5	E5	336	336	1	8	270	95	96	re 	1.44444444444
14	9	Mi5	E5	336	336	3	16	405	99	96	dol	1.61111111111
15	9	Re5	D5	327	327	1	16	135	95	96		1.66666666667
16	9	Re5	D5	327	327	1	8	270	99	96	du 	1.77777777778
17	9	Do5	C5	318	318	1	8	270	99	96		1.88888888889
18	9	Mi5	E5	336	336	1	8	270	95	96		2.0
19	9	Re5	D5	327	327	1	1	2164	95	96	mu  	2.88888888889
20	9	Es	Es	-1	-1	1	8	270	100	0		3.0
21	9	Re5	D5	327	327	1	8	270	95	96	Yol	3.11111111111
22	9	Mi5	E5	336	336	1	8	270	95	96	la	3.22222222222
23	9	Mi5	E5	336	336	1	8	270	95	96	dı	3.33333333333
24	9	Mi5	E5	336	336	1	8	270	95	96	ğım 	3.44444444444
25	9	Mi5	E5	336	336	3	16	405	99	96	ço	3.61111111111
26	9	Re5	D5	327	327	1	16	135	95	96		3.66666666667
27	12	Re5	D5	327	327	1	4	541	95	96	rap	3.88888888889
28	9	Do5	C5	318	318	1	8	270	95	96	lar_  	4.0
29	10	Mi5	E5	336	336	1	8	270	95	96	A	4.11111111111
30	8	Fa5	F5	340	340	0	0	0	95	96		4.11111111111
31	9	Mi5	E5	336	336	1	16	135	99	96	ya	4.16666666667
32	9	Re5	D5	327	327	1	16	135	95	96		4.22222222222
33	9	Re5	D5	327	327	1	8	270	95	96	ğı	4.33333333333
34	9	Re5	D5	327	327	1	8	270	95	96	na 	4.44444444444
35	9	Re5	D5	327	327	1	4	541	95	96	ol	4.66666666667
36	9	Re5	D5	327	327	1	4	541	95	96	du 	4.88888888889
37	9	Mi5	E5	336	336	1	8	270	95	96	mu  	5.0
38	9	Do5	C5	318	318	3	16	405	99	96	Men	5.16666666667
39	9	Re5	D5	327	327	1	16	135	95	96		5.22222222222
40	9	Re5	D5	327	327	1	8	270	95	96	di	5.33333333333
41	9	Do5	C5	318	318	1	8	270	95	96	li 	5.44444444444
42	9	Si4b2	B4b1	312	313	1	8	270	95	96	ge	5.55555555556
43	9	La4	A4	305	305	1	8	270	95	96	li	5.66666666667
44	9	La4	A4	305	305	1	4	541	99	96	ne  	5.88888888889
45	9	Si4b2	B4b1	312	313	1	8	270	95	96		6.0
46	9	Do5	C5	318	318	1	8	270	95	96	Men	6.11111111111
47	9	Re5	D5	327	327	1	8	270	95	96	dil 	6.22222222222
48	9	Re5	D5	327	327	1	8	270	95	96	ver	6.33333333333
49	9	Do5	C5	318	318	1	8	270	95	96	dim_	6.44444444444
50	9	Si4b2	B4b1	312	313	1	8	270	95	96	e	6.55555555556
51	9	La4	A4	305	305	1	8	270	95	96	li	6.66666666667
52	9	La4	A4	305	305	3	8	811	95	96	ne  	7.0
53	9	Do5	C5	318	318	1	8	270	95	96	Ka	7.11111111111
54	9	Re5	D5	327	327	1	8	270	95	96	ra 	7.22222222222
55	9	Re5	D5	327	327	1	8	270	95	96	kı	7.33333333333
56	9	Re5	D5	327	327	1	8	270	95	96	na 	7.44444444444
57	9	Re5	D5	327	327	1	8	270	99	96	yol	7.55555555556
58	9	Mi5	E5	336	336	1	8	270	95	96		7.66666666667
59	12	Do5	C5	318	318	1	4	541	95	96	la	7.88888888889
60	9	Si4b2	B4b1	312	313	1	8	270	95	96	mış  	8.0
61	9	La4	A4	305	305	1	8	270	95	96	Yâr 	8.11111111111
62	9	Si4b2	B4b1	312	313	1	8	270	95	96	be	8.22222222222
63	9	Do5	C5	318	318	1	8	270	95	96	nim_	8.33333333333
64	9	Re5	D5	327	327	1	8	270	95	96	el	8.44444444444
65	12	Re5	D5	327	327	1	4	541	95	96	le	8.66666666667
66	9	Do5	C5	318	318	1	16	135	99	96	ri	8.72222222222
67	9	Re5	D5	327	327	1	16	135	99	96		8.77777777778
68	9	Si4b2	B4b1	312	313	3	16	405	99	96		8.94444444444
69	9	La4	A4	305	305	1	16	135	95	96		9.0
70	9	La4	A4	305	305	1	1	2164	95	96	me  	9.88888888889
71	9	Es	Es	-1	-1	1	8	270	100	0		10.0
72	9	Do5	C5	318	318	3	16	405	99	96	Men	10.1666666667
73	9	Re5	D5	327	327	1	16	135	95	96		10.2222222222
74	9	Re5	D5	327	327	1	8	270	95	96	di	10.3333333333
75	9	Do5	C5	318	318	1	8	270	95	96	li 	10.4444444444
76	9	Si4b2	B4b1	312	313	1	8	270	95	96	ge	10.5555555556
77	9	La4	A4	305	305	1	8	270	95	96	li	10.6666666667
78	9	La4	A4	305	305	1	4	541	99	96	ne  	10.8888888889
79	9	Si4b2	B4b1	312	313	1	8	270	95	96		11.0
80	9	Do5	C5	318	318	1	8	270	95	96	Men	11.1111111111
81	9	Re5	D5	327	327	1	8	270	95	96	dil 	11.2222222222
82	9	Re5	D5	327	327	1	8	270	95	96	ver	11.3333333333
83	9	Do5	C5	318	318	1	8	270	95	96	dim_	11.4444444444
84	9	Si4b2	B4b1	312	313	1	8	270	95	96	e	11.5555555556
85	9	La4	A4	305	305	1	8	270	95	96	li	11.6666666667
86	9	La4	A4	305	305	3	8	811	95	96	ne  	12.0
87	9	Do5	C5	318	318	1	8	270	95	96	Ka	12.1111111111
88	9	Re5	D5	327	327	1	8	270	95	96	ra 	12.2222222222
89	9	Re5	D5	327	327	1	8	270	95	96	kı	12.3333333333
90	9	Re5	D5	327	327	1	8	270	95	96	na 	12.4444444444
91	9	Re5	D5	327	327	1	8	270	99	96	yol	12.5555555556
92	9	Mi5	E5	336	336	1	8	270	95	96		12.6666666667
93	12	Do5	C5	318	318	1	4	541	95	96	la	12.8888888889
94	9	Si4b2	B4b1	312	313	1	8	270	95	96	mış  	13.0
95	9	La4	A4	305	305	1	8	270	95	96	Yâr 	13.1111111111
96	9	Si4b2	B4b1	312	313	1	8	270	95	96	be	13.2222222222
97	9	Do5	C5	318	318	1	8	270	95	96	nim_	13.3333333333
