Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	1	16	156	95	96	ARANAĞME	0.125
2	9	La4	A4	305	305	1	8	312	95	96	.	0.375
3	9	Fa5	F5	340	340	1	16	156	95	96	.	0.5
4	9	Mi5	E5	336	336	1	16	156	95	96	.	0.625
5	9	Re5	D5	327	327	1	16	156	95	96	.	0.75
6	9	Mi5	E5	336	336	1	8	312	95	96	.	1.0
7	9	Si4b2	B4b1	312	313	1	16	156	95	96	.	1.125
8	9	Do5	C5	318	318	1	8	312	95	96	.	1.375
9	9	Re5	D5	327	327	1	16	156	95	96	.	1.5
10	9	Do5	C5	318	318	1	16	156	95	96	.	1.625
11	9	Si4b2	B4b1	312	313	1	16	156	95	96	.	1.75
12	9	La4	A4	305	305	1	8	312	95	96	.	2.0
13	9	Sol4	G4	296	296	1	16	156	95	96	.	2.125
14	9	La4	A4	305	305	1	8	312	95	96	.	2.375
15	9	Fa5	F5	340	340	1	16	156	95	96	.	2.5
16	9	Mi5	E5	336	336	1	16	156	95	96	.	2.625
17	9	Re5	D5	327	327	1	16	156	95	96	.	2.75
18	9	Mi5	E5	336	336	1	8	312	95	96	.	3.0
19	9	Si4b2	B4b1	312	313	1	16	156	95	96	.	3.125
20	9	Do5	C5	318	318	1	8	312	95	96	.	3.375
21	9	Re5	D5	327	327	1	16	156	95	96	.	3.5
22	9	Do5	C5	318	318	1	16	156	95	96	.	3.625
23	9	Si4b2	B4b1	312	313	1	16	156	95	96	.	3.75
24	9	La4	A4	305	305	1	8	312	95	96	.	4.0
25	9	Fa4#3	F4#4	290	291	1	8	312	95	96	.	4.25
26	9	Sol4	G4	296	296	1	8	312	95	96	.	4.5
27	9	La4	A4	305	305	1	8	312	95	96	.	4.75
28	9	Si4b2	B4b1	312	313	1	8	312	95	96	.	5.0
29	9	Do5	C5	318	318	1	16	156	95	96	.	5.125
30	9	Si4b2	B4b1	312	313	1	16	156	95	96	.	5.25
31	9	Do5	C5	318	318	1	16	156	95	96	.	5.375
32	9	Re5	D5	327	327	1	16	156	95	96	.	5.5
33	9	Do5	C5	318	318	1	16	156	95	96	.	5.625
34	9	Si4b2	B4b1	312	313	1	16	156	95	96	.	5.75
35	9	Si4b2	B4b1	312	313	1	16	156	95	96	.	5.875
36	9	La4	A4	305	305	1	16	156	95	96	.	6.0
37	10	La4	A4	305	305	1	8	312	95	96	.	6.25
38	8	Do5	C5	318	318	0	0	0	95	96	.	6.25
39	9	Si4b2	B4b1	312	313	1	16	156	95	96	.	6.375
40	9	La4	A4	305	305	1	16	156	95	96	.	6.5
41	9	Sol4	G4	296	296	1	8	312	95	96	.	6.75
