Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La4	A4	305	305	1	4	909	95	84	Yâr 	0.00833333333333
2	9	Re5	D5	327	327	1	4	909	95	96	gö	0.0166666666667
3	9	Es	Es	-1	-1	1	8	455	100	0		0.0208333333333
4	9	Do5	C5	318	318	1	16	227	99	96	nül 	0.0229166666667
5	9	Re5	D5	327	327	1	16	227	99	96		0.025
6	9	Do5	C5	318	318	1	8	455	99	96		0.0291666666667
7	9	Si4b2	B4b1	312	313	1	8	455	99	96		0.0333333333333
8	9	La4	A4	305	305	3	32	341	99	96		0.0364583333333
9	9	Do5	C5	318	318	1	32	114	99	96		0.0375
10	9	Si4b2	B4b1	312	313	1	16	227	99	96		0.0395833333333
11	9	La4	A4	305	305	1	16	227	99	96		0.0416666666667
12	9	Sol4	G4	296	296	1	4	909	95	66		0.05
13	9	Es	Es	-1	-1	1	8	455	100	87		0.0541666666667
14	9	Sol5	G5	349	349	1	8	455	99	66	nül 	0.0583333333333
15	9	Fa5	F5	340	340	1	8	455	95	72		0.0625
16	9	Mi5	E5	336	336	1	8	455	95	78	ki 	0.0666666666667
17	10	Mi5	E5	336	336	1	8	455	99	84	a 	0.0708333333333
18	8	Fa5	F5	340	340	0	0	0	99	66		0.0708333333333
19	9	Mi5	E5	336	336	1	16	227	99	80		0.0729166666667
20	9	Re5	D5	327	327	1	16	227	99	66		0.075
21	9	Do5#3	C5#4	321	322	1	8	455	99	69		0.0791666666667
22	9	Re5	D5	327	327	1	8	455	99	72		0.0833333333333
23	9	Do5#3	C5#4	321	322	1	4	909	99	75		0.0916666666667
24	9	Re5	D5	327	327	1	4	909	95	78		0.1
25	9	Es	Es	-1	-1	1	8	455	100	81		0.104166666667
26	9	Do5	C5	318	318	1	16	227	99	84	a 	0.10625
27	9	Re5	D5	327	327	1	16	227	99	96		0.108333333333
28	9	Do5	C5	318	318	1	8	455	99	96		0.1125
29	9	Re5	D5	327	327	1	16	227	99	66		0.114583333333
30	9	Mi5	E5	336	336	1	16	227	99	76		0.116666666667
31	9	Re5	D5	327	327	1	8	455	99	87		0.120833333333
32	9	Mi5	E5	336	336	1	8	455	99	98		0.125
33	9	Mi5	E5	336	336	3	32	341	99	108		0.128125
34	9	Sol5	G5	349	349	1	32	114	99	96		0.129166666667
35	9	Fa5	F5	340	340	1	16	227	99	96		0.13125
36	9	Mi5	E5	336	336	1	16	227	99	96		0.133333333333
37	9	Mi5	E5	336	336	1	4	909	95	96		0.141666666667
38	9	Es	Es	-1	-1	1	4	909	100	0		0.15
39	9	Fa5#3	F5#4	343	344	3	16	682	99	108	aşk 	0.15625
40	9	Mi5	E5	336	336	1	16	227	95	66		0.158333333333
41	9	Fa5#3	F5#4	343	344	1	8	455	95	66	i	0.1625
42	9	Sol5	G5	349	349	1	8	455	95	72	le 	0.166666666667
43	9	Sol5	G5	349	349	1	16	227	99	78	pür 	0.16875
44	9	Fa5#3	F5#4	343	344	1	16	227	99	84		0.170833333333
45	9	Fa5#3	F5#4	343	344	1	16	227	99	90		0.172916666667
46	9	Mi5	E5	336	336	1	16	227	99	96		0.175
47	9	Fa5#3	F5#4	343	344	1	8	455	99	102		0.179166666667
48	9	Sol5	G5	349	349	1	8	455	99	96		0.183333333333
49	9	Fa5#3	F5#4	343	344	3	32	341	99	96		0.186458333333
50	9	La5	A5	358	358	1	32	114	99	96		0.1875
51	9	Sol5	G5	349	349	1	16	227	99	96		0.189583333333
52	9	Fa5#3	F5#4	343	344	1	16	227	99	96		0.191666666667
