Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	6	8	0	87	0	Yürüksemâî II	0.0
2	9	Si4	B4	314	314	1	16	250	99	96	Cevr_	0.0833333333333
3	9	Do5#4	C5#4	322	322	1	16	250	99	96		0.166666666667
4	9	Si4	B4	314	314	1	8	500	95	96		0.333333333333
5	9	Do5#4	C5#4	322	322	1	8	500	95	96	i 	0.5
6	9	Re5	D5	327	327	1	4	1000	95	96	pey	0.833333333333
7	9	Es	Es	-1	-1	1	8	500	100	0		1.0
8	9	Mi5	E5	336	336	1	8	500	99	96	der	1.16666666667
9	9	Re5	D5	327	327	1	8	500	99	96		1.33333333333
10	9	Mi5	E5	336	336	1	8	500	99	96		1.5
11	9	Re5	D5	327	327	1	8	500	99	96		1.66666666667
12	9	Do5	C5	318	318	1	8	500	99	96		1.83333333333
13	9	Si4b2	B4b1	312	313	1	8	500	95	96		2.0
14	9	Mi5	E5	336	336	1	8	500	99	96	pey	2.16666666667
15	9	Re5	D5	327	327	1	8	500	95	96		2.33333333333
16	9	Re5	D5	327	327	1	16	250	99	96	le 	2.41666666667
17	11	Do5	C5	318	318	1	16	250	95	96		2.5
18	9	Do5	C5	318	318	1	8	500	99	96	şim	2.66666666667
19	11	Si4b2	B4b1	312	313	1	8	500	99	96		2.83333333333
20	9	Si4b2	B4b1	312	313	1	16	250	99	96		2.91666666667
21	9	La4	A4	305	305	1	16	250	95	96		3.0
22	9	La4	A4	305	305	1	4	1000	99	96	di 	3.33333333333
23	9	Re5	D5	327	327	1	8	500	99	96		3.5
24	9	Do5#3	C5#4	321	322	1	8	500	99	96		3.66666666667
25	9	Re5	D5	327	327	1	4	1000	95	96		4.0
26	9	Re5	D5	327	327	1	4	1000	95	96	â	4.33333333333
27	9	Mi5	E5	336	336	1	8	500	95	96	şık_	4.5
28	9	Fa5#3	F5#4	343	344	1	4	1000	95	96	ı 	4.83333333333
29	9	Es	Es	-1	-1	1	8	500	100	0		5.0
30	9	Re5	D5	327	327	1	8	500	99	96	zâ	5.16666666667
31	9	Mi5	E5	336	336	1	8	500	99	96		5.33333333333
32	9	Fa5#3	F5#4	343	344	1	8	500	99	96		5.5
33	9	Sol5	G5	349	349	1	8	500	99	96		5.66666666667
34	11	La5	A5	358	358	1	8	500	99	96		5.83333333333
35	9	La5	A5	358	358	1	16	250	99	96		5.91666666667
36	9	Sol5	G5	349	349	1	16	250	95	96		6.0
37	9	Fa5#3	F5#4	343	344	1	4	1000	99	96	rın 	6.33333333333
38	9	Re5	D5	327	327	1	8	500	99	96		6.5
39	9	Mi5	E5	336	336	1	4	1000	95	96		6.83333333333
40	9	Mi5	E5	336	336	1	16	250	99	96	se	6.91666666667
