Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	28	4	0	60	0	Devr-i Kebîr	0.0
2	9	Re5	D5	327	327	1	2	1429	95	84	1. HANE	0.0714285714286
3	9	Re5	D5	327	327	1	4	714	95	96		0.107142857143
4	9	Do5	C5	318	318	1	8	357	95	96		0.125
5	9	Re5	D5	327	327	1	8	357	95	96		0.142857142857
6	9	Do5	C5	318	318	1	4	714	95	96		0.178571428571
7	9	Si4b2	B4b1	312	313	1	4	714	95	96		0.214285714286
8	9	La4	A4	305	305	1	8	357	95	96		0.232142857143
9	12	La4	A4	305	305	4	16	714	95	96		0.267857142857
10	9	Sol4	G4	296	296	1	8	357	95	66		0.285714285714
11	9	Si4b2	B4b1	312	313	1	4	714	95	69		0.321428571429
12	9	Do5	C5	318	318	1	4	714	95	72		0.357142857143
13	9	Re5	D5	327	327	1	2	1429	95	75		0.428571428571
14	9	Re5	D5	327	327	1	4	714	95	78		0.464285714286
15	9	Mi5	E5	336	336	1	8	357	95	96		0.482142857143
16	9	Fa5#3	F5#4	343	344	1	8	357	95	96		0.5
17	9	Sol5	G5	349	349	1	4	714	95	96		0.535714285714
18	9	La5	A5	358	358	1	4	714	95	96		0.571428571429
19	9	Sol5	G5	349	349	1	4	714	95	66		0.607142857143
20	9	Fa5#1	F5#1	341	341	1	8	357	95	70		0.625
21	9	Mi5	E5	336	336	1	8	357	95	74		0.642857142857
22	9	La5	A5	358	358	1	8	357	95	78		0.660714285714
23	9	Sol5	G5	349	349	1	8	357	95	96		0.678571428571
24	9	Fa5#1	F5#1	341	341	1	8	357	95	96		0.696428571429
25	9	Mi5	E5	336	336	1	8	357	95	66		0.714285714286
26	9	Re5	D5	327	327	1	2	1429	95	114		0.785714285714
27	9	Re5	D5	327	327	1	4	714	95	96		0.821428571429
28	9	Mi5	E5	336	336	1	16	179	95	102		0.830357142857
29	9	Re5	D5	327	327	1	16	179	95	96		0.839285714286
30	9	Mi5	E5	336	336	1	8	357	95	66		0.857142857143
31	9	Re5	D5	327	327	1	2	1429	95	114		0.928571428571
32	9	Re5	D5	327	327	1	4	714	95	96		0.964285714286
33	9	Es	Es	-1	-1	1	4	714	100	0		1.0
34	9	Re5	D5	327	327	3	16	536	95	96		1.02678571429
35	9	Do5	C5	318	318	1	16	179	95	96		1.03571428571
36	9	Si4b2	B4b1	312	313	1	8	357	95	96		1.05357142857
37	9	Do5	C5	318	318	1	8	357	95	96		1.07142857143
38	9	Si4b2	B4b1	312	313	1	4	714	95	96		1.10714285714
39	9	Do5	C5	318	318	1	4	714	95	96		1.14285714286
40	9	Re5	D5	327	327	1	4	714	95	96		1.17857142857
41	9	Re5	D5	327	327	1	8	357	95	66		1.19642857143
42	9	Re5	D5	327	327	1	8	357	95	73		1.21428571429
43	9	Re5	D5	327	327	1	4	714	95	80		1.25
44	9	Sol5	G5	349	349	1	4	714	95	86		1.28571428571
45	9	Fa5#3	F5#4	343	344	3	8	1071	95	93		1.33928571429
