Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol5	G5	349	349	1	4	1176	95	96	Gel 	0.142857
2	9	La5	A5	358	358	1	8	588	95	96	te	0.214286
3	9	Si5b5	B5b5	362	362	1	4	1176	99	96	ren	0.357143
4	11	Si5b5	B5b5	362	362	1	8	588	99	96		0.428571
5	9	Si5b5	B5b5	362	362	1	16	294	99	96		0.464286
6	9	La5	A5	358	358	1	16	294	95	96		0.500000
7	9	La5	A5	358	358	1	4	1176	99	96	nüm 	0.642857
8	9	Sol5	G5	349	349	1	16	294	99	96		0.678571
9	9	La5	A5	358	358	1	16	294	99	96		0.714286
10	9	La5	A5	358	358	1	16	294	99	96		0.750000
11	9	Si5b5	B5b5	362	362	1	16	294	99	96		0.785714
12	9	La5	A5	358	358	1	16	294	99	96		0.821429
13	9	Sol5	G5	349	349	1	16	294	99	96		0.857143
14	9	Fa5#3	F5#4	343	344	1	8	588	95	96		0.928571
15	9	Es	Es	-1	-1	1	8	588	100	0		1.000000
16	9	Re5	D5	327	327	1	8	588	99	96	ey	1.071429
17	9	Mi5b3	E5b4	333	332	1	8	588	95	96		1.142857
18	9	Fa5#3	F5#4	343	344	1	8	588	95	96	le 	1.214286
19	9	Sol5	G5	349	349	1	8	588	99	96	câ	1.285714
20	9	Sol5	G5	349	349	1	16	294	99	96		1.321429
21	9	Fa5#3	F5#4	343	344	1	16	294	99	96		1.357143
22	9	Fa5#3	F5#4	343	344	1	16	294	99	96		1.392857
23	9	Mi5b3	E5b4	333	332	1	16	294	99	96		1.428571
24	8	Fa5#3	F5#4	343	344	0	0	0	99	96		1.428571
25	9	Mi5b3	E5b4	333	332	1	16	294	99	96		1.464286
26	9	Re5	D5	327	327	1	16	294	95	96		1.500000
27	9	Re5	D5	327	327	1	8	588	99	96	nâ 	1.571429
28	9	Fa5#3	F5#4	343	344	1	8	588	99	96		1.642857
29	9	Mi5b3	E5b4	333	332	1	16	294	99	96		1.678571
30	9	Re5	D5	327	327	1	16	294	99	96		1.714286
31	9	Re5	D5	327	327	3	16	882	99	96		1.821429
32	9	Sol5	G5	349	349	1	16	294	99	96		1.857143
33	9	Fa5#3	F5#4	343	344	1	16	294	99	96		1.892857
34	9	La5	A5	358	358	1	16	294	99	96		1.928571
35	9	Sol5	G5	349	349	1	8	588	95	96		2.000000
36	9	Sol5	G5	349	349	1	4	1176	95	96	Zevk_	2.142857
37	9	Sol5	G5	349	349	1	8	588	95	96	i 	2.214286
38	9	La5	A5	358	358	1	16	294	99	96	Dil	2.250000
39	9	Sol5	G5	349	349	1	16	294	99	96		2.285714
40	9	Sol5	G5	349	349	1	16	294	99	96		2.321429
41	9	Fa5#3	F5#4	343	344	1	16	294	99	96		2.357143
42	9	Sol5	G5	349	349	1	4	1176	95	96		2.500000
43	9	La5	A5	358	358	1	8	588	99	96	den 	2.571429
44	9	Sol5	G5	349	349	1	8	588	99	96		2.642857
45	9	Fa5#3	F5#4	343	344	1	8	588	99	96		2.714286
46	9	Sol5	G5	349	349	1	16	294	99	96		2.750000
47	9	Fa5#3	F5#4	343	344	1	16	294	99	96		2.785714
48	9	Mi5b3	E5b4	333	332	1	16	294	99	96		2.821429
49	9	Fa5#3	F5#4	343	344	1	16	294	99	96		2.857143
50	9	Mi5b3	E5b4	333	332	1	8	588	99	96		2.928571
51	9	Re5	D5	327	327	1	8	588	50	96		3.000000
52	9	Re5	D5	327	327	1	16	294	99	96	nağ	3.035714
53	9	Mi5b3	E5b4	333	332	1	16	294	99	96		3.071429
54	9	Re5	D5	327	327	1	8	588	99	96		3.142857
55	9	Do5	C5	318	318	1	8	588	99	96		3.214286
56	9	Re5	D5	327	327	1	16	294	99	96		3.250000
57	9	Fa5#3	F5#4	343	344	1	16	294	99	96		3.285714
58	9	Mi5b3	E5b4	333	332	1	16	294	99	96		3.321429
59	9	Re5	D5	327	327	1	16	294	95	96		3.357143
60	9	Re5	D5	327	327	1	16	294	99	96	me	3.392857
61	9	Do5	C5	318	318	1	16	294	99	96		3.428571
62	8	Re5	D5	327	327	0	0	0	99	96		3.428571
63	9	Do5	C5	318	318	1	16	294	99	96		3.464286
64	9	Si4b2	B4b1	312	313	1	16	294	95	96		3.500000
65	9	Do5	C5	318	318	1	8	588	99	96	ler  	3.571429
66	9	Si4b2	B4b1	312	313	1	16	294	99	96		3.607143
67	9	Do5	C5	318	318	1	16	294	99	96		3.642857
68	9	Re5	D5	327	327	1	32	147	99	96		3.660714
69	9	Mi5b3	E5b4	333	332	1	32	147	99	96		3.678571
70	9	Re5	D5	327	327	1	32	147	99	96		3.696429
71	9	Do5	C5	318	318	1	32	147	99	96		3.714286
72	9	Do5	C5	318	318	3	8	1765	95	96		3.928571
73	9	Es	Es	-1	-1	1	8	588	100	0		4.000000
74	9	Re5	D5	327	327	1	4	1176	95	96	Tâ	4.142857
75	9	La5	A5	358	358	1	8	588	95	96	ze 	4.214286
76	9	Sol5	G5	349	349	1	8	588	99	96	tâ	4.285714
77	9	Fa5	F5	340	340	1	8	588	99	96		4.357143
78	9	Mi5	E5	336	336	1	8	588	99	96		4.428571
79	9	Re5	D5	327	327	1	8	588	95	96		4.500000
80	9	Re5	D5	327	327	1	16	294	99	96	ze 	4.535714
81	9	Mi5	E5	336	336	1	16	294	99	96		4.571429
82	9	Re5	D5	327	327	1	8	588	99	96		4.642857
83	9	Do5	C5	318	318	1	16	294	99	96		4.678571
84	9	Si4b1	B4b1	313	313	1	16	294	99	96		4.714286
85	9	Re5	D5	327	327	1	16	294	99	96		4.750000
86	9	Do5	C5	318	318	1	16	294	99	96		4.785714
87	9	Si4b1	B4b1	313	313	1	16	294	99	96		4.821429
88	9	La4#4	A4#4	309	309	1	16	294	99	96		4.857143
89	9	Si4b1	B4b1	313	313	1	8	588	95	96		4.928571
90	9	Es	Es	-1	-1	1	8	588	100	0		5.000000
91	9	La4	A4	305	305	1	16	294	99	96	nağ	5.035714
92	9	Si4b2	B4b1	312	313	1	16	294	99	96		5.071429
93	9	La4	A4	305	305	1	8	588	95	96		5.142857
94	9	Si4b2	B4b1	312	313	1	8	588	95	96	me 	5.214286
95	9	Do5	C5	318	318	3	16	882	99	96	â	5.321429
96	9	Mi5	E5	336	336	1	16	294	99	96		5.357143
97	9	Re5	D5	327	327	1	8	588	99	96		5.428571
98	9	Do5	C5	318	318	1	8	588	95	96		5.500000
99	9	Si4b2	B4b1	312	313	1	8	588	99	96	râ	5.571429
100	9	La4	A4	305	305	1	8	588	99	96		5.642857
101	9	Si4b2	B4b1	312	313	1	8	588	99	96		5.714286
102	9	Re5	D5	327	327	1	16	294	99	96		5.750000
103	9	Do5	C5	318	318	1	16	294	99	96		5.785714
104	9	Si4b2	B4b1	312	313	1	16	294	99	96		5.821429
105	9	La4	A4	305	305	1	16	294	99	96		5.857143
106	9	Sol4	G4	296	296	1	8	588	95	96		5.928571
107	9	Es	Es	-1	-1	1	8	588	100	0		6.000000
108	9	Re5	D5	327	327	1	4	1176	95	96	lık	6.142857
109	9	Re5	D5	327	327	1	8	588	95	96	da 	6.214286
110	9	Do5#3	C5#4	321	322	1	8	588	99	96	gös	6.285714
111	9	Re5	D5	327	327	1	8	588	99	96		6.357143
112	11	Mi5b4	E5b4	332	332	1	8	588	99	96		6.428571
113	9	Mi5b4	E5b4	332	332	1	16	294	99	96		6.464286
114	9	Re5	D5	327	327	1	16	294	95	96		6.500000
115	9	Re5	D5	327	327	1	4	1176	99	96	ter 	6.642857
116	8	Mi5b4	E5b4	332	332	0	0	0	99	96		6.642857
117	9	Re5	D5	327	327	1	16	294	99	96		6.678571
118	9	Do5#3	C5#4	321	322	1	16	294	99	96		6.714286
119	9	Do5#3	C5#4	321	322	1	16	294	99	96		6.750000
120	9	Si4b4	B4b4	310	310	1	16	294	99	96		6.785714
121	9	Si4b4	B4b4	310	310	1	16	294	99	96		6.821429
122	9	La4	A4	305	305	1	16	294	99	96		6.857143
123	9	Sol4	G4	296	296	1	8	588	95	96		6.928571
124	9	Es	Es	-1	-1	1	8	588	100	0		7.000000
125	9	La4	A4	305	305	1	4	1176	99	96	bir 	7.142857
126	9	Do5	C5	318	318	1	8	588	99	96		7.214286
127	9	Do5	C5	318	318	1	16	294	99	96		7.250000
128	9	Si4b2	B4b1	312	313	1	16	294	99	96		7.285714
129	9	Si4b2	B4b1	312	313	1	16	294	99	96		7.321429
130	9	La4	A4	305	305	1	16	294	95	96		7.357143
131	9	La4	A4	305	305	1	16	294	99	96	hü	7.392857
132	9	Si4b2	B4b1	312	313	1	16	294	99	96		7.428571
133	9	La4	A4	305	305	1	16	294	99	96		7.464286
134	9	Sol4	G4	296	296	1	16	294	95	96		7.500000
