Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	9	Sol5	G5	349	349	1	4	1176	95	96	Per
2	9	La5	A5	358	358	1	8	588	95	96	tev_
3	12	La5	A5	358	358	1	8	588	99	96	i 
4	9	La5	A5	358	358	1	8	588	99	96	
5	9	La5	A5	358	358	1	16	294	99	96	
6	9	Do6	C6	371	371	1	16	294	99	96	
7	9	Si5b2	B5b1	365	366	1	16	294	99	96	
8	11	La5	A5	358	358	1	16	294	95	96	
9	9	La5	A5	358	358	3	8	1764	95	96	ruh
10	12	La5	A5	358	358	1	8	588	99	96	sâ
11	9	La5	A5	358	358	1	8	588	95	96	
12	9	Si5b2	B5b1	365	366	1	8	588	95	96	rý
13	9	Do6	C6	371	371	1	8	588	99	96	na 
14	9	Re6	D6	380	380	1	8	588	99	96	
15	9	Si5b2	B5b1	365	366	1	8	588	99	96	
16	9	Do6	C6	371	371	1	8	588	95	96	
17	9	Si5b2	B5b1	365	366	3	16	882	99	96	halk_
18	9	La5	A5	358	358	1	16	294	99	96	
19	9	Sol5	G5	349	349	1	8	588	95	96	
20	9	La5	A5	358	358	1	16	294	99	96	ý 
21	9	Si5b2	B5b1	365	366	1	16	294	99	96	
22	9	La5	A5	358	358	1	8	588	95	96	
23	9	Si5b2	B5b1	365	366	1	8	588	95	96	ci
24	9	Do6	C6	371	371	1	8	588	99	96	hân 
25	9	Si5b2	B5b1	365	366	1	8	588	99	96	
26	9	La5	A5	358	358	1	8	588	99	96	
27	9	Sol5	G5	349	349	1	8	588	95	96	
28	9	Fa5#3	F5#4	343	344	3	16	882	99	96	hep 
29	9	Mi5	E5	336	336	1	16	294	99	96	
30	9	Re5	D5	327	327	1	8	588	95	96	
31	9	La5	A5	358	358	1	16	294	99	96	ben
32	9	Do6	C6	371	371	1	16	294	99	96	
33	9	Si5b2	B5b1	365	366	1	8	588	95	96	
34	9	La5	A5	358	358	1	8	588	95	96	de
35	9	La5	A5	358	358	1	16	294	99	96	dir  
36	9	Sol5	G5	349	349	1	16	294	99	96	
37	9	Sol5	G5	349	349	1	16	294	99	96	
38	9	Fa5#3	F5#4	343	344	1	16	294	99	96	
39	9	Fa5#3	F5#4	343	344	1	16	294	99	96	
40	9	Mi5	E5	336	336	1	16	294	99	96	
41	9	Fa5#3	F5#4	343	344	1	16	294	99	96	
42	9	Sol5	G5	349	349	1	16	294	99	96	
43	9	Mi5	E5	336	336	3	8	1764	95	96	
44	9	Re5	D5	327	327	1	16	294	99	96	Þevk_
45	9	Re5	D5	327	327	1	16	294	99	96	
46	9	Re5	D5	327	327	1	8	588	95	96	
47	12	Mi5	E5	336	336	1	8	588	95	96	i
48	9	Mi5	E5	336	336	1	8	588	99	96	le 
49	9	Sol5	G5	349	349	1	8	588	99	96	
50	9	Fa5#3	F5#4	343	344	1	8	588	99	96	
51	11	Mi5	E5	336	336	1	8	588	95	96	
52	9	Mi5	E5	336	336	1	8	588	99	96	þems_
53	9	Re5	D5	327	327	1	8	588	99	96	
54	9	Do5	C5	318	318	1	8	588	95	96	
55	9	Si4b2	B4b1	312	313	1	4	1176	95	96	ü 
56	9	La4	A4	305	305	1	8	588	99	96	mihr_
57	9	La4	A4	305	305	3	32	441	99	96	
58	9	Sol4	G4	296	296	1	32	147	99	96	
59	9	La4	A4	305	305	1	16	294	99	96	
60	9	Si4b2	B4b1	312	313	1	16	294	95	96	
61	9	Sol4	G4	296	296	1	8	588	99	96	i 
62	9	La4	A4	305	305	1	8	588	95	96	
63	11	Sol4	G4	296	296	1	16	294	99	96	â
64	9	Sol4	G4	296	296	1	16	294	99	96	
65	9	Fa4#3	F4#4	290	291	1	16	294	99	96	
66	9	Mi4	E4	283	283	3	16	882	95	96	
67	9	Mi4	E4	283	283	1	16	294	99	96	lem 
68	9	Fa4#3	F4#4	290	291	1	16	294	99	96	
69	9	Mi4	E4	283	283	1	8	588	95	96	
70	9	Fa4#3	F4#4	290	291	1	8	588	95	96	de 
71	9	Sol4	G4	296	296	1	8	588	99	96	Zîr_
72	9	La4	A4	305	305	1	8	588	99	96	
73	9	Sol4	G4	296	296	1	8	588	99	96	
74	9	Fa4#3	F4#4	290	291	1	8	588	95	96	
75	9	La4	A4	305	305	1	16	294	99	96	ef
76	9	Sol4	G4	296	296	1	16	294	99	96	
77	9	Fa4#3	F4#4	290	291	1	16	294	99	96	
78	9	Mi4	E4	283	283	1	16	294	99	96	
79	9	Re4	D4	274	274	1	8	588	95	96	
80	9	Sol4	G4	296	296	1	16	294	99	96	ken
81	9	Si4	B4	314	314	1	16	294	99	96	
82	9	La4	A4	305	305	1	8	588	95	96	
83	9	Sol4	G4	296	296	1	8	588	95	96	de
84	9	Sol4	G4	296	296	3	16	882	99	96	dir  
85	11	Fa4#3	F4#4	290	291	1	16	294	99	96	
86	9	Fa4#3	F4#4	290	291	1	16	294	99	96	
87	9	Mi4	E4	283	283	1	16	294	99	96	
88	9	Fa4#3	F4#4	290	291	1	16	294	99	96	
89	9	Sol4	G4	296	296	1	16	294	99	96	
90	9	Mi4	E4	283	283	3	8	1764	95	96	
